dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,0,dc2,0.2342085838317871,12.64,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,dc_wasserstein_ollivier,0.2384718060493469,3.9,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,dc_entropic_subtraction,0.1603627204895019,3.35,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,hickock,1.422593677807635,48.74,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,frc_weighted_adaptive,-34.437540953500644,0.77,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,frc_unweighted_knn,-2.3,0.24,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,orc,-0.0378466742801946,6.99,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,spc_hop,1330.8745346597004,64.89,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,spc_diffusion_t5,-205.61644950459788,19.25,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,laziness_knn_t5,-4.156009674072266,0.9,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,laziness_adaptive_t5,-4.090758800506592,0.62,,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,successor_entropy,-7.568670749664307,0.05,29.31,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,0,successor_orc,0.5006436117325518,4.13,29.31,,d2-c1-n0.01-m0,2,1,0.01,0,,0.3837835884868585
colosseum,1,dc2,-0.2748956680297851,11.72,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,dc_wasserstein_ollivier,0.2533535361289978,3.16,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,dc_entropic_subtraction,-0.0853757858276367,2.66,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,hickock,1.5935437917544348,46.79,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,frc_weighted_adaptive,-19.3986788583204,0.79,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,frc_unweighted_knn,1.1,0.24,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,orc,-0.018188622762898,7.1,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,spc_hop,-13.037781143130305,62.85,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,spc_diffusion_t5,-128.05573559281814,19.57,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,laziness_knn_t5,-4.083208084106445,0.69,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,laziness_adaptive_t5,-4.000089645385742,0.64,,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,successor_entropy,-7.560565948486328,0.05,28.27,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,1,successor_orc,-173.6190938227097,4.68,28.27,,d2-c1-n0.01-m1,2,1,0.01,1,,1.4859623347981996
colosseum,2,dc2,-1.024930477142334,11.77,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,dc_wasserstein_ollivier,0.2293615937232971,3.16,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,dc_entropic_subtraction,-0.2196512222290039,2.63,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,hickock,2.144669798635986,47.82,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,frc_weighted_adaptive,-23.77159686213804,0.78,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,frc_unweighted_knn,5.2,0.24,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,orc,0.1879145805616784,7.63,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,spc_hop,-52.89702365437942,55.3,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,spc_diffusion_t5,1031.353482088038,19.03,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,laziness_knn_t5,-3.76724624633789,0.68,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,laziness_adaptive_t5,-3.6886274814605713,0.63,,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,successor_entropy,-7.548130035400391,0.03,27.87,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,2,successor_orc,-2.569261447781225,4.12,27.87,,d2-c1-n0.01-m2,2,1,0.01,2,,-1.17388280233763
colosseum,3,dc2,-0.1131815910339355,11.5,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,dc_wasserstein_ollivier,0.1855055093765258,3.14,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,dc_entropic_subtraction,-0.072214126586914,2.61,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,hickock,1.1459976004533678,44.31,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,frc_weighted_adaptive,-29.568544900934192,0.74,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,frc_unweighted_knn,-6.8,0.24,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,orc,-0.1522904990261969,7.05,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,spc_hop,-618.2906130408451,54.7,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,spc_diffusion_t5,-131.65090585685252,18.88,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,laziness_knn_t5,-4.408631324768066,0.7,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,laziness_adaptive_t5,-4.3294291496276855,0.61,,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,successor_entropy,-7.677367210388184,0.03,28.14,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,3,successor_orc,-1.2546296683935712,4.12,28.14,,d2-c1-n0.01-m3,2,1,0.01,3,,-6.142542874866113
colosseum,4,dc2,-0.6059503555297852,11.32,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,dc_wasserstein_ollivier,0.1905434727668762,3.1,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,dc_entropic_subtraction,-0.2476091384887695,2.59,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,hickock,1.3335726174698932,45.15,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,frc_weighted_adaptive,-18.77488876648713,0.79,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,frc_unweighted_knn,-2.75,0.24,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,orc,0.0049288200571809,7.07,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,spc_hop,-10.264491231829238,54.25,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,spc_diffusion_t5,-101.53241613372406,18.61,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,laziness_knn_t5,-4.1393723487854,0.66,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,laziness_adaptive_t5,-4.092660427093506,0.61,,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,successor_entropy,-7.583109855651855,0.03,27.78,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,4,successor_orc,-266.56744479692225,4.0,27.78,,d2-c1-n0.01-m4,2,1,0.01,4,,-1.823256536418532
colosseum,5,dc2,-0.9690265655517578,11.59,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,dc_wasserstein_ollivier,0.2429356575012207,3.14,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,dc_entropic_subtraction,-0.2288165092468261,2.61,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,hickock,1.6112288259430425,42.25,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,frc_weighted_adaptive,-12.829407297076983,0.73,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,frc_unweighted_knn,-1.0909090909090908,0.24,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,orc,-0.0098189049228646,7.06,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,spc_hop,-162.06944009838747,54.43,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,spc_diffusion_t5,12.292363133545374,18.74,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,laziness_knn_t5,-4.140921592712402,0.66,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,laziness_adaptive_t5,-4.0890045166015625,0.61,,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,successor_entropy,-7.511124610900879,0.03,28.6,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,5,successor_orc,-1.188305178711185,3.98,28.6,,d2-c1-n0.01-m5,2,1,0.01,5,,1.400359965681238
colosseum,6,dc2,-0.7682933807373047,11.35,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,dc_wasserstein_ollivier,0.1596802473068237,3.09,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,dc_entropic_subtraction,-0.1873621940612793,2.61,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,hickock,1.9459820931160403,46.36,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,frc_weighted_adaptive,-19.308080329121093,0.78,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,frc_unweighted_knn,2.4285714285714284,0.24,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,orc,0.0711580928826631,7.41,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,spc_hop,299.2047779015633,54.64,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,spc_diffusion_t5,-349.04620013442604,18.92,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,laziness_knn_t5,-3.967496871948242,0.69,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,laziness_adaptive_t5,-3.9022860527038574,0.62,,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,successor_entropy,-7.0138702392578125,0.03,28.21,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,6,successor_orc,-0.6856502375314948,3.99,28.21,,d2-c1-n0.01-m6,2,1,0.01,6,,-0.0855351364364616
colosseum,7,dc2,0.2574434280395508,11.53,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,dc_wasserstein_ollivier,0.1884989142417907,3.09,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,dc_entropic_subtraction,-0.0518755912780761,2.59,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,hickock,1.3836249889993475,44.74,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,frc_weighted_adaptive,-60.89262517343102,0.78,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,frc_unweighted_knn,-6.4,0.24,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,orc,-0.1884156576432644,7.21,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,spc_hop,-119.17040573659632,54.71,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,spc_diffusion_t5,-253.7850347119932,18.92,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,laziness_knn_t5,-4.535120010375977,0.66,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,laziness_adaptive_t5,-4.464327335357666,0.63,,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,successor_entropy,-7.629269599914551,0.03,28.2,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,7,successor_orc,0.4094636673129921,5.02,28.2,,d2-c1-n0.01-m7,2,1,0.01,7,,-7.084933861128603
colosseum,8,dc2,-0.2921509742736816,11.54,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,dc_wasserstein_ollivier,0.0314056873321533,3.12,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,dc_entropic_subtraction,-0.1092057228088378,2.58,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,hickock,-0.4236361789888567,44.77,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,frc_weighted_adaptive,-11.431970304088386,0.79,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,frc_unweighted_knn,-4.0,0.49,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,orc,-0.1658169782893181,6.74,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,spc_hop,-121.8326351235431,54.45,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,spc_diffusion_t5,-27.974911736012626,18.69,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,laziness_knn_t5,-4.2259721755981445,0.68,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,laziness_adaptive_t5,-4.172045230865479,0.67,,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,successor_entropy,-7.609241485595703,0.03,28.26,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,8,successor_orc,-1.024674957263279,4.03,28.26,,d2-c1-n0.01-m8,2,1,0.01,8,,-22.339589120566774
colosseum,9,dc2,-0.0665998458862304,11.47,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,dc_wasserstein_ollivier,0.2414117455482483,3.18,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,dc_entropic_subtraction,-0.2496180534362793,2.63,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,hickock,2.0065181096568736,41.79,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,frc_weighted_adaptive,-20.147471151273063,0.74,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,frc_unweighted_knn,-1.0,0.51,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,orc,-0.0696713323155713,6.92,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,spc_hop,644.9576105190436,54.64,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,spc_diffusion_t5,150.66128836587845,18.78,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,laziness_knn_t5,-4.22215461730957,0.67,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,laziness_adaptive_t5,-4.132205963134766,0.63,,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,successor_entropy,-7.67219352722168,0.03,28.38,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,9,successor_orc,0.8022418097651486,4.25,28.38,,d2-c1-n0.01-m9,2,1,0.01,9,,0.013554686773316
colosseum,10,dc2,0.0107913017272949,11.63,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,dc_wasserstein_ollivier,0.245214581489563,3.15,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
colosseum,10,dc_entropic_subtraction,-0.3727612495422363,2.66,,,d2-c1-n0.01-m10,2,1,0.01,10,,-2.736608526585309
