dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,0,dc2,-0.6589512825012207,12.22,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,dc_wasserstein_ollivier,0.2218492031097412,3.79,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,dc_entropic_subtraction,-0.0271229743957519,3.19,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,hickock,1.2957652973058356,45.88,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,frc_weighted_adaptive,-11.742206547676783,0.78,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,frc_unweighted_knn,-3.7142857142857135,0.24,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,orc,-0.0745722088708508,5.93,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,spc_hop,246.48971295855264,61.84,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,spc_diffusion_t5,-22.46977723374515,18.75,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,laziness_knn_t5,-4.294573783874512,0.89,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,laziness_adaptive_t5,-4.2087931632995605,0.61,,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,successor_entropy,-2.5978239550540843,0.05,843.65,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,0,successor_orc,0.9311575200747136,4.58,843.65,,d2-c1-n0.01-m0,2,1,0.01,0,,-8.22702089640385
colosseum,1,dc2,0.2583372592926025,11.41,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,dc_wasserstein_ollivier,0.1447997689247131,3.13,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,dc_entropic_subtraction,-0.0872168540954589,2.69,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,hickock,0.8729116463301541,48.94,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,frc_weighted_adaptive,-44.51125109477457,0.8,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,frc_unweighted_knn,-7.0,0.24,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,orc,-0.0118566778267528,6.21,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,spc_hop,160.03698491095017,63.45,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,spc_diffusion_t5,-480.879860871282,18.9,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,laziness_knn_t5,-4.361598968505859,0.67,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,laziness_adaptive_t5,-4.301027297973633,0.62,,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,successor_entropy,-2.5818176851669947,0.04,824.45,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
colosseum,1,successor_orc,0.9357440228711156,4.61,824.45,,d2-c1-n0.01-m1,2,1,0.01,1,,-9.495795244165128
