dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
tau_colosseum,0,dc2,-0.768064022064209,4.66,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,dc_wasserstein_ollivier,-0.2738819122314453,2.05,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,dc_entropic_subtraction,0.1640510559082031,1.33,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,hickock,1.2914938660233792,26.49,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,frc_weighted_adaptive,-25.713844637679355,0.4,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,frc_unweighted_knn,1.4166666666666667,0.16,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,orc,0.0742142649666876,16.98,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,spc_hop,-265.5380909649706,8.95,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,spc_diffusion_t5,221.39952758438,4.11,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,laziness_knn_t5,-4.02898645401001,0.56,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,laziness_adaptive_t5,-3.964015483856201,0.2,,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,successor_entropy,-2.29611596016056,0.02,388.58,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,0,successor_orc,0.9054968544532565,2.77,388.58,,d2-c1-n0.01-m0,2,1,0.01,0,,-3.410200694663033
tau_colosseum,1,dc2,-0.2930779457092285,4.25,,,d2-c1-n0.01-m1,2,1,0.01,1,,3.66688073103937
tau_colosseum,1,dc_wasserstein_ollivier,-0.0486146211624145,1.97,,,d2-c1-n0.01-m1,2,1,0.01,1,,3.66688073103937
tau_colosseum,1,dc_entropic_subtraction,0.1351222991943359,1.35,,,d2-c1-n0.01-m1,2,1,0.01,1,,3.66688073103937
tau_colosseum,1,hickock,2.492342873386755,28.51,,,d2-c1-n0.01-m1,2,1,0.01,1,,3.66688073103937
