method,dim,noise,pearson,n
dc2,2,0.0,-0.08959851949254173,50
dc2,2,0.05,-0.1463983616653431,50
dc2,2,0.1,0.2691532957761208,50
dc2,2,0.2,0.008621882340920844,50
dc2,3,0.01,-0.05126462587480478,50
dc2,3,0.05,0.36124950986723375,50
dc2,3,0.1,-0.04135472609313814,50
dc2,3,0.2,0.22126759461117584,50
dc2,4,0.01,0.10852823134326765,50
dc2,4,0.05,0.2149953866837012,50
dc2,4,0.1,0.09697106572312118,50
dc2,4,0.2,0.40097321504826827,50
dc2,5,0.01,-0.15296582606309939,50
dc2,5,0.05,0.22257115258800486,50
dc2,5,0.1,0.26618434253870427,50
dc2,5,0.2,0.23799532801718676,50
dc2,6,0.01,0.3934269901701889,50
dc2,6,0.05,0.025261496801907923,50
dc2,6,0.1,0.24013245200133587,50
dc2,6,0.2,0.2820221835478778,50
dc_entropic_subtraction,2,0.0,0.4430344495323973,50
dc_entropic_subtraction,2,0.05,0.3278175841555583,50
dc_entropic_subtraction,2,0.1,0.32351773954245944,50
dc_entropic_subtraction,2,0.2,-0.18382264185648922,50
dc_entropic_subtraction,3,0.01,0.478330795810198,50
dc_entropic_subtraction,3,0.05,0.38650200844366095,50
dc_entropic_subtraction,3,0.1,0.13652046718119337,50
dc_entropic_subtraction,3,0.2,0.3902152494594517,50
dc_entropic_subtraction,4,0.01,0.5292096176315616,50
dc_entropic_subtraction,4,0.05,0.5595770265093911,50
dc_entropic_subtraction,4,0.1,0.3198859272986506,50
dc_entropic_subtraction,4,0.2,0.3368475557168243,50
dc_entropic_subtraction,5,0.01,-0.04021317991080102,50
dc_entropic_subtraction,5,0.05,0.18309119277181385,50
dc_entropic_subtraction,5,0.1,-0.1020314313737255,50
dc_entropic_subtraction,5,0.2,-0.03583891543303625,50
dc_entropic_subtraction,6,0.01,0.1537908250328372,50
dc_entropic_subtraction,6,0.05,0.019636413854642418,50
dc_entropic_subtraction,6,0.1,-0.10158456807443808,50
dc_entropic_subtraction,6,0.2,-0.135773846848179,50
dc_wasserstein_ollivier,2,0.0,0.8583693284465456,50
dc_wasserstein_ollivier,2,0.05,0.7848521927762944,50
dc_wasserstein_ollivier,2,0.1,0.830264464012289,50
dc_wasserstein_ollivier,2,0.2,0.7265711541882797,50
dc_wasserstein_ollivier,3,0.01,0.8575297461407608,50
dc_wasserstein_ollivier,3,0.05,0.8584114773325312,50
dc_wasserstein_ollivier,3,0.1,0.8516876189949643,50
dc_wasserstein_ollivier,3,0.2,0.6635186210267662,50
dc_wasserstein_ollivier,4,0.01,0.8962973259707772,50
dc_wasserstein_ollivier,4,0.05,0.9132945851522625,50
dc_wasserstein_ollivier,4,0.1,0.7698597266202922,50
dc_wasserstein_ollivier,4,0.2,0.626560982254005,50
dc_wasserstein_ollivier,5,0.01,0.27544179948174735,50
dc_wasserstein_ollivier,5,0.05,0.4803488763312055,50
dc_wasserstein_ollivier,5,0.1,0.1606703630774255,50
dc_wasserstein_ollivier,5,0.2,0.12189908978342348,50
dc_wasserstein_ollivier,6,0.01,0.19441029800688336,50
dc_wasserstein_ollivier,6,0.05,-0.040043389755905365,50
dc_wasserstein_ollivier,6,0.1,-0.07091881648724256,50
dc_wasserstein_ollivier,6,0.2,-0.19386112837817254,50
frc_unweighted_knn,2,0.0,0.0969799279776102,50
frc_unweighted_knn,2,0.05,0.15860422158462864,41
frc_weighted_adaptive,2,0.0,0.1290626323255724,50
