method,dim,noise,pearson,n
dc2,2,0.01,0.1618226318738218,50
dc2,2,0.05,0.2719836026356721,50
dc2,2,0.1,-0.1274641128404147,50
dc2,2,0.2,0.1606516693846112,50
dc2,3,0.01,0.19081260574922232,50
dc2,3,0.05,0.13247977408071174,50
dc2,3,0.1,0.03107364151274162,50
dc2,3,0.2,0.2272721142193796,50
dc2,4,0.01,0.32967732807924244,50
dc2,4,0.05,0.22750387271738493,50
dc2,4,0.1,0.3247377868511471,50
dc2,4,0.2,0.49640387732299296,50
dc2,5,0.01,-0.17507192530142612,50
dc2,5,0.05,0.06695678059867667,50
dc2,5,0.1,0.1717651699783585,50
dc2,5,0.2,0.07819307483979679,50
dc2,6,0.01,0.33070037949995873,50
dc2,6,0.05,-0.17389778849880747,50
dc2,6,0.1,0.41500421956545236,50
dc2,6,0.2,0.2648723761674366,50
dc_entropic_subtraction,2,0.01,0.11430016831805206,50
dc_entropic_subtraction,2,0.05,0.2905250016451182,50
dc_entropic_subtraction,2,0.1,0.249540946539498,50
dc_entropic_subtraction,2,0.2,0.38064945012499996,50
dc_entropic_subtraction,3,0.01,0.19921369568467232,50
dc_entropic_subtraction,3,0.05,0.19357354308625635,50
dc_entropic_subtraction,3,0.1,0.5416496715509236,50
dc_entropic_subtraction,3,0.2,0.47169196522977486,50
dc_entropic_subtraction,4,0.01,0.20667501876733277,50
dc_entropic_subtraction,4,0.05,0.2911533959336334,50
dc_entropic_subtraction,4,0.1,0.39247058321230505,50
dc_entropic_subtraction,4,0.2,0.3754239706782059,50
dc_entropic_subtraction,5,0.01,-0.25012834321360117,50
dc_entropic_subtraction,5,0.05,0.04006312751562752,50
dc_entropic_subtraction,5,0.1,0.005713871356909006,50
dc_entropic_subtraction,5,0.2,-0.24407557411788983,50
dc_entropic_subtraction,6,0.01,0.30398275680538495,50
dc_entropic_subtraction,6,0.05,-0.19949709852928377,50
dc_entropic_subtraction,6,0.1,-0.11282385743141878,50
dc_entropic_subtraction,6,0.2,-0.04838742412960094,50
dc_wasserstein_ollivier,2,0.01,0.7449712309912213,50
dc_wasserstein_ollivier,2,0.05,0.8097049310595724,50
dc_wasserstein_ollivier,2,0.1,0.8072322508521538,50
dc_wasserstein_ollivier,2,0.2,0.6876181388849495,50
dc_wasserstein_ollivier,3,0.01,0.5498264987872203,50
dc_wasserstein_ollivier,3,0.05,0.7443790922797215,50
dc_wasserstein_ollivier,3,0.1,0.734741104322991,50
dc_wasserstein_ollivier,3,0.2,0.7941721705081326,50
dc_wasserstein_ollivier,4,0.01,0.7766261916407713,50
dc_wasserstein_ollivier,4,0.05,0.6998456482499986,50
dc_wasserstein_ollivier,4,0.1,0.8574509741164533,50
dc_wasserstein_ollivier,4,0.2,0.5839540647202837,50
dc_wasserstein_ollivier,5,0.01,-0.09654835682163422,50
dc_wasserstein_ollivier,5,0.05,0.21916666208409372,50
dc_wasserstein_ollivier,5,0.1,0.09150193883112134,50
dc_wasserstein_ollivier,5,0.2,-0.1866035301615771,50
dc_wasserstein_ollivier,6,0.01,0.37566115769742175,50
dc_wasserstein_ollivier,6,0.05,-0.28861281688681334,50
dc_wasserstein_ollivier,6,0.1,-0.023580419329664787,50
dc_wasserstein_ollivier,6,0.2,0.029341940243972083,50
frc_unweighted_knn,2,0.01,-0.058827348779926514,50
frc_unweighted_knn,2,0.05,-0.23744222901439174,50
frc_unweighted_knn,2,0.1,0.08114982494589676,50
frc_unweighted_knn,2,0.2,0.07791005669856482,50
frc_unweighted_knn,3,0.01,-0.024824163036545905,50
frc_unweighted_knn,3,0.05,-0.023411939765244732,50
frc_unweighted_knn,3,0.1,-0.057384533113034486,50
frc_unweighted_knn,3,0.2,-0.030349067669153636,50
frc_unweighted_knn,4,0.01,0.2106089230139859,50
frc_unweighted_knn,4,0.05,-0.10035481202952176,50
frc_unweighted_knn,4,0.1,-0.01908514012316231,50
frc_unweighted_knn,4,0.2,0.2797920950056492,50
frc_unweighted_knn,5,0.01,0.060921611116412915,50
frc_unweighted_knn,5,0.05,0.1876752589355944,50
frc_unweighted_knn,5,0.1,-0.13195678510504488,50
frc_unweighted_knn,5,0.2,0.021844172659911034,50
frc_unweighted_knn,6,0.01,0.2944544501659181,50
frc_unweighted_knn,6,0.05,-0.013698630535300136,50
frc_unweighted_knn,6,0.1,0.3446325154097056,50
frc_unweighted_knn,6,0.2,0.43240530078752804,50
frc_weighted_adaptive,2,0.01,-0.03897550488772836,50
frc_weighted_adaptive,2,0.05,0.3513427761505877,50
frc_weighted_adaptive,2,0.1,-0.06669462924450205,50
frc_weighted_adaptive,2,0.2,-0.015344092416854006,50
frc_weighted_adaptive,3,0.01,-0.279304273483091,50
frc_weighted_adaptive,3,0.05,0.04122811842895751,50
frc_weighted_adaptive,3,0.1,0.09847894505778182,50
frc_weighted_adaptive,3,0.2,-0.2154207899078262,50
frc_weighted_adaptive,4,0.01,0.1944514658665395,50
frc_weighted_adaptive,4,0.05,-0.030020498286120932,50
frc_weighted_adaptive,4,0.1,0.04999900160644931,50
frc_weighted_adaptive,4,0.2,0.13654806553514864,50
frc_weighted_adaptive,5,0.01,-0.26855396553743094,50
frc_weighted_adaptive,5,0.05,-0.1890917616523212,50
frc_weighted_adaptive,5,0.1,-0.0497287387505333,50
frc_weighted_adaptive,5,0.2,-0.10833628790730158,50
frc_weighted_adaptive,6,0.01,0.08919218161738765,50
frc_weighted_adaptive,6,0.05,-0.07357262975771356,50
frc_weighted_adaptive,6,0.1,0.13837164814566374,50
frc_weighted_adaptive,6,0.2,0.02676355196174514,50
hickock,2,0.01,0.7083817171882871,50
hickock,2,0.05,0.8237342144281601,50
hickock,2,0.1,0.7356026953198767,50
hickock,2,0.2,0.6808189056253313,50
hickock,3,0.01,0.40209710853769887,50
hickock,3,0.05,0.4809020516542989,50
hickock,3,0.1,0.6284914991666153,50
hickock,3,0.2,0.4472159508196141,50
hickock,4,0.01,0.2824191809378836,50
hickock,4,0.05,0.41080987707914124,50
hickock,4,0.1,0.33803104340804446,50
hickock,4,0.2,0.4686793772551989,50
hickock,5,0.01,-0.29296826269371273,50
hickock,5,0.05,0.04869382575322947,50
hickock,5,0.1,0.14069482343886247,50
hickock,5,0.2,-0.2316936742278416,50
hickock,6,0.01,0.09845251409076587,50
hickock,6,0.05,-0.08534850765083819,50
hickock,6,0.1,-0.08290676090240554,50
hickock,6,0.2,0.09760130721915397,50
laziness_adaptive_t5,2,0.01,0.06391183305225294,50
laziness_adaptive_t5,2,0.05,-0.27530560107067364,50
laziness_adaptive_t5,2,0.1,0.1354107232762164,50
laziness_adaptive_t5,2,0.2,0.19961759941703433,50
laziness_adaptive_t5,3,0.01,0.06407544668721385,50
laziness_adaptive_t5,3,0.05,0.12233987064310843,50
laziness_adaptive_t5,3,0.1,0.2338080568399119,50
laziness_adaptive_t5,3,0.2,0.2191059996244528,50
laziness_adaptive_t5,4,0.01,0.33920098280198296,50
laziness_adaptive_t5,4,0.05,0.20365178485018262,50
laziness_adaptive_t5,4,0.1,0.3151356828730193,50
laziness_adaptive_t5,4,0.2,0.504791601913175,50
laziness_adaptive_t5,5,0.01,0.1994867005630959,50
laziness_adaptive_t5,5,0.05,0.3257256761584237,50
laziness_adaptive_t5,5,0.1,0.27408095555407636,50
laziness_adaptive_t5,5,0.2,-0.010622060860217783,50
laziness_adaptive_t5,6,0.01,0.6393512097192398,50
laziness_adaptive_t5,6,0.05,-0.17856939643454367,50
laziness_adaptive_t5,6,0.1,0.5385818243356676,50
laziness_adaptive_t5,6,0.2,0.55070612577653,50
laziness_knn_t5,2,0.01,0.07644299097546706,50
laziness_knn_t5,2,0.05,-0.2702735395871596,50
laziness_knn_t5,2,0.1,0.1808526451259275,50
laziness_knn_t5,2,0.2,0.21627008956100358,50
laziness_knn_t5,3,0.01,0.07540898152205283,50
laziness_knn_t5,3,0.05,0.1451839881556989,50
laziness_knn_t5,3,0.1,0.22956238212888236,50
laziness_knn_t5,3,0.2,0.22020764686415395,50
laziness_knn_t5,4,0.01,0.391933587928251,50
laziness_knn_t5,4,0.05,0.19555049450930967,50
