method,dim,noise,pearson,n
dc2,2,0.01,0.00823686325979206,29
dc2,2,0.05,0.2636428531693016,26
dc2,2,0.1,0.07673120170863951,27
dc2,2,0.2,0.2708003388229303,21
dc2,3,0.01,0.22243224416386598,21
dc2,3,0.05,0.21941141190641095,24
dc2,3,0.1,0.14531993826637835,26
dc2,3,0.2,0.08069175305534411,30
dc2,4,0.01,0.1728646132813471,24
dc2,4,0.05,-0.018362579121330568,25
dc2,4,0.1,0.043681843880612664,26
dc2,4,0.2,0.21435972435756595,24
dc2,5,0.01,0.3303761069168661,28
dc2,5,0.05,0.3118738295307049,33
dc2,5,0.1,-0.12475263525248456,31
dc2,5,0.2,-0.11723932339031173,29
dc2,6,0.01,-0.020848990683933824,32
dc2,6,0.05,0.27386207760147346,28
dc2,6,0.1,0.33198636111714774,29
dc2,6,0.2,0.23131782472728935,28
dc_entropic_subtraction,2,0.01,-0.008602840032013233,29
dc_entropic_subtraction,2,0.05,0.6461831026184268,26
dc_entropic_subtraction,2,0.1,0.07401563537799943,27
dc_entropic_subtraction,2,0.2,-0.011895506827019578,21
dc_entropic_subtraction,3,0.01,0.06576451081042266,21
dc_entropic_subtraction,3,0.05,0.10763886578100992,24
dc_entropic_subtraction,3,0.1,-0.02711623818091366,26
dc_entropic_subtraction,3,0.2,0.6029382849227289,30
dc_entropic_subtraction,4,0.01,0.4785758676279057,24
dc_entropic_subtraction,4,0.05,-0.39451092950207406,25
dc_entropic_subtraction,4,0.1,-0.03708540209961497,26
dc_entropic_subtraction,4,0.2,0.23082340013984554,24
dc_entropic_subtraction,5,0.01,0.41334820936279687,28
dc_entropic_subtraction,5,0.05,-0.19646744477465886,33
dc_entropic_subtraction,5,0.1,-0.4273516430785364,31
dc_entropic_subtraction,5,0.2,-0.24049766368082126,29
dc_entropic_subtraction,6,0.01,-0.19907644055253304,32
dc_entropic_subtraction,6,0.05,0.025282552290616263,28
dc_entropic_subtraction,6,0.1,0.14701337932480063,29
dc_entropic_subtraction,6,0.2,-0.015888383730690375,28
