method,dim,codim,noise,spearman,sign_acc,n
dc2,2,1.0,0.0,-0.022328931572629048,0.52,50
dc2,2,1.0,0.05,0.06936604429005645,0.75,50
dc2,2,1.0,0.1,0.27477477477477474,0.5675675675675675,50
dc2,2,1.0,0.2,0.14366998577524892,0.7837837837837838,50
dc2,3,1.0,0.01,0.016084910821752927,0.5526315789473685,50
dc2,3,1.0,0.05,0.3222453222453222,0.7105263157894737,50
dc2,3,1.0,0.1,0.030346135609293504,0.7297297297297297,50
dc2,3,1.0,0.2,0.2766714082503556,0.7027027027027027,50
dc2,4,1.0,0.01,0.1390742969690338,0.5526315789473685,50
dc2,4,1.0,0.05,-0.05810263705000547,0.6842105263157895,50
dc2,4,1.0,0.1,0.10573731626363203,0.7027027027027027,50
dc2,4,1.0,0.2,0.2821242294926506,0.8378378378378378,50
dc2,5,1.0,0.01,-0.1366670314038735,0.5263157894736842,50
dc2,5,1.0,0.05,0.2247386759581882,0.7560975609756098,50
dc2,5,1.0,0.1,0.23678646934460884,0.75,50
dc2,5,1.0,0.2,0.19510721836303233,0.8372093023255814,50
dc2,6,1.0,0.01,0.46737138830162084,0.75,50
dc2,6,1.0,0.05,0.052008456659619444,0.75,50
dc2,6,1.0,0.1,0.3675828047921071,0.8181818181818182,50
dc2,6,1.0,0.2,0.3465720326185442,0.9302325581395349,50
dc_entropic_subtraction,2,1.0,0.0,0.4579591836734694,0.62,50
dc_entropic_subtraction,2,1.0,0.05,0.27073382544507163,0.7916666666666666,50
dc_entropic_subtraction,2,1.0,0.1,0.40587956377430057,0.7567567567567568,50
dc_entropic_subtraction,2,1.0,0.2,-0.3079658605974395,0.5945945945945946,50
dc_entropic_subtraction,3,1.0,0.01,0.4938177043440201,0.2894736842105263,50
dc_entropic_subtraction,3,1.0,0.05,0.1648976912134807,0.18421052631578946,50
dc_entropic_subtraction,3,1.0,0.1,0.11877667140825035,0.2702702702702703,50
dc_entropic_subtraction,3,1.0,0.2,0.2453769559032717,0.32432432432432434,50
dc_entropic_subtraction,4,1.0,0.01,0.2981726665937192,0.23684210526315788,50
dc_entropic_subtraction,4,1.0,0.05,0.13491629281102963,0.2631578947368421,50
dc_entropic_subtraction,4,1.0,0.1,0.2778568041725936,0.2972972972972973,50
dc_entropic_subtraction,4,1.0,0.2,0.24063537221431955,0.16216216216216217,50
dc_entropic_subtraction,5,1.0,0.01,-0.014115329904803589,0.15789473684210525,50
dc_entropic_subtraction,5,1.0,0.05,-0.0054290576128352645,0.16666666666666666,50
dc_entropic_subtraction,5,1.0,0.1,-0.18900634249471457,0.25,50
dc_entropic_subtraction,5,1.0,0.2,-0.09513742071881606,0.16279069767441862,50
dc_entropic_subtraction,6,1.0,0.01,0.11501057082452429,0.20454545454545456,50
dc_entropic_subtraction,6,1.0,0.05,-0.05327695560253699,0.06818181818181818,50
dc_entropic_subtraction,6,1.0,0.1,-0.19732205778717404,0.13636363636363635,50
dc_entropic_subtraction,6,1.0,0.2,-0.12065841135608577,0.06976744186046512,50
dc_wasserstein_ollivier,2,1.0,0.0,0.8487394957983193,0.5,50
dc_wasserstein_ollivier,2,1.0,0.05,0.7973295701259228,0.25,50
dc_wasserstein_ollivier,2,1.0,0.1,0.7863916548127075,0.40540540540540543,50
dc_wasserstein_ollivier,2,1.0,0.2,0.7700331910858226,0.21621621621621623,50
dc_wasserstein_ollivier,3,1.0,0.01,0.8509683772841667,0.7105263157894737,50
dc_wasserstein_ollivier,3,1.0,0.05,0.8258015100120364,0.8157894736842105,50
dc_wasserstein_ollivier,3,1.0,0.1,0.8473210052157419,0.7297297297297297,50
dc_wasserstein_ollivier,3,1.0,0.2,0.6889521100047415,0.6756756756756757,50
dc_wasserstein_ollivier,4,1.0,0.01,0.8393697341065761,0.7631578947368421,50
dc_wasserstein_ollivier,4,1.0,0.05,0.8113579166210745,0.7368421052631579,50
dc_wasserstein_ollivier,4,1.0,0.1,0.7579421526789947,0.7027027027027027,50
dc_wasserstein_ollivier,4,1.0,0.2,0.49999999999999994,0.8378378378378378,50
dc_wasserstein_ollivier,5,1.0,0.01,0.2999234051865631,0.8421052631578947,50
dc_wasserstein_ollivier,5,1.0,0.05,0.22421602787456452,0.926829268292683,50
dc_wasserstein_ollivier,5,1.0,0.1,0.11923890063424947,0.6818181818181818,50
dc_wasserstein_ollivier,5,1.0,0.2,0.04152823920265781,0.6744186046511628,50
dc_wasserstein_ollivier,6,1.0,0.01,0.12417195207892881,0.20454545454545456,50
