instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
8,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,-0.00773968978809042,0.0
72,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.18178376196984664,1.0
136,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3766420058731671,0.0
200,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.32694009366136395,1.0
264,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.44223975485248723,1.0
343,colosseum,,d2-c1-n0.05-m13,2,0.05,13,,-4.378023159484492,3000,-0.0013556772015456131,0.0
482,colosseum,,d3-c1-n0.1-m2,3,0.1,2,,-3.557038532205605,3000,0.09514329433967748,0.05
606,colosseum,,d4-c1-n0.1-m6,4,0.1,6,,-27.860036231503933,3000,-0.16165926468340286,0.5125
730,colosseum,,d5-c1-n0.1-m10,5,0.1,10,,-67.17285898139227,3000,-0.4342669820284141,0.7125
854,colosseum,,d6-c1-n0.1-m14,6,0.1,14,,-26.73210065400279,3000,-0.595991024916417,1.0
