instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,mu_k,sd_k,mu_f,sd_f,z_plus,z_frac,S_diff,S_sel,kappa_only,frac_only
0,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.0404865804591246,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,-1.2209484187759063,-0.2521834475695623,-0.968764971206344,0.0,-1.2209484187759063,0.2521834475695623
64,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.2269108341745101,0.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,6.029127456732088,-97.82761198489241,103.8567394416245,6.029127456732088,6.029127456732088,97.82761198489241
128,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.1556870530416073,1.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,0.7210230130498768,0.7974510891762443,-0.07642807612636748,0.0,0.7210230130498768,-0.7974510891762443
192,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.0701490681749899,1.0,0.2888645288180819,0.036398824889933575,1.0,0.001,-6.008860486690595,0.0,-6.008860486690595,0.0,-6.008860486690595,-0.0
256,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5517682353310328,0.0,0.4403097779431379,0.03220084053120525,1.0,0.001,3.461352422769292,-1000.0,1003.4613524227693,3.461352422769292,3.461352422769292,1000.0
335,colosseum,,d2-c1-n0.05-m5,2,0.05,5.0,,-6.985728960248757,3000,-0.0455701055217114,0.0,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,-1.7728708564209927,-0.2356930458971681,-1.5371778105238247,0.0,-1.7728708564209927,0.2356930458971681
459,colosseum,,d3-c1-n0.05-m9,3,0.05,9.0,,3.218057928153633,3000,0.2649209403569407,0.05,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,7.724958795819497,-17.186303903315864,24.91126269913536,7.724958795819497,7.724958795819497,17.186303903315864
583,colosseum,,d4-c1-n0.05-m13,4,0.05,13.0,,28.472607937392368,3000,0.1302894537580969,0.0,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,2.1277849150034487,-33.06052738460189,35.188312299605336,2.1277849150034487,2.1277849150034487,33.06052738460189
722,colosseum,,d5-c1-n0.1-m2,5,0.1,2.0,,-51.81568753840308,3000,-0.2100568424677807,1.0,0.15121377023799723,0.061370690979241846,1.0,0.001,-5.886696189032235,0.0,-5.886696189032235,0.0,-5.886696189032235,-0.0
846,colosseum,,d6-c1-n0.1-m6,6,0.1,6.0,,68.02202730824673,3000,0.3574771144096024,0.025,0.2241901802541967,0.07050366417352924,1.0,0.001,1.890496553871998,-975.0,976.890496553872,1.890496553871998,1.890496553871998,975.0
