instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent,mu_k,sd_k,mu_f,sd_f,mu_e,sd_e,z_plus,z_frac,z_ent,S_diff,c_off,K_cal,S3,K_gated,S_sel,kappa_only,frac_only,ent_only
0,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.0404865804591246,0.0,5.863241672515869,6,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,5.660355265935262,0.08926540042406504,-1.2209484187759063,-0.2521834475695623,-2.2728448605705323,-0.968764971206344,-1.2713470918351053,-1.001497768735427,-3.2416098317768762,-1.001497768735427,0.0,-1.2209484187759063,0.2521834475695623,-2.2728448605705323
64,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.2269108341745101,0.0,5.04109525680542,1,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,5.097828801472982,0.12915953654581017,6.029127456732088,-97.82761198489241,0.4392516896918401,103.8567394416245,-1.3577360417348654,1.7969877314267055,104.29599113131634,1.7969877314267055,6.029127456732088,6.029127456732088,97.82761198489241,0.4392516896918401
128,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.1556870530416073,1.0,6.53052282333374,1,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,6.539523998896281,0.08017770116711977,0.7210230130498768,0.7974510891762443,0.11226532354400173,-0.07642807612636748,3.4214661598231677,-3.309200836279166,0.03583724741763428,-3.309200836279166,0.0,0.7210230130498768,-0.7974510891762443,0.11226532354400173
192,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.0701490681749899,1.0,7.268465518951416,1,0.2888645288180819,0.036398824889933575,1.0,0.001,7.24161589940389,0.030860609135372682,-6.008860486690595,0.0,-0.8700288263834162,-6.008860486690595,0.44206639580325935,-1.3120952221866755,-6.878889313074011,-1.3120952221866755,0.0,-6.008860486690595,-0.0,-0.8700288263834162
256,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5517682353310328,0.0,7.088289737701416,1,0.4403097779431379,0.03220084053120525,1.0,0.001,7.411487770080567,0.017972432815363915,3.461352422769292,-1000.0,17.98298737290933,1003.4613524227693,-3.4741812645000856,21.457168637409417,1021.4443397956786,21.457168637409417,3.461352422769292,3.461352422769292,1000.0,17.98298737290933
335,colosseum,,d2-c1-n0.05-m5,2,0.05,5.0,,-6.985728960248757,3000,-0.0455701055217114,0.0,6.053191184997559,5,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,6.107825676600139,0.06548721937029274,-1.7728708564209927,-0.2356930458971681,0.8342771632072706,-1.5371778105238247,17.84854427726374,-17.01426711405647,-0.702900647316554,-17.01426711405647,0.0,-1.7728708564209927,0.2356930458971681,0.8342771632072706
459,colosseum,,d3-c1-n0.05-m9,3,0.05,9.0,,3.218057928153633,3000,0.2649209403569407,0.05,5.014949321746826,1,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,5.066208426157633,0.13114770066697495,7.724958795819497,-17.186303903315864,0.3908501952388015,24.91126269913536,-8.572943850824748,8.96379404606355,25.30211289437416,8.96379404606355,7.724958795819497,7.724958795819497,17.186303903315864,0.3908501952388015
583,colosseum,,d4-c1-n0.05-m13,4,0.05,13.0,,28.472607937392368,3000,0.1302894537580969,0.0,6.401841640472412,1,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,6.558955891927083,0.10374396549364048,2.1277849150034487,-33.06052738460189,1.514442316785186,35.188312299605336,-4.153213011016678,5.667655327801864,36.70275461639052,5.667655327801864,2.1277849150034487,2.1277849150034487,33.06052738460189,1.514442316785186
722,colosseum,,d5-c1-n0.1-m2,5,0.1,2.0,,-51.81568753840308,3000,-0.2100568424677807,1.0,7.158074855804443,1,0.15121377023799723,0.061370690979241846,1.0,0.001,7.499305057525635,0.034443214345206905,-5.886696189032235,0.0,9.907037081417943,-5.886696189032235,8.215329936481377,1.6917071449365668,4.0203408923857085,-1.6917071449365668,0.0,-5.886696189032235,-0.0,9.907037081417943
846,colosseum,,d6-c1-n0.1-m6,6,0.1,6.0,,68.02202730824673,3000,0.3574771144096024,0.025,6.912284851074219,1,0.2241901802541967,0.07050366417352924,1.0,0.001,7.769206523895264,0.018084087986785728,1.890496553871998,-975.0,47.38539612543405,976.890496553872,27.691041503086346,19.694354622347703,1024.275892679306,19.694354622347703,1.890496553871998,1.890496553871998,975.0,47.38539612543405
1,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.0982791307180332,0.0,5.620700836181641,5,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,5.660355265935262,0.08926540042406504,3.6886152903696874,-0.2521834475695623,0.44423068249555764,3.9407987379392497,-1.2713470918351053,1.7155777743306628,4.385029420434807,1.7155777743306628,3.6886152903696874,3.6886152903696874,0.2521834475695623,0.44423068249555764
65,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0969654054678941,1.0,4.943090915679932,1,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,5.097828801472982,0.12915953654581017,-2.159230536372133,0.49159604012508795,1.1980368614761026,-2.650826576497221,-1.3577360417348654,2.555772903210968,-1.4527897150211184,-2.555772903210968,0.0,-2.159230536372133,-0.49159604012508795,1.1980368614761026
