instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,t_auto,ent_t2,wspread_t2,ent_t4,wspread_t4,ent_auto,wspread_auto,ent_t8,wspread_t8,ent_t16,wspread_t16,ent_t32,wspread_t32,ent_t64,wspread_t64,ent_t128,wspread_t128,mu_kappa_plus,mu_frac,mu_ent_t2,mu_ent_t4,mu_ent_t8,mu_ent_t16,mu_ent_t32,mu_ent_t64,mu_ent_t128,mu_ent_auto,mu_wspread_t2,mu_wspread_t4,mu_wspread_t8,mu_wspread_t16,mu_wspread_t32,mu_wspread_t64,mu_wspread_t128,mu_wspread_auto,sd_kappa_plus,sd_frac,sd_ent_t2,sd_ent_t4,sd_ent_t8,sd_ent_t16,sd_ent_t32,sd_ent_t64,sd_ent_t128,sd_ent_auto,sd_wspread_t2,sd_wspread_t4,sd_wspread_t8,sd_wspread_t16,sd_wspread_t32,sd_wspread_t64,sd_wspread_t128,sd_wspread_auto,z_plus,z_frac,S_diff
0,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.0404865804591246,0.0,6,4.788976192474365,0.1520583778619766,5.461749076843262,0.2189921587705612,5.863241672515869,0.2714796662330627,6.154847621917725,0.3169871568679809,6.8651442527771,0.4656173288822174,7.419188976287842,0.6705260872840881,7.590225219726562,0.8497058749198914,7.583795070648193,0.915940761566162,-0.005977246090684373,0.004166666666666667,4.669156853357951,5.357025369008382,6.057370313008627,6.749711227416992,7.316938241322835,7.566555706659953,7.595163520177206,5.660355265935262,0.13643090079228076,0.19477934489647544,0.2784032126267751,0.39689425428708397,0.5518732090791066,0.6993316213289896,0.7721735060214996,0.22767604688803353,0.02826436714094643,0.016522363806281668,0.09619163014580637,0.06773193668738947,0.045198629542724834,0.02920393579427152,0.012949905155024697,0.002504406837886986,0.0008928363930547317,0.08926540042406504,0.011293233747492038,0.011656825762030068,0.011664832029558987,0.0112423137146807,0.009713677137615133,0.006314594975667167,0.004213347306011526,0.007157369922485402,-1.2209484187759063,-0.2521834475695623,-0.968764971206344
64,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.2269108341745101,0.0,1,5.04109525680542,0.4221021831035614,5.90281867980957,0.5851160287857056,6.701709270477295,0.7965191602706909,7.301394939422607,1.038263916969299,7.5635666847229,1.2430654764175415,7.600300788879394,1.3395150899887085,7.600669860839844,1.3542019128799438,7.600663661956787,1.3544849157333374,-0.01156080209928355,0.995,5.1686320304870605,6.227100769678752,7.531568145751953,7.589186414082845,7.590623235702514,7.591772079467773,7.591827646891276,6.956223996480306,0.33722349603970847,0.48830176492532096,0.8724543193976084,0.975250635544459,0.9959937512874604,0.9991088291009267,0.9996510068575541,0.6520294060309728,0.03955325840848126,0.010170952554312156,0.30069388702915845,0.25233246199745163,0.0071425432580279075,0.003252121645372905,0.0011712480738223332,0.0010017532827617105,0.000998377174299341,0.5057585800912503,0.042519810856234394,0.05418003122441466,0.011110008557179363,0.005495595031110267,0.00524670316975197,0.0054793187999186335,0.005559338456662759,0.09155093194290902,6.029127456732088,-97.82761198489241,103.8567394416245
128,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.1556870530416073,1.0,1,6.53052282333374,0.701043426990509,7.373867988586426,0.9413098692893982,7.578962802886963,1.099806785583496,7.591074466705322,1.1450626850128174,7.594362735748291,1.152928590774536,7.5944976806640625,1.154707908630371,7.594490051269531,1.1548161506652832,7.594490051269531,1.154816508293152,0.10307559745691662,0.9845833333333334,6.5884238084157305,7.3631558577219645,7.586440722147624,7.593521912892659,7.593982807795206,7.593981409072876,7.593981583913167,7.499821774164835,0.7218379120031992,0.951287712653478,1.1507926344871522,1.1634159644444784,1.1666137456893921,1.1668194572130839,1.1668203075726826,1.0748205562432607,0.0729677896994548,0.019332429130659076,0.22224460106668986,0.05611323320058187,0.0023746510630121634,0.0006621228856503066,0.0006328443386471162,0.0006325617443121128,0.0006326533994349717,0.23886004501335753,0.06498323138638587,0.0414496439519679,0.005577086256512363,0.007071399596794457,0.007772142780186858,0.007826975686112878,0.007827255356561938,0.09554937232369816,0.7210230130498768,0.7974510891762443,-0.07642807612636748
192,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.0701490681749899,1.0,1,7.268465518951416,1.1758300065994265,7.549620151519775,1.3785914182662964,7.593394756317139,1.4649922847747805,7.597052097320557,1.4919229745864868,7.596618175506592,1.4964159727096558,7.596597194671631,1.496555209159851,7.596597194671631,1.4965553283691406,7.596597194671631,1.4965553283691406,0.2888645288180819,1.0,7.261055564880371,7.543686564763387,7.598183250427246,7.598578580220541,7.59857652982076,7.598576418558756,7.598576498031616,7.566277122497558,1.0604363679885864,1.2267317255338033,1.306274457772573,1.3101527214050293,1.310331658522288,1.3103320598602295,1.3103320558865865,1.2723702510197958,0.036398824889933575,0.0,0.08224470612942905,0.017135132226578587,0.0002671239359308475,0.00021311370570180208,0.00021330472803268504,0.00021342637601588554,0.00021353311999278488,0.08600045179236539,0.04596000088110804,0.018551884607954486,0.010914391851839352,0.011527111810909188,0.011561573246612295,0.011561638331946974,0.011561625934022312,0.06151026209657907,-6.008860486690595,0.0,-6.008860486690595
256,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5517682353310328,0.0,1,7.088289737701416,1.0873640775680542,7.530291080474853,1.2806059122085571,7.599347114562988,1.371833086013794,7.600898265838623,1.3867125511169434,7.600900173187256,1.387048602104187,7.600900173187256,1.3870487213134766,7.600900173187256,1.3870487213134766,7.600900173187256,1.3870487213134766,0.4403097779431379,1.0,7.422912724812826,7.574405018488566,7.600260670979818,7.60026528040568,7.600265153249105,7.600265200932821,7.600265216827393,7.584985478719076,1.2756821473439535,1.4022701819737753,1.4515195568402608,1.4522100289662678,1.4522134780883789,1.4522134820620218,1.452213474114736,1.4295558333396912,0.03220084053120525,0.0,0.042862761925491794,0.008366964102597666,5.6241520468225686e-05,5.3225429701332736e-05,5.311501178254995e-05,5.3331789474364796e-05,5.3354147929997236e-05,0.05148956989064449,0.035866186952500316,0.015285040741980801,0.013259049927531023,0.013386073729952767,0.013386800366060072,0.013386802938062312,0.013386841153958242,0.04629096860565518,3.461352422769292,-1000.0,1003.4613524227693
335,colosseum,,d2-c1-n0.05-m5,2,0.05,5.0,,-6.985728960248757,3000,-0.0455701055217114,0.0,5,5.092723369598389,0.1751827895641327,5.819664001464844,0.2545635402202606,6.053191184997559,0.2870335876941681,6.54564905166626,0.3696296215057373,7.219776153564453,0.5325095057487488,7.686167240142822,0.7279022336006165,7.9156389236450195,0.9104203581809998,7.9901018142700195,1.0496660470962524,0.00745966836540488,0.0175,4.7184529304504395,5.405885696411133,6.129505825042725,6.757111072540283,7.420674180984497,7.867435391743978,7.995563507080078,5.94357164700826,0.11357763136426605,0.16290358006954186,0.23548698971668877,0.32413673599561055,0.4590859125057856,0.618761396408081,0.7389630575974783,0.21684303556879359,0.029911808688745024,0.07424911470504386,0.213340304236494,0.19421191277486807,0.04837636384812571,0.03660504308152141,0.020322182664204366,0.0061370420124274945,0.0013069541078949958,0.3525321548433269,0.016450531875050405,0.01950430495913267,0.007498285608818061,0.011041957355698153,0.009984528324740862,0.007428415598367628,0.004142533979046067,0.03142864242822728,-1.7728708564209927,-0.2356930458971681,-1.5371778105238247
459,colosseum,,d3-c1-n0.05-m9,3,0.05,9.0,,3.218057928153633,3000,0.2649209403569407,0.05,1,5.014949321746826,0.3893660008907318,6.128492832183838,0.5806164145469666,7.0648698806762695,0.8353118896484375,7.558742046356201,1.0850613117218018,7.771611213684082,1.272085428237915,7.898896217346191,1.4351940155029297,7.973433017730713,1.6070950031280518,7.995048522949219,1.767176866531372,-0.13339043664545883,0.9383333333333332,5.136056645711263,6.189835246404012,7.822046756744385,7.993940289815267,7.996312808990479,7.9971816380818685,7.997324577967325,7.012419668833415,0.2902417947848638,0.4188876370588938,0.7961489280064901,0.9460454225540161,0.9918826321760813,0.9971494396527608,0.9980318148930868,0.5658234606186548,0.05156161832448258,0.051688445539586986,0.3203776561509491,0.2930968534743693,0.01878286628091085,0.003053160831848788,0.0011357725128522994,0.0009340775530700714,0.0009344729853804281,0.5049236650735075,0.04019742336922137,0.05218424040213493,0.013666652405024439,0.006424069327017411,0.004524623152588631,0.004497207239933444,0.004565322159608477,0.07619648033971005,7.724958795819497,-17.186303903315864,24.91126269913536
583,colosseum,,d4-c1-n0.05-m13,4,0.05,13.0,,28.472607937392368,3000,0.1302894537580969,0.0,1,6.401841640472412,0.8900090456008911,7.062197208404541,1.143806219100952,7.371234893798828,1.3507442474365234,7.560255527496338,1.533479928970337,7.7194671630859375,1.743221640586853,7.873607158660889,2.0484235286712646,7.976193428039551,2.495483636856079,7.9930739402771,2.9600138664245605,-0.09327934569536739,0.98125,6.623758840560913,7.607644446690878,7.987826379140218,7.996613852183024,7.997879552841186,7.997888708114624,7.997888644536336,7.862358967463176,0.6488878508408864,0.8850186705589295,1.1458001971244811,1.1625288685162862,1.1670963724454244,1.167632790406545,1.1676392873128256,1.0391868809858957,0.10507114599649368,0.029680409770384428,0.2833542440887241,0.09981276393037414,0.004317434154063882,0.0006733622908757165,0.0005800111668616397,0.0005827193633471459,0.0005827837140186508,0.3368333254991482,0.06716674922429508,0.05286233710315227,0.0048018531717315014,0.004784261946243383,0.005479753579451938,0.0055938599564309965,0.005595472211453702,0.10755941764647378,2.1277849150034487,-33.06052738460189,35.188312299605336
722,colosseum,,d5-c1-n0.1-m2,5,0.1,2.0,,-51.81568753840308,3000,-0.2100568424677807,1.0,1,7.158074855804443,1.2997890710830688,7.646658420562744,1.5661698579788208,7.896522521972656,1.8180221319198608,7.991676330566406,2.078557014465332,7.989195346832275,2.3127267360687256,7.961596965789795,2.446812868118286,7.952539920806885,2.4800865650177,7.951667308807373,2.4832406044006348,0.15121377023799723,1.0,7.528799978892009,7.9228909333546955,8.00171496073405,8.00295877456665,8.002961540222168,8.002961349487304,8.002961540222168,7.9534319877624515,1.0121387223402658,1.2022242347399394,1.3039064486821492,1.3100288788477579,1.3105241457621257,1.3105271935462952,1.3105271935462952,1.261769046386083,0.061370690979241846,0.0,0.1152943632729713,0.02374175180234136,0.0004600756957061345,0.0003236991081926892,0.00032625752584404077,0.0003261076114777571,0.00032609637858624325,0.1256946883740975,0.052552074113906694,0.0227854516299719,0.008995479525143674,0.010052980767564135,0.010147355368281062,0.010148005627540346,0.010148024406148872,0.07299298160706069,-5.886696189032235,0.0,-5.886696189032235
846,colosseum,,d6-c1-n0.1-m6,6,0.1,6.0,,68.02202730824673,3000,0.3574771144096024,0.025,1,6.912284851074219,1.4719281196594238,7.307700634002685,1.7426258325576782,7.574378967285156,2.024923324584961,7.789865970611572,2.37237548828125,7.934752941131592,2.8269355297088623,7.963313579559326,3.3039681911468506,7.942385196685791,3.562595129013061,7.936993598937988,3.6051528453826895,0.2241901802541967,1.0,7.781835110982259,7.96975679397583,8.005357042948406,8.005385208129884,8.005385144551594,8.00538501739502,8.005385080973307,7.987244129180908,1.2500988721847535,1.3894911289215088,1.4476956923802693,1.449016014734904,1.4490297238032024,1.4490297238032024,1.4490297238032024,1.422569994131724,0.07050366417352924,0.0,0.05458504258025387,0.010910686843674106,7.363100635980363e-05,7.857313694211739e-05,7.863599006767263e-05,7.859237326050944e-05,7.83468698292855e-05,0.05570520080560021,0.03801235010157325,0.012972275386232454,0.009663893336470905,0.009868587559645252,0.009870764413916851,0.009870752377890772,0.009870799036498361,0.048873924206392486,1.890496553871998,-975.0,976.890496553872
