instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,ent_k10_t8,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8,mu_kappa_plus,mu_frac,mu_ent_cak_t2,mu_ent_cak_t4,mu_ent_cak_t8,mu_ent_k10_t8,sd_kappa_plus,sd_frac,sd_ent_cak_t2,sd_ent_cak_t4,sd_ent_cak_t8,sd_ent_k10_t8,z_plus,z_frac,S_diff,z_ent_cak_t2,z_ent_cak_t4,z_ent_cak_t8,z_ent_k10_t8
0,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.0404865804591246,6.154847621917725,0.0,5.754546642303467,6.353228092193604,6.924358367919922,-0.005977246090684373,0.004166666666666667,5.554142173131307,6.235423787434896,6.894546667734782,6.057370313008627,0.02826436714094643,0.016522363806281668,0.040929649721457885,0.03289857433223674,0.029810251911173844,0.045198629542724834,-1.2209484187759063,-0.2521834475695623,-0.968764971206344,-4.896315275991601,-3.58083312574655,-1.0000485830837709,-2.1566430198277513
64,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.2269108341745101,7.301394939422607,0.0,4.756531238555908,5.558534145355225,6.3453688621521,-0.01156080209928355,0.995,5.434345213572184,6.404733546574911,7.156411075592041,7.531568145751953,0.03955325840848126,0.010170952554312156,0.06387082745426148,0.05468925343203854,0.034520419848644124,0.0071425432580279075,6.029127456732088,-97.82761198489241,103.8567394416245,10.612262311799002,15.472864376750815,23.494563999973987,32.22566500673842
128,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.1556870530416073,7.591074466705322,1.0,5.194728851318359,6.386178493499756,7.2082366943359375,0.10307559745691662,0.9845833333333334,5.30994356473287,6.46229141553243,7.21294272740682,7.586440722147624,0.0729677896994548,0.019332429130659076,0.08446397637178647,0.06856427125874077,0.03581073107540687,0.0023746510630121634,0.7210230130498768,0.7974510891762443,-0.07642807612636748,1.3640692560739505,1.1100959819939935,0.13141404628051448,-1.9513370321534844
192,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.0701490681749899,7.597052097320557,1.0,5.07183837890625,6.205960273742676,7.013537883758545,0.2888645288180819,1.0,5.063860813776652,6.3532570997873945,7.1658700466156,7.598183250427246,0.036398824889933575,0.0,0.10396287479072916,0.06817385130575644,0.036124001539504395,0.0002671239359308475,-6.008860486690595,0.0,-6.008860486690595,-0.0767347492617536,2.160605910088599,4.216923828066729,4.234562892117345
256,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5517682353310328,7.600898265838623,0.0,2.1448957920074463,3.0284130573272705,4.199990272521973,0.4403097779431379,1.0,4.690694284439087,6.054225317637125,6.990317519505819,7.600260670979818,0.03220084053120525,0.0,0.09056825213543589,0.07265949273243807,0.052477074776090066,5.6241520468225686e-05,3.461352422769292,-1000.0,1003.4613524227693,28.109171066088923,41.64372949109528,53.17230922054353,-11.336728692555857
335,colosseum,,d2-c1-n0.05-m5,2,0.05,5.0,,-6.985728960248757,3000,-0.0455701055217114,6.54564905166626,0.0,5.690940380096436,6.325231075286865,6.946824550628662,0.00745966836540488,0.0175,5.415722751617432,6.086958805720012,6.77007695833842,6.0572700023651125,0.029911808688745024,0.07424911470504386,0.06294747339509821,0.05230456272326661,0.03713879198477605,0.05890919580639425,-1.7728708564209927,-0.2356930458971681,-1.5371778105238247,-4.372179114347677,-4.555477709038623,-4.759109891422824,-8.290370333796623
459,colosseum,,d3-c1-n0.05-m9,3,0.05,9.0,,3.218057928153633,3000,0.2649209403569407,7.558742046356201,0.05,5.283914089202881,6.244361400604248,7.057916164398193,-0.13339043664545883,0.9383333333333332,5.272492535909017,6.271948083241781,7.196819416681925,7.822046756744385,0.05156161832448258,0.051688445539586986,0.08606897455713512,0.06582261181940272,0.048578961974909796,0.01878286628091085,7.724958795819497,-17.186303903315864,24.91126269913536,-0.13270232801811244,0.4191064723050204,2.8593293606288426,14.018345573581701
583,colosseum,,d4-c1-n0.05-m13,4,0.05,13.0,,28.472607937392368,3000,0.1302894537580969,7.560255527496338,0.0,5.386229038238525,6.374739170074463,6.9886345863342285,-0.09327934569536739,0.98125,5.135085566838582,6.379115883509318,7.358068799972534,7.987826379140218,0.10507114599649368,0.029680409770384428,0.0908633234910468,0.08139604700834609,0.05317567186980149,0.004317434154063882,2.1277849150034487,-33.06052738460189,35.188312299605336,-2.7639696827146034,0.05377058955216993,6.947429165405756,99.03355474255918
722,colosseum,,d5-c1-n0.1-m2,5,0.1,2.0,,-51.81568753840308,3000,-0.2100568424677807,7.991676330566406,1.0,5.029449939727783,6.173394203186035,6.97839879989624,0.15121377023799723,1.0,4.823663822809855,6.243747679392497,7.317367029190064,8.00171496073405,0.061370690979241846,0.0,0.10770314623313382,0.09448255344440228,0.04487416335679891,0.0004600756957061345,-5.886696189032235,0.0,-5.886696189032235,-1.9106787880874403,0.7446187009314985,7.5537503974983,21.819518529959602
846,colosseum,,d6-c1-n0.1-m6,6,0.1,6.0,,68.02202730824673,3000,0.3574771144096024,7.789865970611572,0.025,4.630706787109375,5.769073009490967,6.508885383605957,0.2241901802541967,1.0,4.427391386032104,5.918041308720906,7.1100481986999515,8.005357042948406,0.07050366417352924,0.0,0.08522408014515075,0.07483346455610415,0.0481352602254691,7.363100635980363e-05,1.890496553871998,-975.0,976.890496553872,-2.3856567384592595,1.9906642050262815,12.489032203796212,2926.6348918799185
