instance,err,name,dim,noise,m,ks_true,frac_t8_origin,frac_t8_mean,frac_t16_origin,frac_t16_mean
300,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132,-0.0,-0.0,-0.0,-0.0
302,,d2-c1-n0.01-m2,2,0.01,2,2.435305785100224,-0.0,-0.0,-0.0,-0.0
304,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983,-0.0,-0.0,-0.0,-0.0
306,,d2-c1-n0.01-m6,2,0.01,6,-8.964351133510938,-0.0,-0.0125,-0.0,-0.0041666666666666
308,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685,-0.0,-0.0,-0.0,-0.0
310,,d2-c1-n0.01-m10,2,0.01,10,-13.010242390174652,-0.0,-0.0041666666666666,-0.0,-0.0
312,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698,-0.0,-0.0,-0.0,-0.0
314,,d2-c1-n0.01-m14,2,0.01,14,-2.853722380261491,-0.0,-0.0,-0.0,-0.0
331,,d2-c1-n0.05-m1,2,0.05,1,0.7737598105819261,-0.0,-0.0,-0.0,-0.0
333,,d2-c1-n0.05-m3,2,0.05,3,-0.0201398711714281,-0.0,-0.0,-0.0,-0.0
335,,d2-c1-n0.05-m5,2,0.05,5,-6.985728960248757,-0.0,-0.0,-0.0,-0.0083333333333333
337,,d2-c1-n0.05-m7,2,0.05,7,0.013149415250463,-0.0,-0.0,-0.0,-0.0
339,,d2-c1-n0.05-m9,2,0.05,9,-11.98291658411206,-0.0,-0.0,-0.0,-0.0
341,,d2-c1-n0.05-m11,2,0.05,11,-1.8164727412950512,-0.0,-0.0,-0.0,-0.0
343,,d2-c1-n0.05-m13,2,0.05,13,-4.378023159484492,-0.0,-0.0,-0.0,-0.0
360,,d2-c1-n0.1-m0,2,0.1,0,-0.2773082867850632,-0.0,-0.0,-0.0,-0.0
362,,d2-c1-n0.1-m2,2,0.1,2,-12.086218290266444,-0.0,-0.0,-0.0,-0.0041666666666666
364,,d2-c1-n0.1-m4,2,0.1,4,-1.095170415248552,-0.0,-0.0,-0.0,-0.0
366,,d2-c1-n0.1-m6,2,0.1,6,-3.606518083255943,-0.0,-0.0,-0.0,-0.0
368,,d2-c1-n0.1-m8,2,0.1,8,-4.380389712820355,-0.0,-0.0041666666666666,-0.0,-0.0208333333333333
370,,d2-c1-n0.1-m10,2,0.1,10,-7.72404280863429,-0.0,-0.0,-0.0,-0.0
372,,d2-c1-n0.1-m12,2,0.1,12,-0.6620962286516345,-0.0,-0.0,-0.0,-0.0041666666666666
374,,d2-c1-n0.1-m14,2,0.1,14,-7.89412429083137,-0.0,-0.0,-0.0,-0.0
391,,d2-c1-n0.2-m1,2,0.2,1,-11.10729981739082,-0.0,-0.0125,-0.0,-0.0583333333333333
393,,d2-c1-n0.2-m3,2,0.2,3,-10.420195506771478,-0.0,-0.0375,-0.0,-0.0416666666666666
395,,d2-c1-n0.2-m5,2,0.2,5,-9.597076646976651,-0.0,-0.0166666666666666,-0.0,-0.0416666666666666
397,,d2-c1-n0.2-m7,2,0.2,7,-7.068274592865281,-0.0,-0.0083333333333333,-0.25,-0.025
399,,d2-c1-n0.2-m9,2,0.2,9,0.678826668015989,-0.0,-0.0,-0.0,-0.0166666666666666
401,,d2-c1-n0.2-m11,2,0.2,11,-23.39944863774402,-0.0,-0.0125,-0.0,-0.0166666666666666
403,,d2-c1-n0.2-m13,2,0.2,13,-0.7938535783685272,-0.0,-0.0041666666666666,-0.0,-0.0625
420,,d3-c1-n0.01-m0,3,0.01,0,1.2257813837761642,-0.0,-0.0,-0.0,-0.0291666666666666
422,,d3-c1-n0.01-m2,3,0.01,2,-10.734204673555151,-0.0,-0.0,-0.0,-0.0083333333333333
424,,d3-c1-n0.01-m4,3,0.01,4,-4.175905001060452,-0.0,-0.0,-0.25,-0.0125
426,,d3-c1-n0.01-m6,3,0.01,6,-3.8235642778157457,-0.0,-0.0,-0.25,-0.0375
428,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453,-0.375,-0.0208333333333333,-0.75,-0.0333333333333333
430,,d3-c1-n0.01-m10,3,0.01,10,-16.842236690951605,-0.0,-0.0,-0.0,-0.0
432,,d3-c1-n0.01-m12,3,0.01,12,-15.026763600360248,-0.125,-0.0041666666666666,-0.75,-0.0333333333333333
434,,d3-c1-n0.01-m14,3,0.01,14,1.6301777294930675,-0.0,-0.0,-0.0,-0.0333333333333333
451,,d3-c1-n0.05-m1,3,0.05,1,-12.659383196182684,-0.25,-0.0125,-0.75,-0.0416666666666666
453,,d3-c1-n0.05-m3,3,0.05,3,16.800746756883633,-0.0,-0.0,-0.0,-0.0041666666666666
455,,d3-c1-n0.05-m5,3,0.05,5,0.1038120113334293,-0.0,-0.0,-0.5,-0.0208333333333333
457,,d3-c1-n0.05-m7,3,0.05,7,-16.176625387033255,-0.0,-0.0041666666666666,-0.375,-0.0541666666666666
459,,d3-c1-n0.05-m9,3,0.05,9,3.218057928153633,-0.0,-0.0041666666666666,-0.0,-0.0458333333333333
461,,d3-c1-n0.05-m11,3,0.05,11,21.368395828400903,-0.0,-0.0,-0.0,-0.0
463,,d3-c1-n0.05-m13,3,0.05,13,1.5260272664429309,-0.0,-0.0041666666666666,-0.0,-0.0125
480,,d3-c1-n0.1-m0,3,0.1,0,10.984687542340705,-0.0,-0.0,-0.125,-0.025
482,,d3-c1-n0.1-m2,3,0.1,2,-3.557038532205605,-0.0,-0.0041666666666666,-0.0,-0.0166666666666666
484,,d3-c1-n0.1-m4,3,0.1,4,-9.95300009216142,-0.625,-0.0291666666666666,-0.75,-0.05
486,,d3-c1-n0.1-m6,3,0.1,6,-2.2494890599102795,-0.0,-0.0,-0.0,-0.0
488,,d3-c1-n0.1-m8,3,0.1,8,25.65230615275553,-0.0,-0.0,-0.0,-0.0125
490,,d3-c1-n0.1-m10,3,0.1,10,-20.614923975239662,-0.375,-0.0166666666666666,-0.375,-0.0666666666666666
492,,d3-c1-n0.1-m12,3,0.1,12,0.3353985029380055,-0.125,-0.0041666666666666,-0.25,-0.0458333333333333
494,,d3-c1-n0.1-m14,3,0.1,14,-1.6689192913019415,-0.0,-0.0,-0.125,-0.0541666666666666
511,,d3-c1-n0.2-m1,3,0.2,1,-3.66641372894382,-0.0,-0.0291666666666666,-0.0,-0.1125
513,,d3-c1-n0.2-m3,3,0.2,3,-4.361976627914746,-0.25,-0.025,-0.875,-0.1166666666666666
515,,d3-c1-n0.2-m5,3,0.2,5,0.0089580823909294,-0.0,-0.0,-0.125,-0.0083333333333333
517,,d3-c1-n0.2-m7,3,0.2,7,-2.043394187053898,-0.0,-0.0041666666666666,-0.0,-0.025
519,,d3-c1-n0.2-m9,3,0.2,9,2.771940661275317,-0.0,-0.0083333333333333,-0.0,-0.0541666666666666
521,,d3-c1-n0.2-m11,3,0.2,11,-2.5949241501049283,-0.0,-0.0,-0.0,-0.0666666666666666
523,,d3-c1-n0.2-m13,3,0.2,13,-9.60260942351796,-0.0,-0.0,-0.0,-0.0166666666666666
540,,d4-c1-n0.01-m0,4,0.01,0,0.8640063178340975,-0.0,-0.0083333333333333,-0.0,-0.1166666666666666
542,,d4-c1-n0.01-m2,4,0.01,2,22.442617233270976,-0.0,-0.0083333333333333,-0.0,-0.1083333333333333
544,,d4-c1-n0.01-m4,4,0.01,4,-16.875471101588957,-0.0,-0.0208333333333333,-0.375,-0.1333333333333333
546,,d4-c1-n0.01-m6,4,0.01,6,-35.825477386408664,-0.0,-0.0041666666666666,-0.0,-0.1708333333333333
548,,d4-c1-n0.01-m8,4,0.01,8,-37.35838600844277,-0.0,-0.0083333333333333,-0.0,-0.0208333333333333
550,,d4-c1-n0.01-m10,4,0.01,10,78.43052538097425,-0.0,-0.0041666666666666,-0.0,-0.2791666666666667
552,,d4-c1-n0.01-m12,4,0.01,12,-11.163127979587726,-0.0,-0.0041666666666666,-0.0,-0.2375
554,,d4-c1-n0.01-m14,4,0.01,14,-4.503402761482203,-0.0,-0.0083333333333333,-0.25,-0.2
571,,d4-c1-n0.05-m1,4,0.05,1,-39.90075492062513,-0.0,-0.0083333333333333,-0.5,-0.2833333333333333
