dataset,k,gamma,z_dim,seed,gamma_k,alpha,fit_rel_err,row_kl,fb_elapsed_s,local_spearman,global_spearman,slope_cv
sphere,1,0.8,64,7,0.8,0.2141,0.8631,1.2446,76.6,,,
sphere,1,0.8,128,7,0.8,0.2159,0.8392,1.3091,67.4,,,
sphere,1,0.98,64,7,0.98,0.0149,0.799,8.2625,67.1,0.94,0.9949,0.048
sphere,1,0.98,128,7,0.98,0.011,0.8694,9.5044,67.7,0.9398,0.9956,0.0504
sphere,2,0.8,64,7,0.64,0.406,0.9381,1.6459,65.2,,,
sphere,2,0.8,128,7,0.64,0.4259,0.9238,1.6231,63.6,,,
sphere,2,0.98,64,7,0.9604,0.0396,0.7318,6.6737,62.6,0.9337,0.9948,0.0553
sphere,2,0.98,128,7,0.9604,0.0332,0.7943,7.8112,64.6,0.9213,0.9944,0.0625
sphere,4,0.8,64,7,0.4096,0.7304,0.9707,2.322,58.5,,,
sphere,4,0.8,128,7,0.4096,0.7799,0.9639,2.1843,60.9,,,
sphere,4,0.98,64,7,0.9224,0.0881,0.8065,4.5403,58.5,0.8937,0.9902,0.0601
sphere,4,0.98,128,7,0.9224,0.0854,0.8167,5.1923,59.2,0.875,0.9903,0.0609
sphere,8,0.8,64,7,0.1678,1.1841,0.9841,3.3775,54.5,,,
sphere,8,0.8,128,7,0.1678,1.2577,0.9813,3.2202,54.5,,,
sphere,8,0.98,64,7,0.8508,0.1851,0.9137,2.6712,51.0,0.8907,0.984,0.0784
sphere,8,0.98,128,7,0.8508,0.1879,0.9124,3.121,54.2,0.8537,0.9841,0.0888
saddle,1,0.8,64,7,0.8,0.2113,0.8716,1.2288,67.6,,,
saddle,1,0.8,128,7,0.8,0.2117,0.8484,1.2129,65.8,,,
saddle,1,0.98,64,7,0.98,0.0175,0.7334,6.1762,66.3,0.8835,0.9525,0.2831
saddle,1,0.98,128,7,0.98,0.0135,0.8107,7.3651,68.3,0.8877,0.954,0.2793
saddle,2,0.8,64,7,0.64,0.3985,0.9405,1.6165,64.0,,,
saddle,2,0.8,128,7,0.64,0.4079,0.9291,1.5408,63.4,,,
saddle,2,0.98,64,7,0.9604,0.0399,0.7029,4.7835,66.4,0.8751,0.9427,0.2758
saddle,2,0.98,128,7,0.9604,0.0357,0.7459,5.8967,64.4,0.8719,0.9465,0.2798
saddle,4,0.8,64,7,0.4096,0.7044,0.9721,2.3093,58.2,,,
saddle,4,0.8,128,7,0.4096,0.7317,0.9661,2.1468,59.2,,,
saddle,4,0.98,64,7,0.9224,0.0844,0.792,3.5401,59.9,0.8489,0.9274,0.2995
saddle,4,0.98,128,7,0.9224,0.082,0.7957,4.2464,59.8,0.8509,0.9391,0.3051
saddle,8,0.8,64,7,0.1678,1.1108,0.9853,3.3916,52.4,,,
saddle,8,0.8,128,7,0.1678,1.1502,0.9827,3.2199,54.2,,,
saddle,8,0.98,64,7,0.8508,0.1721,0.9062,2.4757,53.0,0.8407,0.9488,0.2485
saddle,8,0.98,128,7,0.8508,0.1727,0.9039,2.7858,52.3,0.8153,0.9259,0.282
sphere,1,0.8,64,8,0.8,0.212,0.865,1.2451,76.5,,,
sphere,1,0.8,128,8,0.8,0.213,0.8421,1.3029,67.6,,,
sphere,1,0.98,64,8,0.98,0.0145,0.8045,8.2354,67.4,0.9442,0.9952,0.0489
sphere,1,0.98,128,8,0.98,0.0107,0.872,9.4195,67.6,0.9348,0.9951,0.0533
sphere,2,0.8,64,8,0.64,0.4023,0.9387,1.6529,62.8,,,
sphere,2,0.8,128,8,0.64,0.4193,0.9261,1.613,62.4,,,
sphere,2,0.98,64,8,0.9604,0.0392,0.7357,6.6521,61.8,0.9205,0.9937,0.0538
sphere,2,0.98,128,8,0.9604,0.0335,0.792,7.6352,63.5,0.9208,0.9938,0.0535
sphere,4,0.8,64,8,0.4096,0.7237,0.9711,2.3239,58.1,,,
sphere,4,0.8,128,8,0.4096,0.7687,0.9648,2.1842,58.0,,,
sphere,4,0.98,64,8,0.9224,0.0866,0.8088,4.4239,59.4,0.8867,0.9872,0.0811
sphere,4,0.98,128,8,0.9224,0.0839,0.8187,5.1102,59.8,0.8683,0.9892,0.0751
sphere,8,0.8,64,8,0.1678,1.173,0.9844,3.3815,54.5,,,
sphere,8,0.8,128,8,0.1678,1.2335,0.9819,3.2323,54.5,,,
sphere,8,0.98,64,8,0.8508,0.1807,0.9149,2.6712,53.4,0.8796,0.9827,0.0698
sphere,8,0.98,128,8,0.8508,0.1816,0.9147,3.1954,53.6,0.8434,0.9851,0.0784
saddle,1,0.8,64,8,0.8,0.212,0.8722,1.2221,66.1,,,
saddle,1,0.8,128,8,0.8,0.2123,0.8508,1.1848,72.5,,,
saddle,1,0.98,64,8,0.98,0.0176,0.7388,5.9956,67.9,0.8785,0.9572,0.2826
saddle,1,0.98,128,8,0.98,0.0138,0.8114,7.2079,68.3,0.8854,0.9539,0.2764
saddle,2,0.8,64,8,0.64,0.3994,0.941,1.6303,66.4,,,
saddle,2,0.8,128,8,0.64,0.4087,0.9296,1.5189,65.6,,,
saddle,2,0.98,64,8,0.9604,0.0403,0.7079,4.6903,65.9,0.8977,0.9448,0.2956
saddle,2,0.98,128,8,0.9604,0.0362,0.7483,5.6392,64.8,0.8747,0.9368,0.295
saddle,4,0.8,64,8,0.4096,0.7116,0.972,2.3017,59.4,,,
saddle,4,0.8,128,8,0.4096,0.7366,0.9665,2.1448,59.2,,,
saddle,4,0.98,64,8,0.9224,0.0857,0.7921,3.3372,58.0,0.8728,0.9215,0.3063
saddle,4,0.98,128,8,0.9224,0.0842,0.7933,3.9501,58.5,0.8633,0.9308,0.3143
saddle,8,0.8,64,8,0.1678,1.1251,0.9852,3.3959,53.7,,,
saddle,8,0.8,128,8,0.1678,1.1631,0.9827,3.2221,51.6,,,
saddle,8,0.98,64,8,0.8508,0.1765,0.9054,2.3273,51.2,0.862,0.955,0.2601
saddle,8,0.98,128,8,0.8508,0.1768,0.9029,2.6106,53.7,0.8312,0.9364,0.3055
