dataset,seed,variant,orc,orc_std,n_ok
plane,7,baseline,0.0188373295895444,0.0649412911945284,30
plane,7,meas_k4,0.07797709131549,0.049395754796889,30
plane,7,dist_k4,0.023009122009075,0.1081959720854742,30
plane,7,both_k4,0.0662974299565833,0.0857086469227037,30
plane,9,baseline,-0.0118861864697175,0.0631532040619502,30
plane,9,meas_k4,0.0593738667555263,0.0376335338947728,30
plane,9,dist_k4,0.0106530156256456,0.1036438278247446,30
plane,9,both_k4,0.062987399539158,0.0827013760591089,30
sphere,7,baseline,0.0280826553074007,0.041743645292224,30
sphere,7,meas_k4,0.0916234956010683,0.04049027383134,30
sphere,7,dist_k4,0.0264186548376834,0.051479132428202,30
sphere,7,both_k4,0.0809741035784484,0.0551282695427636,30
sphere,9,baseline,0.0286367960531635,0.0455498775194345,30
sphere,9,meas_k4,0.0904443358224739,0.0313352755675045,30
sphere,9,dist_k4,0.0281531681769429,0.0641655514533142,30
sphere,9,both_k4,0.0874083030962371,0.0489420219077048,30
saddle,7,baseline,-0.0390332680957895,0.090094186318944,30
saddle,7,meas_k4,0.0697500230857036,0.0563868703417686,30
saddle,7,dist_k4,-0.0297694594940379,0.0904484238096607,30
saddle,7,both_k4,0.0554936312898696,0.0681476747138846,30
saddle,9,baseline,0.000322460920575,0.0762698474739628,30
saddle,9,meas_k4,0.0592748234635358,0.048710344207565,30
saddle,9,dist_k4,0.0100260985206408,0.0829757007927667,30
saddle,9,both_k4,0.0679345280025077,0.0711827598198105,30
plane,8,baseline,-0.0009810481932717,0.0705934390923324,30
plane,8,meas_k4,0.0502364380654324,0.0552161554414117,30
plane,8,dist_k4,0.0191578533486791,0.1089166072903171,30
plane,8,both_k4,0.0474632751585293,0.0737560492805259,30
plane,10,baseline,0.0278772563708557,0.0685425834955477,30
plane,10,meas_k4,0.071795198311189,0.0494287586084368,30
plane,10,dist_k4,0.0243992607554323,0.0923850623869993,30
plane,10,both_k4,0.0478937177616165,0.0711134419617483,30
sphere,8,baseline,0.0102311237843796,0.0547523187563178,30
sphere,8,meas_k4,0.0718880228529276,0.0397347117706715,30
sphere,8,dist_k4,0.0269865883898577,0.074995229984493,30
sphere,8,both_k4,0.0784601249981329,0.0503334882940478,30
sphere,10,baseline,0.0379325537135605,0.0466502294849184,30
sphere,10,meas_k4,0.0908630082825183,0.0332854560363337,30
sphere,10,dist_k4,0.0477417724613895,0.0525197014919027,30
sphere,10,both_k4,0.0858122577552564,0.0456476065244767,30
saddle,8,baseline,-0.0257031264603093,0.0693149297551225,30
saddle,8,meas_k4,0.0586510795825779,0.0466342905797231,30
saddle,8,dist_k4,-0.005286315431678,0.0912334013541136,30
saddle,8,both_k4,0.0643703949814945,0.0568334615755301,30
saddle,10,baseline,-0.0182745056605196,0.0673179782223401,30
saddle,10,meas_k4,0.0704921084560157,0.0552736353679042,30
saddle,10,dist_k4,-0.0207938120420312,0.0841467033590984,30
saddle,10,both_k4,0.0533336779562609,0.0689917414971574,30
plane,-1,ens4_baseline,0.5483300746948945,0.0321665055888682,30
plane,-1,ens4_meas_k4,0.5578436946976357,0.035103590431868,30
plane,-1,ens4_dist_k4,0.5588237885847206,0.025980067608869,30
plane,-1,ens4_both_k4,0.5662143031036772,0.0269612791372865,30
sphere,-1,ens4_baseline,0.5337242780126057,0.0228817776947613,30
sphere,-1,ens4_meas_k4,0.5490979464567204,0.0222120807272463,30
sphere,-1,ens4_dist_k4,0.5592729206614407,0.0280254714322565,30
sphere,-1,ens4_both_k4,0.5699619397933703,0.0241162163145758,30
saddle,-1,ens4_baseline,0.5352597190165427,0.0242908190165186,30
saddle,-1,ens4_meas_k4,0.5451545099647562,0.0282318723189646,30
saddle,-1,ens4_dist_k4,0.555353640346236,0.0303157675580249,30
saddle,-1,ens4_both_k4,0.5663042026593682,0.0213934856471806,30
