dataset,seed,variant,orc,orc_std,n_ok
plane,-1,ens4_baseline,0.5483300746948945,0.032166505588868285,30
plane,-1,ens4_meas_k4,0.5578436946976357,0.03510359043186808,30
plane,-1,ens4_dist_k4,0.5588237885847206,0.025980067608869048,30
plane,-1,ens4_both_k4,0.5662143031036772,0.026961279137286596,30
sphere,-1,ens4_baseline,0.5337242780126057,0.02288177769476139,30
sphere,-1,ens4_meas_k4,0.5490979464567204,0.02221208072724635,30
sphere,-1,ens4_dist_k4,0.5592729206614407,0.028025471432256588,30
sphere,-1,ens4_both_k4,0.5699619397933703,0.024116216314575858,30
saddle,-1,ens4_baseline,0.5352597190165427,0.02429081901651863,30
saddle,-1,ens4_meas_k4,0.5451545099647562,0.02823187231896466,30
saddle,-1,ens4_dist_k4,0.555353640346236,0.030315767558024953,30
saddle,-1,ens4_both_k4,0.5663042026593682,0.021393485647180653,30
