dataset,k,gamma,erank,sv_share_z64,sv_share_z128
sphere,1,0.8,1778.7,0.8864,0.808
sphere,1,0.98,1046.7,0.68,0.5837
sphere,2,0.8,1954.5,0.9323,0.8824
sphere,2,0.98,1532.3,0.801,0.7363
sphere,4,0.8,1992.6,0.9538,0.916
sphere,4,0.98,1803.5,0.8751,0.8283
sphere,8,0.8,1999.5,0.9644,0.9315
sphere,8,0.98,1938.9,0.9238,0.8875
saddle,1,0.8,1776.7,0.8849,0.8071
saddle,1,0.98,999.1,0.6634,0.5703
saddle,2,0.8,1953.5,0.9315,0.8819
saddle,2,0.98,1491.4,0.7892,0.726
saddle,4,0.8,1992.3,0.9534,0.9158
saddle,4,0.98,1780.0,0.8677,0.8216
saddle,8,0.8,1999.5,0.9642,0.9314
saddle,8,0.98,1929.1,0.9196,0.8837
