dim,dataset,variant,seed,ks_true,orc
2,plane,relu_g0.5,7,0.0,0.0550115432117339
2,plane,relu_g0.5,8,0.0,0.0567689227124297
2,plane,relu_g0.5,9,0.0,0.0467598642042192
2,plane,relu_g0.5,10,0.0,0.0434769467668163
2,plane,relu_g0.8,7,0.0,-0.0139272016795988
2,plane,relu_g0.8,8,0.0,0.0077158819582392
2,plane,relu_g0.8,9,0.0,0.0354799899422538
2,plane,relu_g0.8,10,0.0,0.0143292054761564
2,plane,relu_g0.95,7,0.0,0.1411968227761668
2,plane,relu_g0.95,8,0.0,0.1408190685021247
2,plane,relu_g0.95,9,0.0,0.1317110685275735
2,plane,relu_g0.95,10,0.0,0.1177143004243154
2,plane,softplus_g0.8,7,0.0,0.0838078051610048
2,plane,softplus_g0.8,8,0.0,0.0870965660951205
2,plane,softplus_g0.8,9,0.0,0.099429571526849
2,plane,softplus_g0.8,10,0.0,0.0923665433895188
2,plane,kmetric,7,0.0,0.155725450974718
2,plane,kmetric,8,0.0,0.1556101636666788
2,plane,kmetric,9,0.0,0.1358255352916386
2,plane,kmetric,10,0.0,0.1413867840162778
2,saddle,relu_g0.5,7,-8.0,0.0723443711076939
2,saddle,relu_g0.5,8,-8.0,0.0640202645235255
2,saddle,relu_g0.5,9,-8.0,0.0704016107898465
2,saddle,relu_g0.5,10,-8.0,0.0741849503459291
2,saddle,relu_g0.8,7,-8.0,-0.0071166886833836
2,saddle,relu_g0.8,8,-8.0,-0.0076638704112765
2,saddle,relu_g0.8,9,-8.0,0.0019093831975545
2,saddle,relu_g0.8,10,-8.0,0.000905762274209
2,saddle,relu_g0.95,7,-8.0,0.0707397999819053
2,saddle,relu_g0.95,8,-8.0,0.0863990334054631
2,saddle,relu_g0.95,9,-8.0,0.0801587898295231
2,saddle,relu_g0.95,10,-8.0,0.0799029921293185
2,saddle,softplus_g0.8,7,-8.0,0.0953638956914073
2,saddle,softplus_g0.8,8,-8.0,0.0813798022325567
2,saddle,softplus_g0.8,9,-8.0,0.0941924267990922
2,saddle,softplus_g0.8,10,-8.0,0.1077318641976219
2,saddle,kmetric,7,-8.0,0.1181807685672535
2,saddle,kmetric,8,-8.0,0.1334463603023809
2,saddle,kmetric,9,-8.0,0.1247067110284468
2,saddle,kmetric,10,-8.0,0.1197621320704884
4,sphere,relu_g0.5,7,12.0,0.250804094419061
4,sphere,relu_g0.5,8,12.0,0.2347483423149143
4,sphere,relu_g0.5,9,12.0,0.2447672483353409
4,sphere,relu_g0.5,10,12.0,0.2394943658648425
4,sphere,relu_g0.8,7,12.0,0.1648490110258724
4,sphere,relu_g0.8,8,12.0,0.1620972891126331
4,sphere,relu_g0.8,9,12.0,0.1822845160557489
4,sphere,relu_g0.8,10,12.0,0.178021655099453
4,sphere,relu_g0.95,7,12.0,0.1001339331938146
4,sphere,relu_g0.95,8,12.0,0.1131839479484562
4,sphere,relu_g0.95,9,12.0,0.1237972936481119
4,sphere,relu_g0.95,10,12.0,0.1251458903712432
4,sphere,softplus_g0.8,7,12.0,0.2142438503383029
4,sphere,softplus_g0.8,8,12.0,0.2069052665108068
4,sphere,softplus_g0.8,9,12.0,0.2061039634577299
4,sphere,softplus_g0.8,10,12.0,0.2005710015892544
4,sphere,kmetric,7,12.0,0.2861839132359004
4,sphere,kmetric,8,12.0,0.2872429153747128
4,sphere,kmetric,9,12.0,0.2989026846361483
4,sphere,kmetric,10,12.0,0.2867301830776145
2,sphere,relu_g0.5,7,2.0,0.1224808415631356
2,sphere,relu_g0.5,8,2.0,0.1029528676878308
2,sphere,relu_g0.5,9,2.0,0.111582101034537
2,sphere,relu_g0.5,10,2.0,0.1130771784296715
2,sphere,relu_g0.8,7,2.0,0.0151638566853113
2,sphere,relu_g0.8,8,2.0,0.0201084325446007
2,sphere,relu_g0.8,9,2.0,0.0123243062898387
2,sphere,relu_g0.8,10,2.0,0.0230480483613365
2,sphere,relu_g0.95,7,2.0,0.0361885248542738
2,sphere,relu_g0.95,8,2.0,0.0253845234969922
2,sphere,relu_g0.95,9,2.0,0.0297648313669242
2,sphere,relu_g0.95,10,2.0,0.035213475578327
2,sphere,softplus_g0.8,7,2.0,0.105322142522557
2,sphere,softplus_g0.8,8,2.0,0.1143335344423926
2,sphere,softplus_g0.8,9,2.0,0.1068448270761907
2,sphere,softplus_g0.8,10,2.0,0.1186726972671917
2,sphere,kmetric,7,2.0,0.0508638149352312
2,sphere,kmetric,8,2.0,0.0509545524640254
2,sphere,kmetric,9,2.0,0.0490540262765497
2,sphere,kmetric,10,2.0,0.0544432320471884
4,plane,relu_g0.5,7,0.0,0.179655856034278
4,plane,relu_g0.5,8,0.0,0.1794000165416331
4,plane,relu_g0.5,9,0.0,0.1729479813541587
4,plane,relu_g0.5,10,0.0,0.1718645697083971
4,plane,relu_g0.8,7,0.0,0.1002788485721064
4,plane,relu_g0.8,8,0.0,0.1071564182118496
4,plane,relu_g0.8,9,0.0,0.0959495664965084
4,plane,relu_g0.8,10,0.0,0.0902607749329358
4,plane,relu_g0.95,7,0.0,0.1265200578668364
4,plane,relu_g0.95,8,0.0,0.1138010532545206
4,plane,relu_g0.95,9,0.0,0.1199289311695413
4,plane,relu_g0.95,10,0.0,0.1157423656666054
4,plane,softplus_g0.8,7,0.0,0.1416961873682307
4,plane,softplus_g0.8,8,0.0,0.1447014042367802
4,plane,softplus_g0.8,9,0.0,0.1537517687867259
4,plane,softplus_g0.8,10,0.0,0.1427197381675024
4,plane,kmetric,7,0.0,0.141486832850664
4,plane,kmetric,8,0.0,0.1483862286995058
4,plane,kmetric,9,0.0,0.1359328548725997
4,plane,kmetric,10,0.0,0.1319284255020886
4,saddle,relu_g0.5,7,-16.0,0.1746349145916887
4,saddle,relu_g0.5,8,-16.0,0.1852201283062805
4,saddle,relu_g0.5,9,-16.0,0.187451278853475
4,saddle,relu_g0.5,10,-16.0,0.18232158687873
4,saddle,relu_g0.8,7,-16.0,0.1240718531059732
4,saddle,relu_g0.8,8,-16.0,0.123496262127515
4,saddle,relu_g0.8,9,-16.0,0.1114294516677797
4,saddle,relu_g0.8,10,-16.0,0.1246946219713216
4,saddle,relu_g0.95,7,-16.0,0.1137690065701179
4,saddle,relu_g0.95,8,-16.0,0.1250789463019568
4,saddle,relu_g0.95,9,-16.0,0.1091658783748873
4,saddle,relu_g0.95,10,-16.0,0.1171628043184686
4,saddle,softplus_g0.8,7,-16.0,0.1590521183008491
4,saddle,softplus_g0.8,8,-16.0,0.1597648739840891
4,saddle,softplus_g0.8,9,-16.0,0.1514105190548713
4,saddle,softplus_g0.8,10,-16.0,0.163960507638044
4,saddle,kmetric,7,-16.0,0.1648397565636656
4,saddle,kmetric,8,-16.0,0.1793186519775051
4,saddle,kmetric,9,-16.0,0.1630413567746782
4,saddle,kmetric,10,-16.0,0.1748212963236636
