dataset,seed,variant,ks_true,orc,orc_std,n_ok,spread
saddle,7,relu,-8.0,-0.031550516286877,0.101619944359413,30,162.42353190566854
saddle,7,softplus_sharp,-8.0,0.1175749974809745,0.0397450051691589,30,331.7986290416171
saddle,7,softplus_wide,-8.0,0.2772309808894544,0.0460881709426679,30,569.8312015259193
saddle,7,shift,-8.0,0.4313215460372703,0.0460673777657421,30,653.6080891190136
saddle,9,relu,-8.0,-0.0209963955746616,0.1213804572133533,30,166.94952753761538
saddle,9,softplus_sharp,-8.0,0.1322291136882781,0.0507709756172146,30,338.1822918004342
saddle,9,softplus_wide,-8.0,0.2791995845894214,0.0477014340808183,30,582.2932966031027
saddle,9,shift,-8.0,0.4488407008366082,0.0601899039184775,30,674.1632592258226
plane,7,relu,0.0,0.0039844923104911,0.078038953256039,30,157.33412444077538
plane,7,softplus_sharp,0.0,0.0886845222535809,0.043327818736925,30,316.6898636939657
plane,7,softplus_wide,0.0,0.2596158967744116,0.036890474375673,30,555.1978998040667
plane,7,shift,0.0,0.404058056322471,0.0522281634025025,30,638.1661817089167
plane,9,relu,0.0,-0.0405077591955858,0.0997669603308795,30,151.97691659013157
plane,9,softplus_sharp,0.0,0.0978125975238542,0.0433787663565053,30,308.15088004512296
plane,9,softplus_wide,0.0,0.2566242126694079,0.0341994953100937,30,550.7691379926762
plane,9,shift,0.0,0.4279822142341131,0.0435428389393583,30,643.5412541662625
sphere,7,relu,2.0,0.0280826553074007,0.041743645292224,30,182.43141051653112
sphere,7,softplus_sharp,2.0,0.121357427303069,0.0181238702679906,30,299.23855939059143
sphere,7,softplus_wide,2.0,0.3103371518839862,0.0208785224472565,30,494.79676201160686
sphere,7,shift,2.0,0.4553707072039109,0.0205608079566964,30,554.9858920249732
sphere,9,relu,2.0,0.0286367960531635,0.0455498775194345,30,182.2118490116472
sphere,9,softplus_sharp,2.0,0.1343474868922508,0.0262179138293468,30,300.4263348686647
sphere,9,softplus_wide,2.0,0.3050466933438663,0.0227224887119031,30,495.1241154539287
sphere,9,shift,2.0,0.4466674915103583,0.0263776074507235,30,557.5082045928833
saddle,8,relu,-8.0,-0.0020882111065716,0.0719910459372934,30,174.43326024118173
saddle,8,softplus_sharp,-8.0,0.1113824345524829,0.0372006317191182,30,327.35893472987414
saddle,8,softplus_wide,-8.0,0.2752157596601655,0.0400730262975289,30,556.1843254359433
saddle,8,shift,-8.0,0.4182082669849457,0.0553721140109393,30,638.9952659164126
saddle,10,relu,-8.0,-0.0404022022012227,0.1062283333413307,30,156.47008303521255
saddle,10,softplus_sharp,-8.0,0.1081300433155452,0.0460507627701642,30,323.8289621579826
saddle,10,softplus_wide,-8.0,0.2761539533060953,0.0511557030634951,30,573.3191754444317
saddle,10,shift,-8.0,0.4314728023346275,0.0489716678848236,30,661.0970873268685
plane,8,relu,0.0,-0.0193953234316576,0.0962352226700429,30,156.8217009771027
plane,8,softplus_sharp,0.0,0.1022944941989835,0.0388530324466981,30,322.31571498178187
plane,8,softplus_wide,0.0,0.2664067187009557,0.0290024370774306,30,574.0422778286335
plane,8,shift,0.0,0.4205618745032793,0.037281600203978,30,665.8483689690095
plane,10,relu,0.0,0.0098042309374878,0.0971288221582588,30,164.5605785026224
plane,10,softplus_sharp,0.0,0.1110830026518485,0.0451817112843014,30,315.9518623518999
plane,10,softplus_wide,0.0,0.2514465691047653,0.0478381997437633,30,558.773411190445
plane,10,shift,0.0,0.3942113599851887,0.0501794766594083,30,647.201562055869
sphere,8,relu,2.0,0.0102311237843796,0.0547523187563178,30,183.61549864506824
sphere,8,softplus_sharp,2.0,0.122910025644217,0.0263989966227806,30,306.215929882641
sphere,8,softplus_wide,2.0,0.3042193016108608,0.0322703218563463,30,498.5592664540698
sphere,8,shift,2.0,0.4374038268347756,0.023263006632008,30,554.687179492518
sphere,10,relu,2.0,0.0379325537135605,0.0466502294849184,30,186.12792943701567
sphere,10,softplus_sharp,2.0,0.1324985922046712,0.0250126217792083,30,299.1029644019119
sphere,10,softplus_wide,2.0,0.3130053970061188,0.0194931820805076,30,491.8448881845546
sphere,10,shift,2.0,0.4406276571647675,0.0198861701583725,30,550.7196333256089
