dataset,seed,variant,ks_true,orc,orc_std,n_ok,spread
saddle,7,relu,-8.0,-0.03155051628687706,0.101619944359413,30,162.42353190566854
saddle,7,softplus_sharp,-8.0,0.11757499748097458,0.039745005169158916,30,331.7986290416171
saddle,7,softplus_wide,-8.0,0.2772309808894544,0.04608817094266798,30,569.8312015259193
saddle,7,shift,-8.0,0.4313215460372703,0.04606737776574217,30,653.6080891190136
saddle,9,relu,-8.0,-0.02099639557466167,0.12138045721335335,30,166.94952753761538
saddle,9,softplus_sharp,-8.0,0.13222911368827814,0.05077097561721462,30,338.1822918004342
saddle,9,softplus_wide,-8.0,0.27919958458942146,0.04770143408081833,30,582.2932966031027
saddle,9,shift,-8.0,0.44884070083660826,0.06018990391847752,30,674.1632592258226
plane,7,relu,0.0,0.003984492310491126,0.07803895325603906,30,157.33412444077538
plane,7,softplus_sharp,0.0,0.08868452225358095,0.04332781873692502,30,316.6898636939657
plane,7,softplus_wide,0.0,0.25961589677441166,0.036890474375673055,30,555.1978998040667
plane,7,shift,0.0,0.40405805632247105,0.05222816340250251,30,638.1661817089167
plane,9,relu,0.0,-0.040507759195585885,0.09976696033087955,30,151.97691659013157
plane,9,softplus_sharp,0.0,0.09781259752385424,0.04337876635650534,30,308.15088004512296
plane,9,softplus_wide,0.0,0.2566242126694079,0.03419949531009373,30,550.7691379926762
plane,9,shift,0.0,0.4279822142341131,0.04354283893935831,30,643.5412541662625
sphere,7,relu,2.0,0.02808265530740074,0.04174364529222405,30,182.43141051653112
sphere,7,softplus_sharp,2.0,0.12135742730306903,0.018123870267990658,30,299.23855939059143
sphere,7,softplus_wide,2.0,0.31033715188398625,0.020878522447256565,30,494.79676201160686
sphere,7,shift,2.0,0.4553707072039109,0.020560807956696427,30,554.9858920249732
sphere,9,relu,2.0,0.028636796053163518,0.04554987751943456,30,182.2118490116472
sphere,9,softplus_sharp,2.0,0.13434748689225082,0.026217913829346864,30,300.4263348686647
sphere,9,softplus_wide,2.0,0.30504669334386636,0.02272248871190313,30,495.12411545392865
sphere,9,shift,2.0,0.44666749151035834,0.0263776074507235,30,557.5082045928833
