dataset,gamma,z_dim,n_traj,derivation,reference,local_spearman,local_std,global_spearman,slope_cv,fb_elapsed_s
sphere,0.5,16.0,100.0,potential,graph,0.8769,0.068,0.1433,0.1099,14.9
sphere,0.5,16.0,100.0,potential,analytic,0.8642,0.0768,0.1482,0.1043,14.9
sphere,0.5,16.0,100.0,varadhan,graph,0.8575,0.0762,0.3454,0.1504,14.9
sphere,0.5,16.0,100.0,varadhan,analytic,0.8692,0.0636,0.3474,0.1323,14.9
sphere,0.5,16.0,100.0,b_l2,graph,0.8738,0.0729,0.3073,0.1345,14.9
sphere,0.5,16.0,100.0,b_l2,analytic,0.8835,0.0562,0.2927,0.112,14.9
sphere,0.5,16.0,100.0,f_l2,graph,0.8797,0.0625,0.3325,0.1038,14.9
sphere,0.5,16.0,100.0,f_l2,analytic,0.8912,0.0507,0.3253,0.0837,14.9
sphere,0.5,64.0,100.0,potential,graph,0.833,0.0748,0.0503,0.0788,13.6
sphere,0.5,64.0,100.0,potential,analytic,0.8527,0.0933,0.0457,0.0794,13.6
sphere,0.5,64.0,100.0,varadhan,graph,0.8867,0.075,0.1471,0.159,13.6
sphere,0.5,64.0,100.0,varadhan,analytic,0.9032,0.0597,0.1413,0.1639,13.6
sphere,0.5,64.0,100.0,b_l2,graph,0.885,0.0646,0.0723,0.1002,13.6
sphere,0.5,64.0,100.0,b_l2,analytic,0.899,0.061,0.0732,0.0941,13.6
sphere,0.5,64.0,100.0,f_l2,graph,0.9319,0.0357,0.1558,0.0522,13.6
sphere,0.5,64.0,100.0,f_l2,analytic,0.9402,0.0306,0.1611,0.0563,13.6
sphere,0.8,16.0,100.0,potential,graph,0.8853,0.0656,0.1929,0.1029,13.5
sphere,0.8,16.0,100.0,potential,analytic,0.8799,0.0703,0.1987,0.0993,13.5
sphere,0.8,16.0,100.0,varadhan,graph,0.8524,0.0823,0.3739,0.153,13.5
sphere,0.8,16.0,100.0,varadhan,analytic,0.8655,0.0634,0.3767,0.1333,13.5
sphere,0.8,16.0,100.0,b_l2,graph,0.8779,0.0675,0.3093,0.13,13.5
sphere,0.8,16.0,100.0,b_l2,analytic,0.8882,0.0535,0.293,0.1089,13.5
sphere,0.8,16.0,100.0,f_l2,graph,0.8798,0.0626,0.379,0.1015,13.5
sphere,0.8,16.0,100.0,f_l2,analytic,0.8911,0.0476,0.3761,0.0875,13.5
sphere,0.8,64.0,100.0,potential,graph,0.865,0.0645,0.2177,0.0746,13.1
sphere,0.8,64.0,100.0,potential,analytic,0.8758,0.0789,0.2181,0.0711,13.1
sphere,0.8,64.0,100.0,varadhan,graph,0.8966,0.0675,0.2323,0.1473,13.1
sphere,0.8,64.0,100.0,varadhan,analytic,0.9155,0.0561,0.2271,0.1422,13.1
sphere,0.8,64.0,100.0,b_l2,graph,0.8998,0.0549,0.0775,0.0962,13.1
sphere,0.8,64.0,100.0,b_l2,analytic,0.9207,0.0506,0.076,0.0901,13.1
sphere,0.8,64.0,100.0,f_l2,graph,0.9328,0.0306,0.2304,0.0491,13.1
sphere,0.8,64.0,100.0,f_l2,analytic,0.9382,0.0318,0.2345,0.055,13.1
sphere,0.9,16.0,100.0,potential,graph,0.8928,0.0635,0.2948,0.1007,12.9
sphere,0.9,16.0,100.0,potential,analytic,0.8895,0.0631,0.3022,0.0983,12.9
sphere,0.9,16.0,100.0,varadhan,graph,0.854,0.0834,0.4177,0.145,12.9
sphere,0.9,16.0,100.0,varadhan,analytic,0.8665,0.0635,0.4205,0.1274,12.9
sphere,0.9,16.0,100.0,b_l2,graph,0.8798,0.0665,0.2971,0.1287,12.9
sphere,0.9,16.0,100.0,b_l2,analytic,0.8888,0.0539,0.2806,0.1092,12.9
sphere,0.9,16.0,100.0,f_l2,graph,0.8828,0.0634,0.4616,0.0994,12.9
sphere,0.9,16.0,100.0,f_l2,analytic,0.8949,0.0441,0.4619,0.0875,12.9
sphere,0.9,64.0,100.0,potential,graph,0.8796,0.0518,0.4297,0.0555,13.9
sphere,0.9,64.0,100.0,potential,analytic,0.8939,0.0617,0.434,0.0624,13.9
sphere,0.9,64.0,100.0,varadhan,graph,0.9054,0.0575,0.3446,0.1362,13.9
sphere,0.9,64.0,100.0,varadhan,analytic,0.9243,0.0533,0.3352,0.1295,13.9
sphere,0.9,64.0,100.0,b_l2,graph,0.9042,0.0535,0.0615,0.0972,13.9
sphere,0.9,64.0,100.0,b_l2,analytic,0.9292,0.0466,0.0617,0.09,13.9
sphere,0.9,64.0,100.0,f_l2,graph,0.9318,0.0314,0.3716,0.0461,13.9
sphere,0.9,64.0,100.0,f_l2,analytic,0.941,0.0351,0.3721,0.052,13.9
sphere,0.98,16.0,100.0,potential,graph,0.8959,0.0637,0.5549,0.0941,13.1
sphere,0.98,16.0,100.0,potential,analytic,0.8965,0.0642,0.563,0.096,13.1
sphere,0.98,16.0,100.0,varadhan,graph,0.8612,0.0781,0.5056,0.1273,13.1
sphere,0.98,16.0,100.0,varadhan,analytic,0.8722,0.0611,0.5101,0.1119,13.1
sphere,0.98,16.0,100.0,b_l2,graph,0.8847,0.0643,0.2738,0.1293,13.1
sphere,0.98,16.0,100.0,b_l2,analytic,0.8919,0.0535,0.2569,0.111,13.1
sphere,0.98,16.0,100.0,f_l2,graph,0.8914,0.0597,0.632,0.095,13.1
sphere,0.98,16.0,100.0,f_l2,analytic,0.9044,0.0398,0.6353,0.0842,13.1
sphere,0.98,64.0,100.0,potential,graph,0.8934,0.0526,0.6854,0.0574,13.3
sphere,0.98,64.0,100.0,potential,analytic,0.905,0.0476,0.6929,0.0676,13.3
sphere,0.98,64.0,100.0,varadhan,graph,0.9163,0.0563,0.534,0.121,13.3
sphere,0.98,64.0,100.0,varadhan,analytic,0.9345,0.0477,0.538,0.112,13.3
sphere,0.98,64.0,100.0,b_l2,graph,0.9123,0.0475,0.0692,0.0982,13.3
sphere,0.98,64.0,100.0,b_l2,analytic,0.9377,0.0403,0.0666,0.0921,13.3
sphere,0.98,64.0,100.0,f_l2,graph,0.9321,0.0314,0.5955,0.0445,13.3
sphere,0.98,64.0,100.0,f_l2,analytic,0.9432,0.0348,0.5942,0.05,13.3
saddle,0.5,16.0,100.0,potential,graph,0.7633,0.0968,0.0979,0.2332,12.7
saddle,0.5,16.0,100.0,varadhan,graph,0.759,0.1105,0.3022,0.2943,12.7
saddle,0.5,16.0,100.0,b_l2,graph,0.7786,0.0894,0.2236,0.2949,12.7
saddle,0.5,16.0,100.0,f_l2,graph,0.7917,0.0931,0.4117,0.2459,12.7
saddle,0.5,64.0,100.0,potential,graph,0.7696,0.1069,0.0721,0.2104,13.1
saddle,0.5,64.0,100.0,varadhan,graph,0.7964,0.1102,0.176,0.2295,13.1
saddle,0.5,64.0,100.0,b_l2,graph,0.7738,0.11,0.0728,0.2309,13.1
saddle,0.5,64.0,100.0,f_l2,graph,0.8518,0.0762,0.1915,0.2523,13.1
saddle,0.8,16.0,100.0,potential,graph,0.772,0.0955,0.143,0.226,15.1
saddle,0.8,16.0,100.0,varadhan,graph,0.7476,0.1194,0.3292,0.2977,15.1
saddle,0.8,16.0,100.0,b_l2,graph,0.7765,0.0905,0.2384,0.2873,15.1
saddle,0.8,16.0,100.0,f_l2,graph,0.7973,0.0933,0.4947,0.2385,15.1
saddle,0.8,64.0,100.0,potential,graph,0.8006,0.0915,0.2449,0.214,14.0
saddle,0.8,64.0,100.0,varadhan,graph,0.7918,0.1128,0.2607,0.2413,14.0
saddle,0.8,64.0,100.0,b_l2,graph,0.7735,0.1062,0.0793,0.2359,14.0
saddle,0.8,64.0,100.0,f_l2,graph,0.8586,0.0767,0.2752,0.2494,14.0
saddle,0.9,16.0,100.0,potential,graph,0.7779,0.0947,0.2244,0.2275,13.1
saddle,0.9,16.0,100.0,varadhan,graph,0.7429,0.1233,0.36,0.3065,13.1
saddle,0.9,16.0,100.0,b_l2,graph,0.7723,0.0935,0.2295,0.284,13.1
saddle,0.9,16.0,100.0,f_l2,graph,0.7994,0.0923,0.5581,0.2467,13.1
saddle,0.9,64.0,100.0,potential,graph,0.7994,0.0923,0.3907,0.2314,12.7
saddle,0.9,64.0,100.0,varadhan,graph,0.7873,0.1164,0.3667,0.2599,12.7
saddle,0.9,64.0,100.0,b_l2,graph,0.7767,0.0992,0.0695,0.2386,12.7
saddle,0.9,64.0,100.0,f_l2,graph,0.856,0.0789,0.4326,0.2362,12.7
saddle,0.98,16.0,100.0,potential,graph,0.7914,0.0881,0.4607,0.2305,12.9
saddle,0.98,16.0,100.0,varadhan,graph,0.7389,0.1244,0.4346,0.316,12.9
saddle,0.98,16.0,100.0,b_l2,graph,0.7643,0.0963,0.1964,0.2916,12.9
saddle,0.98,16.0,100.0,f_l2,graph,0.7996,0.0913,0.6765,0.2676,12.9
saddle,0.98,64.0,100.0,potential,graph,0.8156,0.0957,0.4876,0.2713,13.8
saddle,0.98,64.0,100.0,varadhan,graph,0.7831,0.1177,0.534,0.2795,13.8
saddle,0.98,64.0,100.0,b_l2,graph,0.7837,0.097,0.0903,0.2477,13.8
saddle,0.98,64.0,100.0,f_l2,graph,0.8428,0.0829,0.5984,0.2437,13.8
sphere,0.5,16.0,500.0,potential,graph,0.9031,0.0479,0.0654,0.0649,69.1
sphere,0.5,16.0,500.0,potential,analytic,0.9153,0.0424,0.054,0.0646,69.1
sphere,0.5,16.0,500.0,varadhan,graph,0.882,0.0669,0.326,0.0988,69.1
sphere,0.5,16.0,500.0,varadhan,analytic,0.8867,0.0719,0.326,0.0865,69.1
sphere,0.5,16.0,500.0,b_l2,graph,0.8935,0.058,0.2647,0.0789,69.1
sphere,0.5,16.0,500.0,b_l2,analytic,0.9004,0.0502,0.2583,0.0818,69.1
sphere,0.5,16.0,500.0,f_l2,graph,0.8946,0.0541,0.2895,0.0801,69.1
sphere,0.5,16.0,500.0,f_l2,analytic,0.9034,0.0536,0.2892,0.0794,69.1
sphere,,,,graph_geodesic_ceiling,analytic,0.9755,0.019,0.9993,0.0131,0.0
sphere,0.5,64.0,500.0,potential,graph,0.8727,0.0622,0.033,0.0574,68.0
sphere,0.5,64.0,500.0,potential,analytic,0.8886,0.0511,0.0519,0.0601,68.0
sphere,0.5,64.0,500.0,varadhan,graph,0.9356,0.0449,0.123,0.0948,68.0
sphere,0.5,64.0,500.0,varadhan,analytic,0.9482,0.0274,0.112,0.1011,68.0
sphere,0.5,64.0,500.0,b_l2,graph,0.9242,0.0351,0.0275,0.0585,68.0
sphere,0.5,64.0,500.0,b_l2,analytic,0.9347,0.0309,0.0546,0.0622,68.0
sphere,0.5,64.0,500.0,f_l2,graph,0.9309,0.0325,0.1111,0.0577,68.0
sphere,0.5,64.0,500.0,f_l2,analytic,0.9363,0.0301,0.102,0.0566,68.0
sphere,0.8,16.0,500.0,potential,graph,0.909,0.0464,0.1335,0.0612,68.2
sphere,0.8,16.0,500.0,potential,analytic,0.9158,0.0446,0.1234,0.0642,68.2
sphere,0.8,16.0,500.0,varadhan,graph,0.8702,0.0725,0.3575,0.1082,68.2
sphere,0.8,16.0,500.0,varadhan,analytic,0.8695,0.0806,0.3555,0.0969,68.2
sphere,0.8,16.0,500.0,b_l2,graph,0.8901,0.0591,0.2685,0.0827,68.2
sphere,0.8,16.0,500.0,b_l2,analytic,0.8967,0.0526,0.26,0.0852,68.2
sphere,0.8,16.0,500.0,f_l2,graph,0.8864,0.0584,0.3376,0.0723,68.2
sphere,0.8,16.0,500.0,f_l2,analytic,0.8951,0.0593,0.3381,0.0761,68.2
sphere,0.8,64.0,500.0,potential,graph,0.899,0.0448,0.195,0.0494,68.0
sphere,0.8,64.0,500.0,potential,analytic,0.9159,0.0323,0.203,0.055,68.0
sphere,0.8,64.0,500.0,varadhan,graph,0.9396,0.0447,0.1794,0.0885,68.0
sphere,0.8,64.0,500.0,varadhan,analytic,0.956,0.0251,0.1784,0.0945,68.0
sphere,0.8,64.0,500.0,b_l2,graph,0.9292,0.0301,0.0259,0.0549,68.0
sphere,0.8,64.0,500.0,b_l2,analytic,0.9411,0.0273,0.0405,0.0597,68.0
sphere,0.8,64.0,500.0,f_l2,graph,0.9351,0.0305,0.1658,0.0596,68.0
sphere,0.8,64.0,500.0,f_l2,analytic,0.9406,0.0294,0.1658,0.0601,68.0
sphere,0.9,16.0,500.0,potential,graph,0.9134,0.0441,0.2595,0.0586,69.4
sphere,0.9,16.0,500.0,potential,analytic,0.9242,0.0403,0.2538,0.0652,69.4
sphere,0.9,16.0,500.0,varadhan,graph,0.863,0.0764,0.4011,0.111,69.4
sphere,0.9,16.0,500.0,varadhan,analytic,0.8597,0.0855,0.3955,0.0967,69.4
sphere,0.9,16.0,500.0,b_l2,graph,0.8876,0.0606,0.2694,0.0878,69.4
sphere,0.9,16.0,500.0,b_l2,analytic,0.8958,0.0524,0.2621,0.0895,69.4
sphere,0.9,16.0,500.0,f_l2,graph,0.8833,0.0592,0.4059,0.0757,69.4
sphere,0.9,16.0,500.0,f_l2,analytic,0.8915,0.0597,0.4081,0.0762,69.4
sphere,0.9,64.0,500.0,potential,graph,0.9239,0.0406,0.4852,0.0407,68.6
sphere,0.9,64.0,500.0,potential,analytic,0.9367,0.0237,0.4924,0.0448,68.6
sphere,0.9,64.0,500.0,varadhan,graph,0.948,0.0356,0.2812,0.0818,68.6
sphere,0.9,64.0,500.0,varadhan,analytic,0.9625,0.024,0.2886,0.0866,68.6
sphere,0.9,64.0,500.0,b_l2,graph,0.941,0.029,0.0216,0.0553,68.6
sphere,0.9,64.0,500.0,b_l2,analytic,0.9558,0.0247,0.0343,0.0562,68.6
sphere,0.9,64.0,500.0,f_l2,graph,0.9443,0.0252,0.2638,0.0545,68.6
sphere,0.9,64.0,500.0,f_l2,analytic,0.9491,0.0275,0.265,0.0597,68.6
sphere,0.98,16.0,500.0,potential,graph,0.9098,0.052,0.8965,0.0631,69.1
sphere,0.98,16.0,500.0,potential,analytic,0.9176,0.0537,0.8969,0.0657,69.1
sphere,0.98,16.0,500.0,varadhan,graph,0.8709,0.075,0.6308,0.1176,69.1
sphere,0.98,16.0,500.0,varadhan,analytic,0.8657,0.0898,0.6324,0.1106,69.1
sphere,0.98,16.0,500.0,b_l2,graph,0.8985,0.0524,0.3116,0.0874,69.1
sphere,0.98,16.0,500.0,b_l2,analytic,0.9088,0.0458,0.3056,0.0861,69.1
sphere,0.98,16.0,500.0,f_l2,graph,0.8915,0.0536,0.7089,0.0698,69.1
sphere,0.98,16.0,500.0,f_l2,analytic,0.8989,0.0563,0.7105,0.0696,69.1
sphere,0.98,64.0,500.0,potential,graph,0.9402,0.0354,0.6896,0.0418,66.3
sphere,0.98,64.0,500.0,potential,analytic,0.953,0.0325,0.6937,0.0435,66.3
sphere,0.98,64.0,500.0,varadhan,graph,0.9476,0.0346,0.5539,0.0786,66.3
sphere,0.98,64.0,500.0,varadhan,analytic,0.9621,0.0287,0.5484,0.0784,66.3
sphere,0.98,64.0,500.0,b_l2,graph,0.9533,0.0249,0.0569,0.0434,66.3
sphere,0.98,64.0,500.0,b_l2,analytic,0.9694,0.0172,0.0497,0.0468,66.3
sphere,0.98,64.0,500.0,f_l2,graph,0.9459,0.026,0.6542,0.058,66.3
sphere,0.98,64.0,500.0,f_l2,analytic,0.9471,0.0332,0.6515,0.0632,66.3
saddle,0.5,16.0,500.0,potential,graph,0.81,0.0884,0.0629,0.2009,72.2
saddle,0.5,16.0,500.0,varadhan,graph,0.823,0.0831,0.3007,0.2494,72.2
saddle,0.5,16.0,500.0,b_l2,graph,0.8338,0.0721,0.2241,0.2312,72.2
saddle,0.5,16.0,500.0,f_l2,graph,0.8193,0.0756,0.378,0.2355,72.2
saddle,0.5,64.0,500.0,potential,graph,0.7653,0.1051,0.008,0.1788,70.5
saddle,0.5,64.0,500.0,varadhan,graph,0.8603,0.0703,0.1363,0.1695,70.5
saddle,0.5,64.0,500.0,b_l2,graph,0.8252,0.096,0.0458,0.1716,70.5
saddle,0.5,64.0,500.0,f_l2,graph,0.8779,0.0561,0.2612,0.178,70.5
saddle,0.8,16.0,500.0,potential,graph,0.8153,0.0901,0.0981,0.1893,67.1
saddle,0.8,16.0,500.0,varadhan,graph,0.8068,0.1002,0.3346,0.2488,67.1
saddle,0.8,16.0,500.0,b_l2,graph,0.8333,0.0745,0.2297,0.2259,67.1
saddle,0.8,16.0,500.0,f_l2,graph,0.8177,0.0788,0.5446,0.2165,67.1
saddle,0.8,64.0,500.0,potential,graph,0.8357,0.0762,0.1732,0.1918,69.3
saddle,0.8,64.0,500.0,varadhan,graph,0.8747,0.0671,0.1934,0.1773,69.3
saddle,0.8,64.0,500.0,b_l2,graph,0.8363,0.0879,0.049,0.1733,69.3
saddle,0.8,64.0,500.0,f_l2,graph,0.8944,0.0515,0.3274,0.1869,69.3
saddle,0.9,16.0,500.0,potential,graph,0.8227,0.0871,0.1814,0.1811,68.6
saddle,0.9,16.0,500.0,varadhan,graph,0.7905,0.1168,0.3755,0.2604,68.6
saddle,0.9,16.0,500.0,b_l2,graph,0.8337,0.0762,0.2405,0.2167,68.6
saddle,0.9,16.0,500.0,f_l2,graph,0.821,0.0816,0.6524,0.202,68.6
saddle,0.9,64.0,500.0,potential,graph,0.8684,0.0624,0.3497,0.2152,68.2
saddle,0.9,64.0,500.0,varadhan,graph,0.8704,0.0722,0.32,0.1889,68.2
saddle,0.9,64.0,500.0,b_l2,graph,0.8287,0.0896,0.0397,0.1733,68.2
saddle,0.9,64.0,500.0,f_l2,graph,0.8968,0.051,0.4472,0.1851,68.2
saddle,0.98,16.0,500.0,potential,graph,0.8399,0.0723,0.6576,0.2033,67.5
saddle,0.98,16.0,500.0,varadhan,graph,0.7636,0.1391,0.5862,0.3031,67.5
saddle,0.98,16.0,500.0,b_l2,graph,0.8284,0.076,0.3153,0.2052,67.5
saddle,0.98,16.0,500.0,f_l2,graph,0.8271,0.0844,0.8273,0.2029,67.5
