instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32,ent_t64,ent_t128
300,adaptive_k50,,,2,0.01,-4.073403328580132,0.298797070980072,5.632775783538818,6.370696544647217,7.034812927246094,7.529490947723389,7.8420257568359375,7.978838443756103,7.996959686279297,7.995222568511963
300,adaptive_k100,,,2,0.01,-4.073403328580132,0.437375009059906,6.430825233459473,7.0798163414001465,7.558581829071045,7.863698005676269,7.9854736328125,7.994500637054443,7.99212121963501,7.991273403167725
300,cak_160,2.8207660160404147,,2,0.01,-4.073403328580132,0.0774061232805252,2.9456355571746826,3.6643238067626953,4.396399021148682,5.08662748336792,5.751611709594727,6.418786525726318,7.017799377441406,7.474976539611816
300,cak_320,4.221270278540772,,2,0.01,-4.073403328580132,0.1233862563967704,3.845506429672241,4.579450607299805,5.283987522125244,5.982703685760498,6.657504558563232,7.221882820129394,7.620835304260254,7.857213020324707
300,cak_640,6.538935952355802,,2,0.01,-4.073403328580132,0.1957606971263885,4.768698215484619,5.49157190322876,6.212054252624512,6.875551700592041,7.391200542449951,7.730862617492676,7.910871982574463,7.969875335693359
424,adaptive_k50,,,3,0.01,-4.175905001060452,0.7356141805648804,6.898277282714844,7.516062259674072,7.809947967529297,7.934568881988525,7.979617595672607,7.994635105133057,7.997156620025635,7.997229099273682
424,adaptive_k100,,,3,0.01,-4.175905001060452,0.8989133834838867,7.375100612640381,7.758187294006348,7.918038368225098,7.974977970123291,7.994248390197754,7.998668193817139,7.998923778533935,7.998926639556885
424,cak_160,1.4042873695620002,,3,0.01,-4.175905001060452,0.1240422129631042,2.442817449569702,3.211542844772339,4.053289413452148,4.937991619110107,5.866854190826416,6.777211666107178,7.425511837005615,7.7411417961120605
424,cak_320,1.879217467797207,,3,0.01,-4.175905001060452,0.1935141682624817,3.3582825660705566,4.274695873260498,5.2165846824646,6.182675361633301,7.042019844055176,7.567454814910889,7.808538913726807,7.916138648986816
424,cak_640,2.551779388835344,,3,0.01,-4.175905001060452,0.2899149954319,4.325653076171875,5.298378944396973,6.285260677337647,7.121518135070801,7.60635232925415,7.827466011047363,7.925024509429932,7.962411403656006
548,adaptive_k50,,,4,0.01,-37.35838600844277,1.247909426689148,7.194512844085693,7.538800239562988,7.753026485443115,7.88674783706665,7.951268196105957,7.96414041519165,7.947836399078369,7.927282810211182
548,adaptive_k100,,,4,0.01,-37.35838600844277,1.372572660446167,7.393401622772217,7.679144382476807,7.849305629730225,7.939435005187988,7.969726085662842,7.964272975921631,7.945706367492676,7.938355922698975
548,cak_160,0.9480692231452176,,4,0.01,-37.35838600844277,0.1939830482006073,1.896042227745056,2.8214471340179443,3.911409854888916,5.064225673675537,6.10264253616333,6.833986759185791,7.252573490142822,7.5107421875
548,cak_320,1.200663013090689,,4,0.01,-37.35838600844277,0.3559803366661072,3.186659097671509,4.379999160766602,5.5177106857299805,6.44036865234375,7.0297064781188965,7.372255802154541,7.592531681060791,7.748671054840088
548,cak_640,1.5532272643826643,,4,0.01,-37.35838600844277,0.5289365649223328,4.3777947425842285,5.564969539642334,6.488596439361572,7.065060615539551,7.398831844329834,7.609776496887207,7.758974552154541,7.861558437347412
672,adaptive_k50,,,5,0.01,4.810311591502766,1.4236245155334473,7.422504425048828,7.685023784637451,7.845245361328125,7.952487945556641,7.988195896148682,7.977240085601807,7.970828533172607,7.970510959625244
672,adaptive_k100,,,5,0.01,4.810311591502766,1.5065244436264038,7.545395851135254,7.769052028656006,7.910101413726807,7.984016418457031,7.99116849899292,7.983113288879394,7.982048988342285,7.982040405273437
672,cak_160,0.7213599578960774,,5,0.01,4.810311591502766,0.1816775500774383,1.583187460899353,2.3686654567718506,3.318807363510132,4.388429164886475,5.467508792877197,6.399912357330322,7.051881313323975,7.441111087799072
672,cak_320,0.8656158674279034,,5,0.01,4.810311591502766,0.330070286989212,2.6051464080810547,3.7156922817230233,4.91547155380249,6.024444103240967,6.84093189239502,7.320074558258057,7.59030294418335,7.7571258544921875
672,cak_640,1.0627798263441235,,5,0.01,4.810311591502766,0.5063443779945374,3.801181554794312,5.099151611328125,6.228841304779053,6.985695838928223,7.397407531738281,7.629910945892334,7.77914571762085,7.879915714263916
811,adaptive_k50,,,6,0.05,-48.29800862013458,1.7088464498519895,7.559852123260498,7.8547563552856445,7.978099346160889,7.983618259429932,7.971261501312256,7.970582485198975,7.970607280731201,7.970606327056885
811,adaptive_k100,,,6,0.05,-48.29800862013458,1.8319005966186523,7.690736293792725,7.923442363739014,7.990155696868896,7.986703395843506,7.984883308410644,7.984813690185547,7.984781742095947,7.984782695770264
811,cak_160,0.6026680966650575,,6,0.05,-48.29800862013458,0.1804457008838653,1.3208743333816528,2.060002088546753,2.981323719024658,4.013126850128174,5.083817958831787,6.055360317230225,6.778603553771973,7.251121520996094
811,cak_320,0.7067239017203514,,6,0.05,-48.29800862013458,0.3688975274562835,2.4004311561584477,3.4983956813812256,4.685596942901611,5.797421455383301,6.637621402740479,7.165725231170654,7.501609802246094,7.724878787994385
811,cak_640,0.8451717465818896,,6,0.05,-48.29800862013458,0.5969493985176086,3.683191299438477,4.982974052429199,6.099082946777344,6.8529558181762695,7.3036956787109375,7.590231418609619,7.777143955230713,7.887884616851807
301,adaptive_k50,,,2,0.01,24.29147882731491,0.3536503314971924,5.733681678771973,6.301693916320801,6.802338600158691,7.227115154266357,7.560112953186035,7.785045623779297,7.925835609436035,7.986889839172363
301,adaptive_k100,,,2,0.01,24.29147882731491,0.4808133542537689,6.315828800201416,6.82900857925415,7.250657558441162,7.577524662017822,7.812649726867676,7.955590724945068,7.997950077056885,7.987179756164551
301,cak_160,2.9135445231954336,,2,0.01,24.29147882731491,0.0829273462295532,2.9642837047576904,3.588309526443481,4.307971954345703,5.057708263397217,5.70224666595459,6.238990306854248,6.723411560058594,7.149590969085693
301,cak_320,4.281546033852851,,2,0.01,24.29147882731491,0.1362175941467285,3.834464311599731,4.574626922607422,5.288554668426514,5.891337871551514,6.412369728088379,6.880743503570557,7.279257297515869,7.586538791656494
301,cak_640,6.492578043980197,,2,0.01,24.29147882731491,0.2246052473783493,4.802701473236084,5.472178936004639,6.050981044769287,6.564034461975098,7.01470947265625,7.383523464202881,7.658236026763916,7.838986873626709
425,adaptive_k50,,,3,0.01,-6.077102370699984,0.7182576656341553,6.970036506652832,7.571476936340332,7.8368754386901855,7.947091102600098,7.986036777496338,7.9902191162109375,7.9875688552856445,7.986775398254394
425,adaptive_k100,,,3,0.01,-6.077102370699984,0.8812149167060852,7.43798828125,7.794986724853516,7.9366936683654785,7.985333442687988,7.992300510406494,7.991311550140381,7.990818977355957,7.99078369140625
425,cak_160,1.4359546728145745,,3,0.01,-6.077102370699984,0.1356008052825927,2.5646121501922607,3.432456970214844,4.328315734863281,5.213653087615967,6.110573768615723,6.936108589172363,7.488096714019775,7.756860256195068
