dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
sadspheres,0,dc2,-0.30480146408081055,3.84,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,dc_wasserstein_ollivier,-0.28150665760040283,2.23,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,dc_entropic_subtraction,0.00213623046875,1.46,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,hickock,-2.9651397198288527,5.89,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,frc_weighted_adaptive,-29.395428850187464,0.41,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,frc_unweighted_knn,-0.4,0.16,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,orc,0.06724252322008514,1.97,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,spc_hop,0.27508253689301027,17.9,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,spc_diffusion_t5,-147.62050878452627,11.67,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,laziness_knn_t5,-4.2675580978393555,0.34,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,laziness_adaptive_t5,-4.178791046142578,0.07,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,successor_entropy,-7.022504806518555,0.03,13.99,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,0,successor_orc,-3.0637783648655326,2.77,13.99,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,1,dc2,-0.1870431900024414,0.89,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,dc_wasserstein_ollivier,0.15555018186569214,1.07,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,dc_entropic_subtraction,0.2713432312011719,0.68,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,hickock,2.1629198373503256,6.04,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,frc_weighted_adaptive,-24.29530296078424,0.45,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,frc_unweighted_knn,-2.0833333333333335,0.16,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,orc,-0.10942680011214743,2.37,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,spc_hop,-45.765713270738495,18.4,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,spc_diffusion_t5,6.824774796312079,11.93,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,laziness_knn_t5,-4.219751834869385,0.07,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,laziness_adaptive_t5,-4.16322660446167,0.29,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,successor_entropy,-7.235335350036621,0.02,13.57,,2-Sphere,2,,,,Sphere,2.0
sadspheres,1,successor_orc,0.8060535036924772,2.77,13.57,,2-Sphere,2,,,,Sphere,2.0
sadspheres,2,dc2,-0.4964132308959961,0.81,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,dc_wasserstein_ollivier,-0.02225339412689209,1.04,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,dc_entropic_subtraction,0.004733085632324219,0.69,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,hickock,1.5422713920792643,5.94,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,frc_weighted_adaptive,-19.56220102421256,0.42,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,frc_unweighted_knn,-4.142857142857143,0.17,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,orc,-0.056362529563584306,2.49,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,spc_hop,-422.77814461277507,18.75,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,spc_diffusion_t5,-515.8647754535035,12.48,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,laziness_knn_t5,-4.261874198913574,0.07,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,laziness_adaptive_t5,-4.1098952293396,0.07,,,2-Plane,2,,,,Plane,0.0
sadspheres,2,successor_entropy,-7.215945243835449,0.02,13.41,,2-Plane,2,,,,Plane,0.0
sadspheres,2,successor_orc,-12.713473714728934,2.87,13.41,,2-Plane,2,,,,Plane,0.0
sadspheres,3,dc2,-0.9404897689819336,0.87,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,dc_wasserstein_ollivier,-0.24349534511566162,0.94,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,dc_entropic_subtraction,0.009150028228759766,0.67,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,hickock,-2.9675048456729205,6.08,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,frc_weighted_adaptive,-42.537502192965775,0.43,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,frc_unweighted_knn,-4.818181818181818,0.41,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,orc,-0.0373633895410525,2.54,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,spc_hop,-1533.3087885845898,15.53,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,spc_diffusion_t5,-104.6247949550119,13.97,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,laziness_knn_t5,-4.323821067810059,0.07,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,laziness_adaptive_t5,-4.257956504821777,0.07,,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,successor_entropy,-7.251091003417969,0.03,12.74,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,3,successor_orc,0.7001243747983485,2.75,12.74,,2-Saddle,2,,,,Saddle,-8.0
sadspheres,4,dc2,-0.08116006851196289,0.77,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,dc_wasserstein_ollivier,0.19413632154464722,0.96,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,dc_entropic_subtraction,0.28562498092651367,0.69,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,hickock,2.1697253976460043,6.06,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,frc_weighted_adaptive,-10.894940843383472,0.41,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,frc_unweighted_knn,-3.2857142857142856,0.17,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,orc,-0.007532131019715306,2.51,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,spc_hop,41.408063724708455,20.78,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,spc_diffusion_t5,-462.2976006432534,7.2,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,laziness_knn_t5,-4.045942306518555,0.07,,,2-Sphere,2,,,,Sphere,2.0
sadspheres,4,laziness_adaptive_t5,-4.076784133911133,0.07,,,2-Sphere,2,,,,Sphere,2.0
