dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,7,successor_entropy,-2.606013758699099,0.15,186.91,,d2-c1-n0.01-m7,2,1,0.01,7,,-5.201326940045416
colosseum,7,successor_orc,0.9389889274311682,4.96,186.91,,d2-c1-n0.01-m7,2,1,0.01,7,,-5.201326940045416
colosseum,15,successor_entropy,-2.6172567998170853,0.15,185.7,,d2-c1-n0.01-m15,2,1,0.01,15,,-11.087427106216008
colosseum,15,successor_orc,0.9383438645339217,5.01,185.7,,d2-c1-n0.01-m15,2,1,0.01,15,,-11.087427106216008
colosseum,23,successor_entropy,-2.625411783059438,0.15,186.82,,d2-c1-n0.01-m23,2,1,0.01,23,,-6.533513467715994
colosseum,23,successor_orc,0.9355688149409336,5.15,186.82,,d2-c1-n0.01-m23,2,1,0.01,23,,-6.533513467715994
colosseum,31,successor_entropy,-2.521119961619377,0.16,187.64,,d2-c1-n0.01-m31,2,1,0.01,31,,-0.6804683598743159
colosseum,31,successor_orc,0.9347578016483827,5.12,187.64,,d2-c1-n0.01-m31,2,1,0.01,31,,-0.6804683598743159
colosseum,39,successor_entropy,-2.6853912307421366,0.15,187.27,,d2-c1-n0.01-m39,2,1,0.01,39,,-5.630390026820603
colosseum,39,successor_orc,0.9331168266345733,4.74,187.27,,d2-c1-n0.01-m39,2,1,0.01,39,,-5.630390026820603
colosseum,47,successor_entropy,-2.561936691443125,0.15,187.01,,d2-c1-n0.01-m47,2,1,0.01,47,,-5.141502732261506
colosseum,47,successor_orc,0.9363354377905985,4.87,187.01,,d2-c1-n0.01-m47,2,1,0.01,47,,-5.141502732261506
colosseum,55,successor_entropy,-2.5587376655340193,0.16,187.35,,d2-c1-n0.05-m5,2,1,0.05,5,,0.49480183694099145
colosseum,55,successor_orc,0.9393763560030459,4.65,187.35,,d2-c1-n0.05-m5,2,1,0.05,5,,0.49480183694099145
colosseum,63,successor_entropy,-2.6126822127898532,0.15,187.26,,d2-c1-n0.05-m13,2,1,0.05,13,,-20.49550738910634
colosseum,63,successor_orc,0.9407541196558123,5.02,187.26,,d2-c1-n0.05-m13,2,1,0.05,13,,-20.49550738910634
colosseum,71,successor_entropy,-2.5414357616504035,0.16,187.71,,d2-c1-n0.05-m21,2,1,0.05,21,,-5.435425546887481
colosseum,71,successor_orc,0.9424802581919912,4.88,187.71,,d2-c1-n0.05-m21,2,1,0.05,21,,-5.435425546887481
colosseum,79,successor_entropy,-2.5202612535258133,0.16,187.19,,d2-c1-n0.05-m29,2,1,0.05,29,,6.643937502278007
colosseum,79,successor_orc,0.9389368673275267,4.87,187.19,,d2-c1-n0.05-m29,2,1,0.05,29,,6.643937502278007
colosseum,87,successor_entropy,-2.5379707711935042,0.15,186.77,,d2-c1-n0.05-m37,2,1,0.05,37,,2.3304010241033244
colosseum,87,successor_orc,0.940405197900048,4.95,186.77,,d2-c1-n0.05-m37,2,1,0.05,37,,2.3304010241033244
colosseum,95,successor_entropy,-2.570371676504612,0.15,186.98,,d2-c1-n0.05-m45,2,1,0.05,45,,4.571875886988147
colosseum,95,successor_orc,0.935789413289957,4.96,186.98,,d2-c1-n0.05-m45,2,1,0.05,45,,4.571875886988147
colosseum,103,successor_entropy,-2.5599928499658904,0.17,187.5,,d2-c1-n0.1-m3,2,1,0.1,3,,2.4748599376788185
colosseum,103,successor_orc,0.9460202022135306,5.08,187.5,,d2-c1-n0.1-m3,2,1,0.1,3,,2.4748599376788185
colosseum,111,successor_entropy,-2.5966229956348736,0.15,187.41,,d2-c1-n0.1-m11,2,1,0.1,11,,-1.6696266912334414
colosseum,111,successor_orc,0.9449874493549466,5.01,187.41,,d2-c1-n0.1-m11,2,1,0.1,11,,-1.6696266912334414
colosseum,119,successor_entropy,-2.587937339127064,0.16,188.37,,d2-c1-n0.1-m19,2,1,0.1,19,,-3.94669168117178
colosseum,119,successor_orc,0.9475999559189002,4.93,188.37,,d2-c1-n0.1-m19,2,1,0.1,19,,-3.94669168117178
colosseum,127,successor_entropy,-2.7021913741827013,0.17,188.01,,d2-c1-n0.1-m27,2,1,0.1,27,,-37.65186967598703
colosseum,127,successor_orc,0.9474338082092262,5.11,188.01,,d2-c1-n0.1-m27,2,1,0.1,27,,-37.65186967598703
colosseum,135,successor_entropy,-2.726232011338075,0.15,187.61,,d2-c1-n0.1-m35,2,1,0.1,35,,-9.725111566150263
colosseum,135,successor_orc,0.9479729733881174,4.93,187.61,,d2-c1-n0.1-m35,2,1,0.1,35,,-9.725111566150263
colosseum,143,successor_entropy,-2.5773854444821676,0.16,187.83,,d2-c1-n0.1-m43,2,1,0.1,43,,-0.8470181765482229
colosseum,143,successor_orc,0.9468968765588043,5.01,187.83,,d2-c1-n0.1-m43,2,1,0.1,43,,-0.8470181765482229
colosseum,151,successor_entropy,-1.9764059211227578,0.15,187.73,,d2-c1-n0.2-m1,2,1,0.2,1,,-4.132239410917909
colosseum,151,successor_orc,0.9507273378761348,5.0,187.73,,d2-c1-n0.2-m1,2,1,0.2,1,,-4.132239410917909
colosseum,159,successor_entropy,-2.1282842890322207,0.16,188.07,,d2-c1-n0.2-m9,2,1,0.2,9,,-12.46653921753564
colosseum,159,successor_orc,0.9555695221884933,5.12,188.07,,d2-c1-n0.2-m9,2,1,0.2,9,,-12.46653921753564
colosseum,167,successor_entropy,-2.076397737428546,0.15,187.82,,d2-c1-n0.2-m17,2,1,0.2,17,,3.340888625579088
colosseum,167,successor_orc,0.951815934904279,5.09,187.82,,d2-c1-n0.2-m17,2,1,0.2,17,,3.340888625579088
