dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,0,dc2,0.2724566459655761,3.66,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,dc_entropic_subtraction,-0.1405782699584961,2.4,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,dc_wasserstein_ollivier,0.1374902725219726,3.46,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,frc_unweighted_knn,-5.666666666666667,0.27,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,frc_weighted_adaptive,-33.0114981365317,0.79,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,hickock,1.830596363946567,16.19,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,laziness_adaptive_t5,-4.2064313888549805,0.1,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,laziness_knn_t5,-4.203372001647949,0.37,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,orc,-0.0088110011567045,5.27,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,spc_diffusion_t5,-203.21496109423765,31.3,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,0,spc_hop,-55.92229643080974,137.41,,,d2-c1-n0.0-m0,2,1.0,0.0,0.0,,-1.6490847183026676
colosseum,1,dc2,0.4114537239074707,1.92,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,dc_entropic_subtraction,-0.2175774574279785,1.43,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,dc_wasserstein_ollivier,0.1300302743911743,2.69,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,frc_unweighted_knn,-2.636363636363636,0.27,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,frc_weighted_adaptive,-13.976127896061342,0.78,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,hickock,1.2391576340962782,14.98,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,laziness_adaptive_t5,-4.050250053405762,0.12,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,laziness_knn_t5,-4.152608394622803,0.12,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,orc,-0.0576103968997875,5.25,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,spc_diffusion_t5,-141.17965775071988,30.33,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,1,spc_hop,-1.899629548065184,142.15,,,d2-c1-n0.0-m1,2,1.0,0.0,1.0,,-5.81002753218118
colosseum,2,dc2,-0.3484220504760742,1.68,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,dc_entropic_subtraction,-0.1453485488891601,1.42,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,dc_wasserstein_ollivier,0.192682147026062,1.96,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,frc_unweighted_knn,-0.8571428571428571,0.26,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,frc_weighted_adaptive,-26.46017964275182,0.73,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,hickock,2.1171085184457143,19.13,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,laziness_adaptive_t5,-4.055879592895508,0.11,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,laziness_knn_t5,-4.099246978759766,0.12,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,orc,0.0924838478813451,5.22,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,spc_diffusion_t5,117.82349579401505,27.47,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,2,spc_hop,22.06184214206836,142.58,,,d2-c1-n0.0-m2,2,1.0,0.0,2.0,,-1.1091311368941967
colosseum,3,dc2,-0.1854476928710937,1.7,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,dc_entropic_subtraction,0.1769556999206543,1.34,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,dc_wasserstein_ollivier,0.3355170488357544,2.09,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,frc_unweighted_knn,0.2727272727272727,0.27,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,frc_weighted_adaptive,-23.91987883701308,1.5,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,hickock,2.195444420301368,14.68,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,laziness_adaptive_t5,-3.902418613433838,0.12,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,laziness_knn_t5,-3.97107458114624,0.12,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,orc,0.074926902210113,5.19,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,spc_diffusion_t5,108.52479514902734,31.57,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,3,spc_hop,-159.8218652276342,143.83,,,d2-c1-n0.0-m3,2,1.0,0.0,3.0,,5.133609769973095
colosseum,4,dc2,0.1193232536315918,1.79,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,dc_entropic_subtraction,-0.0740323066711425,1.37,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,dc_wasserstein_ollivier,0.2628385424613952,2.09,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,frc_unweighted_knn,-3.7,0.26,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,frc_weighted_adaptive,-16.48162269385834,0.79,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,hickock,2.275694139361888,14.82,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,laziness_adaptive_t5,-4.12660026550293,0.11,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,laziness_knn_t5,-4.188859939575195,0.12,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,orc,-0.047052816213343,5.26,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,spc_diffusion_t5,-307.9175639120199,28.69,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,4,spc_hop,-25.71410264611069,143.03,,,d2-c1-n0.0-m4,2,1.0,0.0,4.0,,3.2733123698714595
colosseum,5,dc2,0.1260395050048828,1.8,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,dc_entropic_subtraction,-0.0479011535644531,1.38,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,dc_wasserstein_ollivier,0.3023889064788818,2.11,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,frc_unweighted_knn,-2.923076923076923,0.27,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,frc_weighted_adaptive,-25.48595918166984,0.77,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,hickock,2.107361526997743,14.74,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,laziness_adaptive_t5,-4.196577548980713,0.11,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,laziness_knn_t5,-4.254999160766602,0.12,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,orc,-0.027244550073342,5.27,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,spc_diffusion_t5,17.355463108448287,34.26,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,5,spc_hop,82.56360490225782,141.55,,,d2-c1-n0.0-m5,2,1.0,0.0,5.0,,6.037988308406265
colosseum,6,dc2,-0.5748586654663086,1.71,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,dc_entropic_subtraction,-0.2067165374755859,1.39,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,dc_wasserstein_ollivier,0.3175349235534668,2.04,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,frc_unweighted_knn,-4.7,0.26,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,frc_weighted_adaptive,-18.80659277492317,0.79,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,hickock,2.115854033820969,15.01,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,laziness_adaptive_t5,-4.256952285766602,0.12,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,laziness_knn_t5,-4.285145282745361,0.12,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,orc,-0.0360884669629106,5.31,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,spc_diffusion_t5,-87.89626782921385,34.32,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
colosseum,6,spc_hop,-12.22610982180711,145.38,,,d2-c1-n0.0-m6,2,1.0,0.0,6.0,,5.185326939247381
