dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,97,dc2,-1.1610548496246338,6.58,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,dc_wasserstein_ollivier,0.18604832887649536,8.3,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,dc_entropic_subtraction,-0.13562393188476562,4.18,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,hickock,-0.5336754879608112,30.74,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,orc,0.06442115815932178,4.19,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,spc_hop,26.12318297038575,795.16,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,spc_diffusion_t5,118.04518741607194,478.52,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,laziness_knn_t5,-4.221871376037598,6.97,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,laziness_adaptive_t5,-4.169833660125732,0.53,,,d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,97,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.05-m47,2,1,0.05,47,,-4.990760969709199
colosseum,105,dc2,-1.0808366537094116,14.17,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,dc_wasserstein_ollivier,0.2187286615371704,6.06,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,dc_entropic_subtraction,-0.25954771041870117,3.85,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,hickock,-6.579710071004907,27.35,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,orc,-0.01356847641255356,3.9,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,spc_hop,424.8456226794589,727.27,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,spc_diffusion_t5,2.062916283135098,441.32,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,laziness_knn_t5,-4.551235198974609,0.4,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,laziness_adaptive_t5,-4.506920337677002,0.46,,,d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,105,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m5,2,1,0.1,5,,0.25045933032987666
colosseum,113,dc2,-0.9337375164031982,17.14,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,dc_wasserstein_ollivier,0.004048705101013184,7.24,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,dc_entropic_subtraction,-0.10861682891845703,4.56,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,hickock,-7.972606605822433,32.99,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,orc,-0.09632138839957265,4.97,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,spc_hop,71.19564770383404,818.88,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,spc_diffusion_t5,-333.50211029382353,440.91,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,laziness_knn_t5,-4.6578898429870605,0.15,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,laziness_adaptive_t5,-4.6377482414245605,1.24,,,d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,113,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m13,2,1,0.1,13,,-19.159620695965703
colosseum,121,dc2,-0.7777867317199707,8.12,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,dc_wasserstein_ollivier,0.21810156106948853,9.55,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,dc_entropic_subtraction,0.015748023986816406,3.37,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,hickock,-6.060747781011411,32.12,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,orc,-0.09087486160464259,4.47,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,spc_hop,-18.28793351283025,641.59,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,spc_diffusion_t5,89.21458426299313,385.4,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,laziness_knn_t5,-4.812498092651367,0.21,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,laziness_adaptive_t5,-4.729238033294678,0.27,,,d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,121,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m21,2,1,0.1,21,,-0.11670111319829696
colosseum,129,dc2,-2.022740364074707,4.95,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,dc_wasserstein_ollivier,0.21238458156585693,10.04,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,dc_entropic_subtraction,-0.07282304763793945,2.5,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,hickock,-6.510819827096672,26.1,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,orc,-0.01863479088852799,3.76,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,spc_hop,-88.58259714817785,563.45,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,spc_diffusion_t5,-23.630193567127296,736.13,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,laziness_knn_t5,-4.47434139251709,0.29,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,laziness_adaptive_t5,-4.402266502380371,1.33,,,d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,129,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m29,2,1,0.1,29,,-5.527210745671842
colosseum,137,dc2,-0.024549007415771484,5.82,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,dc_wasserstein_ollivier,0.2847974896430969,9.28,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,dc_entropic_subtraction,0.21982955932617188,3.64,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,hickock,-4.795762840142674,26.04,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,orc,0.020730246650174946,3.6,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,spc_hop,-419.6363343763981,552.83,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,spc_diffusion_t5,530.2054709510018,487.47,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,laziness_knn_t5,-4.581358909606934,0.13,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,laziness_adaptive_t5,-4.495824337005615,0.19,,,d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,137,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m37,2,1,0.1,37,,7.6828836209414435
colosseum,145,dc2,-0.11483240127563477,6.11,,,d2-c1-n0.1-m45,2,1,0.1,45,,11.61496613857862
colosseum,145,dc_wasserstein_ollivier,0.2643733024597168,7.92,,,d2-c1-n0.1-m45,2,1,0.1,45,,11.61496613857862
colosseum,145,dc_entropic_subtraction,0.2012042999267578,3.01,,,d2-c1-n0.1-m45,2,1,0.1,45,,11.61496613857862
colosseum,145,hickock,-5.750828568243927,25.78,,,d2-c1-n0.1-m45,2,1,0.1,45,,11.61496613857862
colosseum,145,orc,-0.08514299521574649,5.19,,,d2-c1-n0.1-m45,2,1,0.1,45,,11.61496613857862
colosseum,145,spc_hop,-180.69720021910072,608.34,,,d2-c1-n0.1-m45,2,1,0.1,45,,11.61496613857862
colosseum,145,spc_diffusion_t5,31.72941587946766,908.29,,,d2-c1-n0.1-m45,2,1,0.1,45,,11.61496613857862
