instance,n_traj,method,ks_hat,ks_hat_std,n_seeds_ok,coverage,eval_dist,elapsed_s,err,name,dim,codim,noise,m,ks_true
882,500,traj_dorc,0.1904366931197282,0.0,1,0.999,0.0,3.5,,d6-c1-n0.2-m12,6,1,0.2,12,-34.46401744692712
882,500,kmetric_dorc,0.2664000274453775,0.0281408009902923,4,0.999,0.0,353.8,,d6-c1-n0.2-m12,6,1,0.2,12,-34.46401744692712
882,500,fbkernel_orc,0.2790319194854437,0.0480505167357267,4,0.999,0.0,353.8,,d6-c1-n0.2-m12,6,1,0.2,12,-34.46401744692712
879,500,traj_dorc,0.2475059085546592,0.0,1,0.998,0.0,2.9,,d6-c1-n0.2-m9,6,1,0.2,9,-34.01810499140309
879,500,kmetric_dorc,0.3382138001085428,0.0736041424041836,4,0.998,0.0,350.9,,d6-c1-n0.2-m9,6,1,0.2,9,-34.01810499140309
879,500,fbkernel_orc,0.3114290985828903,0.0215191526860387,4,0.998,0.0,350.9,,d6-c1-n0.2-m9,6,1,0.2,9,-34.01810499140309
876,500,traj_dorc,0.2170291531877301,0.0,1,0.997,0.0,2.7,,d6-c1-n0.2-m6,6,1,0.2,6,-71.87814112792898
876,500,kmetric_dorc,0.2515140516932553,0.0188354497649363,4,0.997,0.0,345.0,,d6-c1-n0.2-m6,6,1,0.2,6,-71.87814112792898
876,500,fbkernel_orc,0.2560730908168653,0.0395497295004934,4,0.997,0.0,345.0,,d6-c1-n0.2-m6,6,1,0.2,6,-71.87814112792898
873,500,traj_dorc,0.167659821643372,0.0,1,0.998,0.0,3.0,,d6-c1-n0.2-m3,6,1,0.2,3,-50.45518735514644
873,500,kmetric_dorc,0.1933287961850675,0.0351166211536392,4,0.998,0.0,347.0,,d6-c1-n0.2-m3,6,1,0.2,3,-50.45518735514644
873,500,fbkernel_orc,0.2698847680060116,0.0285828885684436,4,0.998,0.0,347.0,,d6-c1-n0.2-m3,6,1,0.2,3,-50.45518735514644
