dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
sadspheres,laziness_knn_t3,500,100,0,2-Saddle-0,-3.5846768175671717,0.20012475119342413,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,0,2-Saddle-0,-4.0038318911153,0.23047279446918154,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,0,2-Saddle-0,-4.547476761804554,0.25729267131423,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,0,2-Saddle-0,-3.961609753434787,0.22664701141473087,-8.0,0.0
sadspheres,successor_entropy,500,100,0,2-Saddle-0,-5.406349854861089,0.19966781758248478,-8.0,0.0
sadspheres,successor_orc,500,100,0,2-Saddle-0,-18.73802876252859,115.57066101882873,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,1,2-Sphere-0,-3.5850648984909057,0.1481934548047961,2.0,1.0
sadspheres,laziness_knn_t5,500,100,1,2-Sphere-0,-4.032284408092499,0.14998697212228057,2.0,1.0
sadspheres,laziness_knn_t10,500,100,1,2-Sphere-0,-4.637857436180115,0.13446253858692564,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,1,2-Sphere-0,-3.9981372051239012,0.15091363421201018,2.0,1.0
sadspheres,successor_entropy,500,100,1,2-Sphere-0,-5.713801403999328,0.1379713589418711,2.0,1.0
sadspheres,successor_orc,500,100,1,2-Sphere-0,-9.694304451009435,55.91669466249324,2.0,1.0
sadspheres,laziness_knn_t3,500,100,2,2-Saddle-1,-3.5500932444445037,0.21945724601375088,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,2,2-Saddle-1,-3.9633362346332563,0.24797087934216205,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,2,2-Saddle-1,-4.509198959057148,0.27111669261410243,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,2,2-Saddle-1,-3.912358876182,0.252854360207364,-8.0,0.0
sadspheres,successor_entropy,500,100,2,2-Saddle-1,-5.4405419276310845,0.18251992545046203,-8.0,0.0
sadspheres,successor_orc,500,100,2,2-Saddle-1,-16.091260698109092,119.63101940974227,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,3,2-Sphere-1,-3.623023982038479,0.1386559260096338,2.0,1.0
sadspheres,laziness_knn_t5,500,100,3,2-Sphere-1,-4.081975323403766,0.1360993365497309,2.0,1.0
sadspheres,laziness_knn_t10,500,100,3,2-Sphere-1,-4.695286560631945,0.11048840811607727,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,3,2-Sphere-1,-4.044353350369868,0.14105778701585894,2.0,1.0
sadspheres,successor_entropy,500,100,3,2-Sphere-1,-5.649573168439234,0.1457571891682276,2.0,1.0
sadspheres,successor_orc,500,100,3,2-Sphere-1,-34.35414257927998,315.08894035950465,2.0,1.0
sadspheres,laziness_knn_t3,500,100,4,2-Saddle-2,-3.592073932230233,0.17487392161727616,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,4,2-Saddle-2,-4.018513411403181,0.2115933388270048,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,4,2-Saddle-2,-4.5745688834822325,0.25256363955671957,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,4,2-Saddle-2,-3.977864852392051,0.20426482005009253,-8.0,0.0
sadspheres,successor_entropy,500,100,4,2-Saddle-2,-5.391895962527478,0.128228397361156,-8.0,0.0
sadspheres,successor_orc,500,100,4,2-Saddle-2,-8.287636380075915,31.53353659191044,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,5,2-Sphere-2,-3.6422343196754228,0.14658204643435038,2.0,1.0
sadspheres,laziness_knn_t5,500,100,5,2-Sphere-2,-4.100348979055523,0.1546001215477238,2.0,1.0
sadspheres,laziness_knn_t10,500,100,5,2-Sphere-2,-4.710241319660194,0.12788457858165866,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,5,2-Sphere-2,-4.070107519268273,0.1562860068706249,2.0,1.0
sadspheres,successor_entropy,500,100,5,2-Sphere-2,-5.419062757778741,0.13169622035858722,2.0,1.0
sadspheres,successor_orc,500,100,5,2-Sphere-2,-12.565828393884246,59.470269156801066,2.0,1.0
sadspheres,laziness_knn_t3,500,100,6,2-Saddle-3,-3.593709457397461,0.21221747924077758,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,6,2-Saddle-3,-4.017592778682709,0.2548949407379169,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,6,2-Saddle-3,-4.571633592128753,0.2872734895311379,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,6,2-Saddle-3,-3.97861745929718,0.24479035812875294,-8.0,0.0
sadspheres,successor_entropy,500,100,6,2-Saddle-3,-5.432811039924622,0.166435840897883,-8.0,0.0
sadspheres,successor_orc,500,100,6,2-Saddle-3,-15.961087756173846,195.06545105342164,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,7,2-Sphere-3,-3.6497479064397544,0.14386778415053234,2.0,1.0
sadspheres,laziness_knn_t5,500,100,7,2-Sphere-3,-4.112262270058015,0.14623581169282582,2.0,1.0
sadspheres,laziness_knn_t10,500,100,7,2-Sphere-3,-4.723669675459345,0.12558658254920105,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,7,2-Sphere-3,-4.076069735140207,0.14427521132133075,2.0,1.0
sadspheres,successor_entropy,500,100,7,2-Sphere-3,-5.733461317767101,0.15721447976686448,2.0,1.0
sadspheres,successor_orc,500,100,7,2-Sphere-3,-16.21688108931301,179.63116268918884,2.0,1.0
sadspheres,laziness_knn_t3,500,100,8,2-Saddle-4,-3.564147485333909,0.20271466916048148,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,8,2-Saddle-4,-3.970476050252166,0.23419578834110114,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,8,2-Saddle-4,-4.506930970090256,0.25809076962576816,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,8,2-Saddle-4,-3.931576754725435,0.23482027487507606,-8.0,0.0
sadspheres,successor_entropy,500,100,8,2-Saddle-4,-5.37836232751428,0.15261841677612994,-8.0,0.0
sadspheres,successor_orc,500,100,8,2-Saddle-4,-10.576833274925995,43.96573680965699,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,9,2-Sphere-4,-3.6147777338027955,0.1554675401075584,2.0,1.0
sadspheres,laziness_knn_t5,500,100,9,2-Sphere-4,-4.065534636974335,0.1595104962819448,2.0,1.0
sadspheres,laziness_knn_t10,500,100,9,2-Sphere-4,-4.670601922988892,0.12808098358507897,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,9,2-Sphere-4,-4.030584063529968,0.16067009092160342,2.0,1.0
sadspheres,successor_entropy,500,100,9,2-Sphere-4,-5.4679847993850705,0.16471972492395398,2.0,1.0
sadspheres,successor_orc,500,100,9,2-Sphere-4,-7.676714430039979,31.642209357613172,2.0,1.0
sadspheres,laziness_knn_t3,500,100,10,2-Saddle-5,-3.528751783659964,0.18815561746863166,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,10,2-Saddle-5,-3.938948081238101,0.20855973709657277,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,10,2-Saddle-5,-4.487047547041768,0.23491883434184097,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,10,2-Saddle-5,-3.886175357452547,0.21133214911827886,-8.0,0.0
sadspheres,successor_entropy,500,100,10,2-Saddle-5,-5.606237332507818,0.18460853821810497,-8.0,0.0
sadspheres,successor_orc,500,100,10,2-Saddle-5,-4.765610568820164,28.15370795079949,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,11,2-Sphere-5,-3.63789525060711,0.1414848768115337,2.0,1.0
sadspheres,laziness_knn_t5,500,100,11,2-Sphere-5,-4.097156099900454,0.14269983371194195,2.0,1.0
sadspheres,laziness_knn_t10,500,100,11,2-Sphere-5,-4.712005204332615,0.11558179726260291,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,11,2-Sphere-5,-4.057368074963709,0.1490411702083436,2.0,1.0
sadspheres,successor_entropy,500,100,11,2-Sphere-5,-5.60439444830518,0.17646193625750753,2.0,1.0
sadspheres,successor_orc,500,100,11,2-Sphere-5,-9.71696086767738,40.37192620757228,2.0,1.0
sadspheres,laziness_knn_t3,500,100,12,2-Saddle-6,-3.5488399799935566,0.21625150160722093,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,12,2-Saddle-6,-3.9539186892385234,0.2536326124066611,-8.0,0.0
sadspheres,laziness_knn_t10,500,100,12,2-Saddle-6,-4.485446042670516,0.2915203626251752,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,100,12,2-Saddle-6,-3.9122511633412396,0.253032377228505,-8.0,0.0
sadspheres,successor_entropy,500,100,12,2-Saddle-6,-5.703064910873382,0.16893712121873827,-8.0,0.0
sadspheres,successor_orc,500,100,12,2-Saddle-6,-13.1693773170146,67.97695402118487,-8.0,0.0
sadspheres,laziness_knn_t3,500,100,13,2-Sphere-6,-3.6054504266482796,0.13873793479250474,2.0,1.0
sadspheres,laziness_knn_t5,500,100,13,2-Sphere-6,-4.0592300318524925,0.1382822098303062,2.0,1.0
sadspheres,laziness_knn_t10,500,100,13,2-Sphere-6,-4.669194435547731,0.11858208501467617,2.0,1.0
sadspheres,laziness_adaptive_t5,500,100,13,2-Sphere-6,-4.0176935320148965,0.14152493427657425,2.0,1.0
sadspheres,successor_entropy,500,100,13,2-Sphere-6,-5.713649335987343,0.15540601148743077,2.0,1.0
sadspheres,successor_orc,500,100,13,2-Sphere-6,-6.702039193667407,31.63963787494577,2.0,1.0
sadspheres,laziness_knn_t3,500,100,14,2-Saddle-7,-3.572302604675293,0.17782025487658976,-8.0,0.0
sadspheres,laziness_knn_t5,500,100,14,2-Saddle-7,-3.984593591213226,0.1954153783218507,-8.0,0.0
