dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
sadspheres,laziness_knn_t3,300,30,0,2-Saddle-0,-3.5268298523766655,0.24896701874717708,-8.0,0.0
sadspheres,successor_entropy,300,30,0,2-Saddle-0,-5.499838913054694,0.0713627081704657,-8.0,0.0
sadspheres,successor_orc,300,30,0,2-Saddle-0,-28.977713433518286,72.56896261998797,-8.0,0.0
sadspheres,laziness_knn_t3,300,30,1,2-Sphere-0,-3.6012705133742644,0.13800168203927166,2.0,1.0
sadspheres,successor_entropy,300,30,1,2-Sphere-0,-5.499410446952371,0.09948650402539273,2.0,1.0
sadspheres,successor_orc,300,30,1,2-Sphere-0,-21.332773020500742,64.00001745977524,2.0,1.0
sadspheres,laziness_knn_t3,300,30,2,2-Saddle-1,-3.4958273225901078,0.25862705015552445,-8.0,0.0
sadspheres,successor_entropy,300,30,2,2-Saddle-1,-5.4541052896149305,0.10640398253979734,-8.0,0.0
sadspheres,successor_orc,300,30,2,2-Saddle-1,-24.78452588032115,97.05108457026941,-8.0,0.0
sadspheres,laziness_knn_t3,300,30,3,2-Sphere-1,-3.5258583534331547,0.17611982266602239,2.0,1.0
sadspheres,successor_entropy,300,30,3,2-Sphere-1,-5.494493668419974,0.1107754956234132,2.0,1.0
sadspheres,successor_orc,300,30,3,2-Sphere-1,-178.82294160363685,1215.9265369135476,2.0,1.0
sadspheres,laziness_knn_t3,300,30,4,2-Saddle-2,-3.4741518762376575,0.22960573671690748,-8.0,0.0
sadspheres,successor_entropy,300,30,4,2-Saddle-2,-5.529325711992052,0.08758844385639002,-8.0,0.0
sadspheres,successor_orc,300,30,4,2-Saddle-2,-114.25128387862894,626.3851472525414,-8.0,0.0
sadspheres,laziness_knn_t3,300,30,5,2-Sphere-2,-3.575831540699663,0.1323971394335016,2.0,1.0
sadspheres,successor_entropy,300,30,5,2-Sphere-2,-5.5313740269891145,0.09637059059895775,2.0,1.0
sadspheres,successor_orc,300,30,5,2-Sphere-2,-121.81058983040109,663.9017038628743,2.0,1.0
sadspheres,laziness_knn_t3,300,80,0,2-Saddle-0,-3.49634523407833,0.21002183075945166,-8.0,0.0
sadspheres,successor_entropy,300,80,0,2-Saddle-0,-5.4729724526405334,0.08462525512866384,-8.0,0.0
sadspheres,successor_orc,300,80,0,2-Saddle-0,-24.138602021436565,81.95090156887802,-8.0,0.0
sadspheres,laziness_knn_t3,300,80,1,2-Sphere-0,-3.5655488508778648,0.15565678994799587,2.0,1.0
sadspheres,successor_entropy,300,80,1,2-Sphere-0,-5.485656016581768,0.1151600762113574,2.0,1.0
sadspheres,successor_orc,300,80,1,2-Sphere-0,-24.5637984918709,128.04352812241436,2.0,1.0
sadspheres,laziness_knn_t3,300,80,2,2-Saddle-1,-3.5274789261337895,0.22635724131232132,-8.0,0.0
sadspheres,successor_entropy,300,80,2,2-Saddle-1,-5.473006949328736,0.08866027919896848,-8.0,0.0
sadspheres,successor_orc,300,80,2,2-Saddle-1,-59.92046736914223,249.4641010989469,-8.0,0.0
sadspheres,laziness_knn_t3,300,80,3,2-Sphere-1,-3.5380920239971942,0.189868838921526,2.0,1.0
sadspheres,successor_entropy,300,80,3,2-Sphere-1,-5.504238491507893,0.11228480850288317,2.0,1.0
sadspheres,successor_orc,300,80,3,2-Sphere-1,-55.13470154325174,151.77573458102606,2.0,1.0
sadspheres,laziness_knn_t3,300,80,4,2-Saddle-2,-3.553577451144948,0.20725709034920867,-8.0,0.0
sadspheres,successor_entropy,300,80,4,2-Saddle-2,-5.476995737082405,0.08390806927184784,-8.0,0.0
sadspheres,successor_orc,300,80,4,2-Saddle-2,-96.9894440776115,449.16073148366587,-8.0,0.0
sadspheres,laziness_knn_t3,300,80,5,2-Sphere-2,-3.6137295401336362,0.13181574787529396,2.0,1.0
sadspheres,successor_entropy,300,80,5,2-Sphere-2,-5.542854241876794,0.0985050824655559,2.0,1.0
sadspheres,successor_orc,300,80,5,2-Sphere-2,-47.29163144971082,136.13840981886952,2.0,1.0
sadspheres,laziness_knn_t3,600,30,0,2-Saddle-0,-3.467198618387772,0.20334290075927816,-8.0,0.0
sadspheres,successor_entropy,600,30,0,2-Saddle-0,-6.186808182021319,0.06014920956742642,-8.0,0.0
sadspheres,successor_orc,600,30,0,2-Saddle-0,-26.420539984090084,122.1968224464131,-8.0,0.0
sadspheres,laziness_knn_t3,600,30,1,2-Sphere-0,-3.507561959458526,0.166897546222294,2.0,1.0
sadspheres,successor_entropy,600,30,1,2-Sphere-0,-6.178241765005349,0.10448488340289919,2.0,1.0
sadspheres,successor_orc,600,30,1,2-Sphere-0,-21.894461120599125,144.64111728096648,2.0,1.0
sadspheres,laziness_knn_t3,600,30,2,2-Saddle-1,-3.42634049023705,0.20551800213600369,-8.0,0.0
sadspheres,successor_entropy,600,30,2,2-Saddle-1,-6.149145308582262,0.09165412885398977,-8.0,0.0
sadspheres,successor_orc,600,30,2,2-Saddle-1,-11.292299525414114,40.49061867185698,-8.0,0.0
sadspheres,laziness_knn_t3,600,30,3,2-Sphere-1,-3.5356635787270285,0.15114314498349757,2.0,1.0
sadspheres,successor_entropy,600,30,3,2-Sphere-1,-6.188348732572614,0.07264837622922526,2.0,1.0
sadspheres,successor_orc,600,30,3,2-Sphere-1,-263.8667413913101,2741.184801157978,2.0,1.0
sadspheres,laziness_knn_t3,600,30,4,2-Saddle-2,-3.4951926556295403,0.25393660660294054,-8.0,0.0
sadspheres,successor_entropy,600,30,4,2-Saddle-2,-6.1499337337746605,0.14377356088440418,-8.0,0.0
sadspheres,successor_orc,600,30,4,2-Saddle-2,-39.05097039782926,248.85845082320856,-8.0,0.0
sadspheres,laziness_knn_t3,600,30,5,2-Sphere-2,-3.472354665052059,0.20982951221361446,2.0,1.0
sadspheres,successor_entropy,600,30,5,2-Sphere-2,-6.250167288059412,0.09279250628793687,2.0,1.0
sadspheres,successor_orc,600,30,5,2-Sphere-2,-132.5908884377339,1024.918286848478,2.0,1.0
sadspheres,laziness_knn_t3,600,80,0,2-Saddle-0,-3.577819773930839,0.20458144606511183,-8.0,0.0
sadspheres,successor_entropy,600,80,0,2-Saddle-0,-6.190684257478588,0.0739617421123735,-8.0,0.0
sadspheres,successor_orc,600,80,0,2-Saddle-0,-17.130048127387855,126.95928086189507,-8.0,0.0
sadspheres,laziness_knn_t3,600,80,1,2-Sphere-0,-3.625755334817446,0.15792671969747044,2.0,1.0
sadspheres,successor_entropy,600,80,1,2-Sphere-0,-6.17124966107882,0.13856886619999556,2.0,1.0
sadspheres,successor_orc,600,80,1,2-Sphere-0,-49.44395977888689,770.7178925647141,2.0,1.0
sadspheres,laziness_knn_t3,600,80,2,2-Saddle-1,-3.584868746592586,0.21315323892048144,-8.0,0.0
sadspheres,successor_entropy,600,80,2,2-Saddle-1,-6.149532906094888,0.1055484827735709,-8.0,0.0
sadspheres,successor_orc,600,80,2,2-Saddle-1,-68.70890832893986,796.2372420720709,-8.0,0.0
sadspheres,laziness_knn_t3,600,80,3,2-Sphere-1,-3.6243443132349937,0.13922111761775105,2.0,1.0
sadspheres,successor_entropy,600,80,3,2-Sphere-1,-6.190390184973225,0.11203975504194291,2.0,1.0
sadspheres,successor_orc,600,80,3,2-Sphere-1,-44.8871586588819,240.40607587874365,2.0,1.0
