dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
sadspheres,laziness,300,30,0,2-Saddle-0,-3.4622024606775352,0.2597346679607179,-8.0,0.0
sadspheres,successor_entropy,300,30,0,2-Saddle-0,-5.49311304975439,0.06392548622853979,-8.0,0.0
sadspheres,laziness,300,30,1,2-Sphere-0,-3.5835574052323858,0.12538253467469113,2.0,1.0
sadspheres,successor_entropy,300,30,1,2-Sphere-0,-5.483064007060797,0.1080052038345095,2.0,1.0
sadspheres,laziness,300,30,2,2-Saddle-1,-3.5195107022110297,0.177625044106661,-8.0,0.0
sadspheres,successor_entropy,300,30,2,2-Saddle-1,-5.4468715940202985,0.10611166672742471,-8.0,0.0
sadspheres,laziness,300,30,3,2-Sphere-1,-3.5490023539616513,0.1604490737377468,2.0,1.0
sadspheres,successor_entropy,300,30,3,2-Sphere-1,-5.507761313365056,0.09453444654252004,2.0,1.0
sadspheres,laziness,300,30,4,2-Saddle-2,-3.5309171869948104,0.2121353126406476,-8.0,0.0
sadspheres,successor_entropy,300,30,4,2-Saddle-2,-5.499417268171274,0.08225910539449857,-8.0,0.0
sadspheres,laziness,300,30,5,2-Sphere-2,-3.5872387271781156,0.13015752285214566,2.0,1.0
sadspheres,successor_entropy,300,30,5,2-Sphere-2,-5.547013407711379,0.09534445488982374,2.0,1.0
sadspheres,laziness,300,80,0,2-Saddle-0,-3.4935691147942336,0.2524990791329332,-8.0,0.0
sadspheres,successor_entropy,300,80,0,2-Saddle-0,-5.512370331118805,0.07924754565172212,-8.0,0.0
sadspheres,laziness,300,80,1,2-Sphere-0,-3.637611888550423,0.1398323730479716,2.0,1.0
sadspheres,successor_entropy,300,80,1,2-Sphere-0,-5.485765022200507,0.11173345408924253,2.0,1.0
sadspheres,laziness,300,80,2,2-Saddle-1,-3.5592914759102516,0.19847670311849858,-8.0,0.0
sadspheres,successor_entropy,300,80,2,2-Saddle-1,-5.454425367258363,0.09091012286690567,-8.0,0.0
sadspheres,laziness,300,80,3,2-Sphere-1,-3.591246113534701,0.13286776618819293,2.0,1.0
sadspheres,successor_entropy,300,80,3,2-Sphere-1,-5.491062301700398,0.11001864321772507,2.0,1.0
sadspheres,laziness,300,80,4,2-Saddle-2,-3.536526354367301,0.21854499644617778,-8.0,0.0
sadspheres,successor_entropy,300,80,4,2-Saddle-2,-5.517618233725528,0.06915094469725971,-8.0,0.0
sadspheres,laziness,300,80,5,2-Sphere-2,-3.5843127909160795,0.141567507880086,2.0,1.0
sadspheres,successor_entropy,300,80,5,2-Sphere-2,-5.531102423765222,0.09939045532739169,2.0,1.0
