regime,dim,dataset,seed,ks_true,topo
iid,3,plane,1,0.0,0.02593256504271853
iid,3,plane,2,0.0,0.01422696975669177
iid,3,plane,3,0.0,0.014006932392210326
iid,3,sphere,1,6.0,0.11672076394135662
iid,3,sphere,2,6.0,0.08716132772137469
iid,3,sphere,3,6.0,0.1260749472884016
iid,3,saddle,1,-8.0,-0.0045331769290134875
iid,3,saddle,2,-8.0,0.008179172131470612
iid,3,saddle,3,-8.0,-0.005007966167767899
iid,4,plane,1,0.0,0.035280901589582574
iid,4,plane,2,0.0,0.04716965015757982
iid,4,plane,3,0.0,0.051685146536457144
iid,4,sphere,1,12.0,0.17060502189211615
iid,4,sphere,2,12.0,0.14733788575407666
iid,4,sphere,3,12.0,0.12991895335487047
iid,4,saddle,1,-16.0,0.05142939399115587
iid,4,saddle,2,-16.0,0.022382754812262613
iid,4,saddle,3,-16.0,0.07489433730666421
iid,6,plane,1,0.0,0.08670219663283768
iid,6,plane,2,0.0,0.06704820422929268
iid,6,plane,3,0.0,0.11092963238672864
iid,6,sphere,1,30.0,0.169601210092149
iid,6,sphere,2,30.0,0.16066978962754078
iid,6,sphere,3,30.0,0.13470844117054664
iid,6,saddle,1,-24.0,0.09970928875412144
iid,6,saddle,2,-24.0,0.1109689009482956
iid,6,saddle,3,-24.0,0.10353516774607048
walks,3,plane,1,0.0,0.00975725769846217
walks,3,plane,2,0.0,0.0029523087491523086
walks,3,plane,3,0.0,0.013220598749075385
walks,3,sphere,1,6.0,0.11829987640479367
walks,3,sphere,2,6.0,0.10349426670839769
walks,3,sphere,3,6.0,0.15169151237618994
walks,3,saddle,1,-8.0,0.015660996737265124
walks,3,saddle,2,-8.0,0.017586235087507816
walks,3,saddle,3,-8.0,0.025060966968800672
walks,4,plane,1,0.0,0.052927272517046035
walks,4,plane,2,0.0,0.03747435392236686
walks,4,plane,3,0.0,0.02850550303644636
walks,4,sphere,1,12.0,0.17479839607308378
walks,4,sphere,2,12.0,0.12529031279202754
walks,4,sphere,3,12.0,0.1447787654464561
walks,4,saddle,1,-16.0,0.030676252923099116
walks,4,saddle,2,-16.0,0.04951982570589341
walks,4,saddle,3,-16.0,0.020925255258052073
walks,6,plane,1,0.0,0.10322055730201762
walks,6,plane,2,0.0,0.08457078359883129
walks,6,plane,3,0.0,0.08195974180832948
walks,6,sphere,1,30.0,0.1836813224214551
walks,6,sphere,2,30.0,0.13376534217021607
walks,6,sphere,3,30.0,0.14831208369966992
walks,6,saddle,1,-24.0,0.0863658814912685
walks,6,saddle,2,-24.0,0.09060216237358491
walks,6,saddle,3,-24.0,0.06661535042101198
