instance,n_traj,dim,noise,ks_true,err,coverage,topo
420,25,3,0.01,1.2257813837761642,,0.2646666666666666,-0.0808530315474482
482,25,3,0.1,-3.557038532205605,,0.268,-0.0163804848242333
544,25,4,0.01,-16.875471101588957,,0.272,0.0536936943610671
606,25,4,0.1,-27.860036231503933,,0.2726666666666666,0.0548642877844614
668,25,5,0.01,-28.42240351450837,,0.2753333333333333,0.0788757555730243
730,25,5,0.1,-67.17285898139227,,0.294,0.0907967928600826
792,25,6,0.01,-38.33381100352402,,0.2906666666666667,0.1080507857078899
854,25,6,0.1,-26.73210065400279,,0.3,0.0969633846606346
420,100,3,0.01,1.2257813837761642,,0.69,0.0181305492552929
482,100,3,0.1,-3.557038532205605,,0.72,-0.0106993911979615
544,100,4,0.01,-16.875471101588957,,0.7053333333333334,0.0508866722183211
606,100,4,0.1,-27.860036231503933,,0.732,0.0192600153755809
668,100,5,0.01,-28.42240351450837,,0.7456666666666667,0.043437787595183
730,100,5,0.1,-67.17285898139227,,0.7426666666666667,0.0426895419681984
792,100,6,0.01,-38.33381100352402,,0.748,0.0701662988045265
854,100,6,0.1,-26.73210065400279,,0.7313333333333333,0.0537552061179188
425,25,3,0.01,-6.077102370699984,,0.2576666666666666,-0.0008358474677085
487,25,3,0.1,-37.0087735355624,,0.259,-0.1198899996273211
549,25,4,0.01,-11.171970873719408,,0.272,0.0398537069894833
611,25,4,0.1,-3.3189630707114124,,0.2703333333333333,0.0326320603975338
673,25,5,0.01,-29.827358750792463,,0.2793333333333333,0.0475760791904297
750,25,5,0.2,-64.8943072100459,,0.2963333333333333,0.0576485610911881
812,25,6,0.05,-45.10090508696406,,0.2923333333333333,0.0599944731600011
874,25,6,0.2,-3.968806191274376,,0.2883333333333333,0.0543663713241552
425,100,3,0.01,-6.077102370699984,,0.7063333333333334,0.0169927987154317
487,100,3,0.1,-37.0087735355624,,0.6953333333333334,0.0395902552277858
549,100,4,0.01,-11.171970873719408,,0.7033333333333334,0.0347667833586704
611,100,4,0.1,-3.3189630707114124,,0.7146666666666667,0.0413147711511375
673,100,5,0.01,-29.827358750792463,,0.7366666666666667,0.0747991267600806
750,100,5,0.2,-64.8943072100459,,0.7483333333333333,0.052524536228843
812,100,6,0.05,-45.10090508696406,,0.717,0.0773689285723138
874,100,6,0.2,-3.968806191274376,,0.7483333333333333,0.0818578738435852
426,25,3,0.01,-3.8235642778157457,,0.2456666666666666,-0.0592050514009275
488,25,3,0.1,25.65230615275553,,0.2823333333333333,0.0125895783993515
550,25,4,0.01,78.43052538097425,,0.274,0.0407814078370749
612,25,4,0.1,2.082313981868797,,0.2803333333333333,0.0495692995088499
674,25,5,0.01,-25.2216018569094,,0.2943333333333333,0.0383399384291878
751,25,5,0.2,-19.136262533696787,,0.2963333333333333,0.0368474717977921
813,25,6,0.05,-23.29512109554493,,0.293,0.0634365459481988
875,25,6,0.2,-49.26458148457658,,0.283,0.0524481430197031
426,100,3,0.01,-3.8235642778157457,,0.6603333333333333,0.0079028598612034
488,100,3,0.1,25.65230615275553,,0.686,0.0264278443158629
550,100,4,0.01,78.43052538097425,,0.7,0.0712740194524867
612,100,4,0.1,2.082313981868797,,0.7276666666666667,0.0623546294588876
674,100,5,0.01,-25.2216018569094,,0.734,0.0570640261195843
751,100,5,0.2,-19.136262533696787,,0.7126666666666667,0.0839465619011819
813,100,6,0.05,-23.29512109554493,,0.743,0.0625206454637857
875,100,6,0.2,-49.26458148457658,,0.7493333333333333,0.0549787586581508
427,25,3,0.01,-41.3525179488977,,0.2733333333333333,-0.0170044269346823
489,25,3,0.1,-5.530406551054341,,0.283,0.0068252342022298
551,25,4,0.01,-12.598162870506057,,0.2813333333333333,0.0948727316027023
613,25,4,0.1,-22.6348913684337,,0.2813333333333333,0.0667626455314033
690,25,5,0.05,19.46385767445848,,0.2723333333333333,0.0605507098859543
752,25,5,0.2,-8.878799685305857,,0.2846666666666667,0.0785294204612103
814,25,6,0.05,-47.9480359713048,,0.2963333333333333,0.0520889648638535
876,25,6,0.2,-71.87814112792898,,0.2786666666666667,0.0408756522939929
427,100,3,0.01,-41.3525179488977,,0.701,0.0321278554652086
489,100,3,0.1,-5.530406551054341,,0.71,0.0064401533863077
551,100,4,0.01,-12.598162870506057,,0.7103333333333334,0.023059663669765
613,100,4,0.1,-22.6348913684337,,0.7306666666666667,0.0361366885440556
