dim,dataset,seed,ks_true,ret_t2,ret_t4,ret_t8,ent_concav,bg_ratio,resp_skew,pair_contract,pair_n
3,plane,1,0.0,0.02776576392352581,0.011061612516641617,0.004624787252396345,-0.09653759002685547,-6.863333333333332,-0.5088479108256357,-1.9415335071990316,4683.0
3,plane,2,0.0,0.026372361928224564,0.011174404993653297,0.005121284630149603,-0.0682520866394043,-6.775,-0.5376843428078576,-2.1090750456619602,4634.0
3,plane,3,0.0,0.028127333149313927,0.011668363586068153,0.004947711247950792,-0.08419942855834961,-6.756666666666667,-0.5427721004087387,-2.0151917937353203,4795.0
3,sphere,1,6.0,0.037868548184633255,0.015127879567444324,0.0059671965427696705,-0.06777667999267578,-7.925,0.07572826499180708,-2.2540547568106493,4609.0
3,sphere,2,6.0,0.03956936299800873,0.015892846509814262,0.0062300898134708405,-0.06945037841796875,-7.806666666666667,-0.1049886056784098,-2.185190808655693,5031.0
3,sphere,3,6.0,0.03854772448539734,0.0158088319003582,0.006360809318721294,-0.05898094177246094,-7.913333333333333,0.002113078409580797,-2.158976808700968,4979.0
3,saddle,1,-8.0,0.03399267420172691,0.014231291599571705,0.006237683817744255,-0.04511308670043945,-6.713333333333334,-0.5939170146773335,-2.5359220719352846,4428.0
3,saddle,2,-8.0,0.0333944670855999,0.014744346030056477,0.006397992838174105,-0.07383060455322266,-7.108333333333332,-0.6380989309679654,-2.326375430226534,4522.0
3,saddle,3,-8.0,0.03573385626077652,0.01564810797572136,0.007253231946378946,-0.025720596313476562,-6.465000000000001,-0.7751150889011121,-2.2471982214243345,4719.0
4,plane,1,0.0,0.06776208430528641,0.023348145186901093,0.008027038536965847,-0.09096193313598633,-11.413333333333332,-0.4243920415864842,-2.282873170434446,4662.0
4,plane,2,0.0,0.05107282102108002,0.018977396190166473,0.007037173956632614,-0.10561275482177734,-10.825,-0.4296214994928672,-2.266090770095413,4584.0
4,plane,3,0.0,0.06073065102100372,0.021915599703788757,0.007979516871273518,-0.10175943374633789,-11.114999999999998,-0.36149552751460207,-2.34955441738228,4917.0
4,sphere,1,12.0,0.09879147261381149,0.034931812435388565,0.011208693496882915,-0.06361722946166992,-14.565000000000001,-0.14974170686869528,-2.0612341169533575,4915.0
4,sphere,2,12.0,0.09205980598926544,0.03138907253742218,0.010595904663205147,-0.04878044128417969,-14.068333333333335,-0.20828741594339092,-2.1473079420318553,4793.0
4,sphere,3,12.0,0.09539788961410522,0.03288447484374046,0.010876186192035675,-0.06412696838378906,-14.546666666666669,-0.20097832063838908,-2.0447509576442906,4850.0
4,saddle,1,-16.0,0.08999955654144287,0.03435339778661728,0.012223310768604279,-0.056005001068115234,-11.906666666666666,-0.42348242520852863,-2.2735668962065323,4847.0
4,saddle,2,-16.0,0.0912417322397232,0.03457726165652275,0.011684113182127476,-0.09324264526367188,-13.148333333333332,-0.48876300150637647,-2.2085112590941964,4716.0
4,saddle,3,-16.0,0.10487010329961777,0.04559101536870003,0.016709081828594208,-0.0261077880859375,-12.878333333333334,-0.5571694483948715,-2.4070694171515044,4793.0
6,plane,1,0.0,0.29671281576156616,0.14958490431308746,0.060292262583971024,0.07529473304748535,-27.208333333333332,0.026796098660102508,-2.1771134142112665,4712.0
6,plane,2,0.0,0.2721596360206604,0.11989354342222214,0.04098759591579437,0.03979182243347168,-25.519999999999996,-0.11621630219252768,-2.356855973406001,4829.0
6,plane,3,0.0,0.2785227596759796,0.1354326456785202,0.06008841469883919,0.016379117965698242,-24.74666666666667,-0.13767502545159527,-2.370432384989924,4714.0
6,sphere,1,30.0,0.4311220645904541,0.24227510392665863,0.10711126774549484,0.19643402099609375,-34.79,-0.004944152545427372,-1.9633385020828495,5258.0
6,sphere,2,30.0,0.43716874718666077,0.24656933546066284,0.10753123462200165,0.20556020736694336,-35.916666666666664,0.21347999732008063,-2.0245149373888696,5262.0
6,sphere,3,30.0,0.44766905903816223,0.24940961599349976,0.10498838126659393,0.1925814151763916,-34.19666666666667,-0.06085007249057535,-1.8440165904055332,5373.0
6,saddle,1,-24.0,0.32692834734916687,0.1707673817873001,0.0745304748415947,0.1266307830810547,-29.86166666666667,-0.06307946603290691,-2.3596242382926844,4633.0
6,saddle,2,-24.0,0.39150378108024597,0.2312764972448349,0.12517407536506653,0.10006093978881836,-32.48166666666667,-0.00665197753212483,-2.2130440462809147,5016.0
6,saddle,3,-24.0,0.4387347102165222,0.2698255181312561,0.14563998579978943,0.19486713409423828,-31.936666666666664,0.08006752187586699,-2.289624403228353,4910.0
