dim,dataset,n_traj,arm,seed,ks_true,slope_std,rho,delta_term,raw_near,n_pairs
2,plane,50,learned,7,0.0,0.0049400107428901,-0.0034943822408839,-0.0615842507705665,0.14580299186789,528
2,plane,50,learned,8,0.0,0.0173522489075963,-0.0574761131843291,-0.0892413775795445,0.1620240899161425,552
2,plane,50,learned,9,0.0,0.0323673647265937,-0.1362343337716605,-0.1465340992640184,0.2173293036975521,528
2,plane,50,learned,10,0.0,0.005874430204381,-0.0371900423416286,-0.0907495011824618,0.1770052213518621,552
2,plane,50,control,-1,0.0,0.0083204968092235,0.0216941183928464,-0.0148218745166142,0.099505996573575,562
2,sphere,50,learned,7,2.0,0.0057732749953963,0.1059654068906704,0.0209059503829949,0.0699949267718026,544
2,sphere,50,learned,8,2.0,0.0043786797079136,0.0936296531804507,0.0225187517103414,0.0412073538363286,520
2,sphere,50,learned,9,2.0,0.0259983218255343,0.0405592357281826,-0.0089137695548544,0.0692923109334187,500
2,sphere,50,learned,10,2.0,-0.0004521766428316,0.1372311809991059,0.045514923590312,0.0495922527212331,480
2,sphere,50,control,-1,2.0,0.0067718434020143,0.0597652846989128,-0.0074054160029377,0.0911009194870158,592
2,saddle,50,learned,7,-8.0,0.0053193667788282,0.0328267301020976,-0.0194267170911819,0.1184637131522404,552
2,saddle,50,learned,8,-8.0,0.002019599828314,0.0389084291964659,-0.0072126058620365,0.0586518737614913,544
2,saddle,50,learned,9,-8.0,0.0294373609492432,-0.0730623713595835,-0.0880191751821103,0.1386949641504485,552
2,saddle,50,learned,10,-8.0,0.0136797294435445,0.0007987496826484,-0.0440501136046472,0.0984747467934103,544
2,saddle,50,control,-1,-8.0,0.0011413723757675,0.0004739457254728,-0.025302726715494,0.1312580281004667,568
4,plane,50,learned,7,0.0,0.0751611994422154,0.0122734651053824,-0.0843906549061569,0.1887926543675213,328
4,plane,50,learned,8,0.0,0.0182370430479355,0.1586516850822132,-0.0164540405853494,0.1934663475519925,336
4,plane,50,learned,9,0.0,0.0779152997973414,0.0011614714487189,-0.0797609115691984,0.164056248586588,360
4,plane,50,learned,10,0.0,0.0288632210907612,0.1125000197460597,-0.0402631879997287,0.1948693071294433,352
4,plane,50,control,-1,0.0,-0.0133674862690825,0.2816580103033252,0.1166304952055227,0.1010349674426092,304
4,sphere,50,learned,7,12.0,0.0879307712985954,0.0956980669304356,-0.0821249358213237,0.2600966238373473,240
4,sphere,50,learned,8,12.0,-0.0448669202773928,0.519949702154556,0.1871058955780336,0.2526692837621332,240
4,sphere,50,learned,9,12.0,0.0122765836627018,0.3511979844314379,0.0960108847568042,0.2302741305318713,240
4,sphere,50,learned,10,12.0,-0.0063561212802172,0.3176719515429419,0.0230989188076079,0.2841597075179204,240
4,sphere,50,control,-1,12.0,0.0149278595435512,0.3020945470868071,0.0614516487034232,0.2132845941081267,304
4,saddle,50,learned,7,-16.0,0.02982557740128,0.155306698305309,-0.0153734146839348,0.1914155988228593,312
4,saddle,50,learned,8,-16.0,0.0303700966598417,0.1363373430154137,-0.0208565727394071,0.1870133473185124,312
4,saddle,50,learned,9,-16.0,0.0541757719994161,0.0572743717652786,-0.0656428229944103,0.1849262695609591,343
4,saddle,50,learned,10,-16.0,0.0671402215650271,0.0149890057875918,-0.1046067027054068,0.214245090156339,344
4,saddle,50,control,-1,-16.0,0.0894199069813807,-0.0277367661269993,-0.0707409581971946,0.123618053566284,296
2,plane,200,learned,7,0.0,0.0100846450460725,0.0419615220702518,0.0096504358679208,0.0154394225767747,568
2,plane,200,learned,8,0.0,0.0101780412955359,0.0174375415874816,-0.017189144010239,0.0537603285364715,576
2,plane,200,learned,9,0.0,0.005617708697332,0.0328321550724854,0.0021033918920587,0.0221065910631736,584
2,plane,200,learned,10,0.0,-0.0078083695632779,0.0940341343633018,0.0258744662732143,0.0206661480824553,568
2,plane,200,control,-1,0.0,-0.0052471335219715,0.0818189185462333,0.0181584983965309,0.0804927230483329,572
2,sphere,200,learned,7,2.0,0.0102629822151085,0.115474758157618,0.0447341870589686,0.0159658945900813,578
2,sphere,200,learned,8,2.0,0.0225644598909655,0.089696908385072,0.0312956379107254,0.0190120379238267,560
2,sphere,200,learned,9,2.0,0.0180599347035011,0.076791068836464,0.0179888701059558,0.0430876099047363,584
2,sphere,200,learned,10,2.0,0.0129019198986513,0.1101627161968887,0.028918539537824,0.0441892776388269,584
2,sphere,200,control,-1,2.0,0.0141562749967434,0.0396040112659537,-0.0149124254550622,0.0804637710215614,592
2,saddle,200,learned,7,-8.0,0.0154950584663994,0.0463872113302399,0.0180142484557661,-0.0048309095688562,592
2,saddle,200,learned,8,-8.0,0.0060871076007939,0.0953517535076071,0.0475358970545482,-0.016965695814648,592
2,saddle,200,learned,9,-8.0,0.0156037611585354,0.0661682448620435,0.0337722654389408,-0.008835047113651,592
2,saddle,200,learned,10,-8.0,0.0122945644609663,0.0885775900047374,0.0512970628698942,-0.0307108836842561,592
2,saddle,200,control,-1,-8.0,-0.0138918657879635,0.1036895306012889,0.0028058358638963,0.1730066305957677,569
4,plane,200,learned,7,0.0,0.0049530730592229,0.2248816606613495,0.0681949866565234,0.1013341986303899,384
4,plane,200,learned,8,0.0,0.0320056963656398,0.1214375684640374,0.002486790964305,0.1318360127193539,391
4,plane,200,learned,9,0.0,0.0276662797963119,0.133334930891743,0.0086727212474647,0.1278456528806707,368
4,plane,200,learned,10,0.0,0.0059456432870924,0.212021601822027,0.0555555484014452,0.1130772131035542,368
4,plane,200,control,-1,0.0,0.0145024794426212,0.0955345481880752,-0.0042451812642714,0.1226765796563923,424
4,sphere,200,learned,7,12.0,-0.0244706452753293,0.4231799186116567,0.1561486838661406,0.1627786920426943,320
4,sphere,200,learned,8,12.0,-0.0100106748806823,0.3989749140838936,0.155731700447771,0.1502366476614449,304
4,sphere,200,learned,9,12.0,0.0035416258438801,0.3322185194891859,0.0944613787330765,0.1852771898122945,320
4,sphere,200,learned,10,12.0,-0.011915268019612,0.3805215788114142,0.1255487809852842,0.1820323211669144,312
4,sphere,200,control,-1,12.0,-0.0115306451335721,0.3186825044712574,0.0950477127379349,0.1604538040710181,360
4,saddle,200,learned,7,-16.0,0.0311559479083887,0.1261083763694903,0.0118434972719305,0.1206045148320684,371
4,saddle,200,learned,8,-16.0,0.0560699893692895,0.0769636322165044,-0.0019485087504217,0.0937068264514035,376
4,saddle,200,learned,9,-16.0,0.0463645443617286,0.0858046335644773,-0.0050862362319644,0.1155213972122373,384
4,saddle,200,learned,10,-16.0,0.0660025099193784,0.0459359504060421,-0.0287306605025214,0.1231242526139176,392
4,saddle,200,control,-1,-16.0,0.0391637879502161,-0.0049097414936213,-0.057925146249607,0.1139990392060214,344
