dim,dataset,seed,ks_true,ent_slope,len_slope,ent_final_minus_init,secs
2,plane,1,0.0,-0.0840071797370909,-0.08014975918310778,-0.6500418186187744,1.1
2,plane,2,0.0,-0.08199834280543841,-0.0714175360311469,-0.635607898235321,0.6
2,plane,3,0.0,-0.08864723430739486,-0.07268323137083316,-0.6805461645126343,0.6
2,sphere,1,2.0,-0.08375987503263668,-0.06837776492029218,-0.6549504399299622,0.6
2,sphere,2,2.0,-0.08343081421322279,-0.07518524500225793,-0.6440954804420471,0.6
2,sphere,3,2.0,-0.09716786861419657,-0.0580821270286292,-0.7408158779144287,0.6
2,saddle,1,-8.0,-0.08225938267177992,-0.06132346574533933,-0.633407711982727,0.6
2,saddle,2,-8.0,-0.08079474502139604,-0.0924455962600249,-0.6279410123825073,0.6
2,saddle,3,-8.0,-0.08864244156413591,-0.09298571871972296,-0.690604031085968,0.6
3,plane,1,0.0,-0.11312890542878025,-0.06186177546075065,-0.8711378574371338,0.5
3,plane,2,0.0,-0.1050426186455619,-0.06934006222783849,-0.8144816756248474,0.6
3,plane,3,0.0,-0.10852208932240787,-0.05251665976208335,-0.8355730175971985,0.6
3,sphere,1,6.0,-0.11140975978639368,-0.06513806163823752,-0.861828625202179,0.5
3,sphere,2,6.0,-0.1082392595873937,-0.07080331038499461,-0.8386774659156799,0.6
3,sphere,3,6.0,-0.11829311781459363,-0.06722252215392473,-0.9138210415840149,0.6
3,saddle,1,-8.0,-0.10606438358624759,-0.0790186688639456,-0.8180859088897705,0.6
3,saddle,2,-8.0,-0.11855743593639774,-0.05626806033067454,-0.9123842716217041,0.5
3,saddle,3,-8.0,-0.11547140426105904,-0.076509491818161,-0.8925095200538635,0.6
4,plane,1,0.0,-0.13160867902967638,-0.0630195866969092,-1.016294240951538,0.5
4,plane,2,0.0,-0.1373226961824627,-0.07650409866334683,-1.0663363933563232,0.6
4,plane,3,0.0,-0.12557364940643287,-0.0662265009168599,-0.9702684283256531,0.6
4,sphere,1,12.0,-0.127379860083262,-0.05579755717301104,-0.9881830811500549,0.5
4,sphere,2,12.0,-0.13406695498360505,-0.056468573457011347,-1.0309935808181763,0.5
4,sphere,3,12.0,-0.12383037249247214,-0.07430828692909232,-0.9652966260910034,0.6
4,saddle,1,-16.0,-0.15140995264053322,-0.05163172827214446,-1.1593623161315918,0.5
4,saddle,2,-16.0,-0.1276213052537704,-0.07684519875443471,-0.9922255277633667,0.5
4,saddle,3,-16.0,-0.12745192170143105,-0.06058151618507906,-0.9888200759887695,0.6
6,plane,1,0.0,-0.1510336796442665,-0.05965975486362322,-1.1660237312316895,0.6
6,plane,2,0.0,-0.16069652371936352,-0.061236336193618145,-1.2453956604003906,0.6
6,plane,3,0.0,-0.14998369495073932,-0.048868467721688874,-1.1603195667266846,0.7
6,sphere,1,30.0,-0.1453995045026141,-0.05895210552856985,-1.1146544218063354,0.6
6,sphere,2,30.0,-0.16492517895168707,-0.05284036675063965,-1.2570762634277344,0.6
6,sphere,3,30.0,-0.1526870281166498,-0.067662954021207,-1.1753376722335815,0.6
6,saddle,1,-24.0,-0.1670591150389775,-0.059462647363789076,-1.2932486534118652,0.7
6,saddle,2,-24.0,-0.16140168521139334,-0.06048254752548879,-1.2448962926864624,0.7
6,saddle,3,-24.0,-0.15859664956728595,-0.06404751217410164,-1.224617600440979,0.7
