dim,dataset,seed,ks_true,ent_slope,len_slope,ent_final_minus_init,secs
2,plane,1,0.0,-0.022666184637281504,-0.0324955624161093,-0.18324866890907288,1.0
2,plane,2,0.0,-0.024560345411300494,-0.0326687863581081,-0.1957767754793167,0.7
2,plane,3,0.0,-0.0205729647477466,-0.03447968641858407,-0.16517813503742218,0.7
2,sphere,1,2.0,-0.024417970710330358,-0.03148709837524987,-0.19644735753536224,0.7
2,sphere,2,2.0,-0.02330606526798655,-0.03710871398800956,-0.1872151643037796,0.7
2,sphere,3,2.0,-0.02166221790843525,-0.03076085269545075,-0.17209139466285706,0.7
2,saddle,1,-8.0,-0.022746221886740588,-0.03621142699331178,-0.1849004477262497,0.7
2,saddle,2,-8.0,-0.02023348675833789,-0.03417822288417976,-0.16324958205223083,0.7
2,saddle,3,-8.0,-0.02073198543654529,-0.033169633404782795,-0.16611702740192413,0.7
3,plane,1,0.0,-0.03051939924557982,-0.03068098827939027,-0.24375291168689728,0.5
3,plane,2,0.0,-0.031621123287412664,-0.03182043178615615,-0.25235506892204285,0.7
3,plane,3,0.0,-0.03067721790737562,-0.026891133895505216,-0.24303150177001953,0.7
3,sphere,1,6.0,-0.03475293702549389,-0.024066166013618114,-0.27593550086021423,0.7
3,sphere,2,6.0,-0.03437212295002391,-0.02944154479354982,-0.2729559540748596,0.5
3,sphere,3,6.0,-0.034946352640787555,-0.02979200280009451,-0.2781561017036438,0.6
3,saddle,1,-8.0,-0.03176798939704877,-0.02728132708737381,-0.2535558044910431,0.5
3,saddle,2,-8.0,-0.030319331354564945,-0.027520763146513354,-0.2429998517036438,0.6
3,saddle,3,-8.0,-0.02743522617551997,-0.03365816344073375,-0.22240160405635834,0.5
4,plane,1,0.0,-0.03988531112670878,-0.025027238104522714,-0.314536988735199,0.7
4,plane,2,0.0,-0.0413715276453228,-0.027475568922140217,-0.32880309224128723,0.5
4,plane,3,0.0,-0.03533442086643625,-0.026882210071122545,-0.2816421091556549,0.6
4,sphere,1,12.0,-0.043423966036902344,-0.026649374029269316,-0.3436989188194275,0.7
4,sphere,2,12.0,-0.04496917645136494,-0.02324681206412579,-0.3545069694519043,0.5
4,sphere,3,12.0,-0.04196857147746597,-0.030820394917460532,-0.3339654207229614,0.5
4,saddle,1,-16.0,-0.035849871502982036,-0.028315483463822493,-0.28575223684310913,0.6
4,saddle,2,-16.0,-0.035529500378502596,-0.03431624518309046,-0.2847466766834259,0.7
4,saddle,3,-16.0,-0.035518925719790824,-0.025710052520182148,-0.28314685821533203,0.7
6,plane,1,0.0,-0.044220339722103326,-0.022808424835010097,-0.3512880206108093,0.7
6,plane,2,0.0,-0.04923353672027566,-0.020957189235582433,-0.3891507089138031,0.7
6,plane,3,0.0,-0.047185299926333774,-0.017917729756089382,-0.3723416030406952,0.7
6,sphere,1,30.0,-0.05096691793865598,-0.026164528190456483,-0.3992953598499298,0.7
6,sphere,2,30.0,-0.049524501164754035,-0.024177161030768304,-0.38857942819595337,0.7
6,sphere,3,30.0,-0.054455669985876906,-0.028322206655284114,-0.42842423915863037,0.7
6,saddle,1,-24.0,-0.04416191736857073,-0.028648852021291707,-0.3530028164386749,0.7
6,saddle,2,-24.0,-0.04346756219863872,-0.02311161749257573,-0.3459886312484741,0.7
6,saddle,3,-24.0,-0.04313645693990899,-0.020968988867706685,-0.34208163619041443,0.7
