dim,dataset,seed,ks_true,ent_slope,len_slope,secs
2,plane,1,0.0,-0.12282496179853172,-0.04589747373146101,17.1
2,plane,2,0.0,-0.12283490896224972,-0.035515893682224416,16.7
2,sphere,1,2.0,-0.10105208101726713,-0.04318323109116693,16.7
2,sphere,2,2.0,-0.10902432657423482,-0.0354236133687643,16.5
2,saddle,1,-8.0,-0.11160207447551547,-0.04474342369547438,16.9
2,saddle,2,-8.0,-0.09587731247856508,-0.03990236408048896,16.4
4,plane,1,0.0,-0.16959793085143687,-0.024517384751202777,16.9
4,plane,2,0.0,-0.18427625043051585,-0.05487786229944671,16.7
4,sphere,1,12.0,-0.17854816374324622,-0.05304887302122743,16.4
4,sphere,2,12.0,-0.17450031098865323,-0.0420001032759118,16.0
4,saddle,1,-16.0,-0.1712202145939782,-0.053724457185935444,17.6
4,saddle,2,-16.0,-0.17544139283044002,-0.03196362212301435,17.3
6,plane,1,0.0,-0.20730445753960386,-0.030837380116572815,17.6
6,plane,2,0.0,-0.1807421851725806,-0.04789120934244743,17.5
6,sphere,1,30.0,-0.1796247473784856,-0.045676319373713636,16.5
6,sphere,2,30.0,-0.18013819512866788,-0.026795038101860017,16.3
6,saddle,1,-24.0,-0.21478030227479483,-0.02348361260385305,18.5
6,saddle,2,-24.0,-0.19676655445780072,-0.03131414641875244,17.8
