dim,dataset,seed,ks_true,ent_slope,len_slope,secs
2,plane,1,0.0,-0.016851956219900214,-0.006093917431387179,16.2
2,plane,2,0.0,-0.018879893847874266,-0.00043023531493218667,16.8
2,sphere,1,2.0,-0.013234292041687771,-0.005539072115784933,16.2
2,sphere,2,2.0,-0.012138903708685015,1.0660115344173863e-05,16.1
2,saddle,1,-8.0,-0.0180879096190135,0.00023949630683356727,16.6
2,saddle,2,-8.0,-0.014991623730886566,-0.004068255741113809,16.8
4,plane,1,0.0,-0.02032687834330972,-0.00095726461967255,16.6
4,plane,2,0.0,-0.021859240248089763,-0.0016292213462773867,16.7
4,sphere,1,12.0,-0.015881424290793367,-0.006839766617718202,16.6
4,sphere,2,12.0,-0.015767343839009584,-0.00364171491471564,16.0
4,saddle,1,-16.0,-0.01952910763876785,-0.009571733539294889,16.9
4,saddle,2,-16.0,-0.024034354232606435,-0.004381532987955867,17.1
6,plane,1,0.0,-0.024977508613041457,0.0017436655649414859,17.6
6,plane,2,0.0,-0.018260503382909857,-0.01062797578605626,17.6
6,sphere,1,30.0,-0.015082463764009093,-0.006149738933222311,16.4
6,sphere,2,30.0,-0.013625060376666916,-0.0019612112641490625,16.4
6,saddle,1,-24.0,-0.017856291929880818,-0.003459577972675863,17.9
6,saddle,2,-24.0,-0.017701003097352588,-0.0028463492734296524,18.4
