anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
907,0.5045868,1.1589151286219253,1.0,3,plane,1,0.0
543,0.02716825,0.5419251096842637,1.0,3,plane,1,0.0
768,0.9499456,1.325679807155167,0.99999994,3,plane,1,0.0
903,0.001961435,0.286874057536625,1.0,3,plane,1,0.0
248,0.041669838,0.5227194104796575,1.0,3,plane,1,0.0
839,0.3997776,1.019810487348244,1.0,3,plane,1,0.0
528,0.3358787,1.1279106621946988,0.99999994,3,plane,1,0.0
1662,0.027503934,0.5224094455137498,1.0,3,plane,1,0.0
55,0.1408259,0.8815243892440175,1.0,3,plane,1,0.0
247,0.008143732,0.16389255798584787,1.0,3,plane,1,0.0
1635,0.48967123,0.9909155947674593,1.0,3,plane,1,0.0
69,0.7807977,1.3524381628161177,0.99999994,3,plane,1,0.0
1805,0.7543831,1.2752391283400433,1.0,3,plane,1,0.0
812,0.123617314,0.912459991423888,1.0,3,plane,1,0.0
170,0.06094192,0.7760708770639844,1.0,3,plane,1,0.0
659,0.08520958,0.7782382316874341,1.0,3,plane,1,0.0
1008,0.6707207,1.1303130104371166,1.0,3,plane,1,0.0
284,0.20914374,0.8792485182726644,1.0,3,plane,1,0.0
618,0.013645827,0.4955858726990007,1.0,3,plane,1,0.0
1569,0.7759169,1.1163864177563156,1.0,3,plane,1,0.0
1715,0.7201562,1.064191978342046,1.0,3,plane,1,0.0
1967,0.8997469,1.2098998405278374,1.0,3,plane,1,0.0
268,0.26168433,0.6469744975237155,1.0,3,plane,1,0.0
808,0.23512724,0.9252992078172328,1.0,3,plane,1,0.0
1620,0.06499202,0.8338958809598361,1.0,3,plane,1,0.0
1624,0.9803133,1.3783740944998688,1.0,3,plane,1,0.0
511,0.74040735,1.2101129428366322,1.0,3,plane,1,0.0
494,0.09248785,0.9215427576441978,1.0,3,plane,1,0.0
1495,0.8473893,1.3574993519496186,1.0,3,plane,1,0.0
407,0.09985256,0.7281051890865203,1.0,3,plane,1,0.0
1007,0.03649434,0.6779856456829303,1.0,3,plane,1,0.0
1071,0.9127873,1.2848860611801933,1.0,3,plane,1,0.0
1947,0.7445778,1.1885505173770705,1.0,3,plane,1,0.0
1867,0.6264049,1.0403438466272488,1.0,3,plane,1,0.0
1275,0.040037774,0.6090498780986151,1.0,3,plane,1,0.0
1090,0.895233,1.3967718464606225,1.0,3,plane,1,0.0
1713,0.52090573,1.0744543417858698,1.0,3,plane,1,0.0
1484,0.013421826,0.36770465148927756,1.0,3,plane,1,0.0
607,0.37714985,1.0114282109130042,1.0,3,plane,1,0.0
932,0.019894755,0.5595451967739118,1.0,3,plane,1,0.0
80,1.014919,1.220513762490563,1.0000001,3,plane,2,0.0
1641,0.15909225,0.9359751793890969,1.0,3,plane,2,0.0
1600,0.14853413,0.8350366294933815,1.0000001,3,plane,2,0.0
513,0.64257467,1.1858615192891155,1.0,3,plane,2,0.0
605,0.28819948,0.7928865055513282,1.0,3,plane,2,0.0
1862,0.16618219,0.9011314383410363,1.0,3,plane,2,0.0
297,0.10328044,0.716703571996987,1.0,3,plane,2,0.0
