anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
907,0.94433856,1.0700995607737522,1.0,3,plane,1,0.0
544,0.94226307,1.0562854568981106,1.0,3,plane,1,0.0
769,0.47810316,1.0877042550767757,0.99999994,3,plane,1,0.0
904,0.03490285,0.6293092127171129,1.0,3,plane,1,0.0
248,0.035439644,0.5227194104796575,1.0,3,plane,1,0.0
839,0.38111413,1.019810487348244,1.0000001,3,plane,1,0.0
529,0.06823697,0.7195372230190242,1.0,3,plane,1,0.0
1663,0.78300697,1.1887766429807909,1.0,3,plane,1,0.0
55,0.71145356,0.7150211436337643,1.0,3,plane,1,0.0
246,0.61854905,1.155642717053457,1.0,3,plane,1,0.0
1635,0.47333574,0.9909155947674593,1.0,3,plane,1,0.0
69,0.81178397,1.3524381628161177,1.0000001,3,plane,1,0.0
1806,0.7412626,0.6956576578510341,1.0,3,plane,1,0.0
812,0.12120172,0.912459991423888,1.0,3,plane,1,0.0
170,0.06276165,0.7760708770639844,1.0000001,3,plane,1,0.0
659,0.07932662,0.7782382316874341,1.0,3,plane,1,0.0
1008,1.6806376,1.0868857350535501,0.9999999,3,plane,1,0.0
283,1.0610422,1.095415067561222,1.0,3,plane,1,0.0
619,1.7609162,0.9177421213957825,1.0,3,plane,1,0.0
1569,0.76872367,1.1163864177563156,1.0,3,plane,1,0.0
1716,0.1561323,0.858375760171976,0.99999994,3,plane,1,0.0
1967,0.9741572,1.2098998405278374,1.0000001,3,plane,1,0.0
267,0.7037355,0.9307574320404592,1.0,3,plane,1,0.0
808,0.22308181,0.9252992078172328,0.99999994,3,plane,1,0.0
1620,0.72509587,0.8338958809598361,1.0,3,plane,1,0.0
1625,0.5795193,1.0555727337946692,1.0,3,plane,1,0.0
512,1.0909352,0.5384798583246629,1.0000001,3,plane,1,0.0
495,0.03698933,0.36621584860250855,1.0,3,plane,1,0.0
1496,0.38257837,1.1556089650420809,0.99999994,3,plane,1,0.0
408,0.69179296,1.2331801093295092,1.0,3,plane,1,0.0
1007,0.03356677,0.6779856456829303,1.0,3,plane,1,0.0
1071,1.1050651,1.2848860611801933,1.0,3,plane,1,0.0
