method,dim,sign_acc,auc,n
dc2,2,0.65,0.9299999999999999,60
dc2,3,0.825,0.98,60
dc2,4,1.0,1.0,60
dc2,5,1.0,1.0,60
dc2,6,1.0,1.0,60
dc_entropic_subtraction,2,0.5,1.0,60
dc_entropic_subtraction,3,0.5,1.0,60
dc_entropic_subtraction,4,0.5,1.0,60
dc_entropic_subtraction,5,0.5,0.0,60
dc_entropic_subtraction,6,0.0,0.0,60
dc_wasserstein_ollivier,2,1.0,1.0,60
dc_wasserstein_ollivier,3,1.0,1.0,60
dc_wasserstein_ollivier,4,1.0,1.0,60
dc_wasserstein_ollivier,5,1.0,1.0,60
dc_wasserstein_ollivier,6,0.5,1.0,60
frc_unweighted_knn,2,0.525,0.625,60
frc_unweighted_knn,3,0.45,0.64,60
frc_unweighted_knn,4,0.5,0.675,60
frc_unweighted_knn,5,0.5,0.8474999999999999,60
frc_unweighted_knn,6,0.5,0.9625,60
frc_weighted_adaptive,2,0.5,0.5525,60
frc_weighted_adaptive,3,0.5,0.655,60
frc_weighted_adaptive,4,0.5,0.6475,60
frc_weighted_adaptive,5,0.5,0.6275,60
frc_weighted_adaptive,6,0.5,0.7949999999999999,60
hickock,2,1.0,1.0,60
hickock,3,0.5,1.0,60
hickock,4,0.5,1.0,60
hickock,5,0.5,0.7625,60
hickock,6,0.5,0.21250000000000002,60
laziness_adaptive_t5,2,0.5,0.6825,60
laziness_adaptive_t5,3,0.5,0.7525,60
laziness_adaptive_t5,4,0.5,0.81,60
laziness_adaptive_t5,5,0.5,1.0,60
laziness_adaptive_t5,6,0.5,1.0,60
laziness_knn_t5,2,0.5,0.6950000000000001,60
laziness_knn_t5,3,0.5,0.7825,60
laziness_knn_t5,4,0.5,0.7999999999999999,60
laziness_knn_t5,5,0.5,1.0,60
laziness_knn_t5,6,0.5,1.0,60
orc,2,0.575,0.6525,60
orc,3,0.575,0.78,60
orc,4,0.5,0.7200000000000001,60
orc,5,0.5,0.9025000000000001,60
orc,6,0.5,0.9625,60
spc_diffusion_t5,2,0.675,0.7050000000000001,60
spc_diffusion_t5,3,0.575,0.5475000000000001,60
spc_diffusion_t5,4,,,60
spc_diffusion_t5,5,,,60
spc_diffusion_t5,6,,,60
spc_hop,2,0.475,0.4375,60
spc_hop,3,0.625,0.5574999999999999,60
spc_hop,4,,,60
spc_hop,5,,,60
spc_hop,6,,,60
