instance,n_traj,method,score_origin,score_mean,coverage,err,name,dim,noise,m,ks_true
300,100,shortcut_odd_q60,932.3878676338636,1449.6791009762333,0.659,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132
302,100,shortcut_odd_q60,1075.537425676191,1721.2323444779547,0.67,,d2-c1-n0.01-m2,2,0.01,2,2.435305785100224
304,100,shortcut_odd_q60,833.3085022957627,1482.8539770801249,0.663,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983
306,100,shortcut_odd_q60,802.0624023692286,1538.8359557726476,0.63,,d2-c1-n0.01-m6,2,0.01,6,-8.964351133510938
308,100,shortcut_odd_q60,1002.4537265645364,1356.632706583091,0.66,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685
310,100,shortcut_odd_q60,746.1666250342863,1443.8467589124143,0.667,,d2-c1-n0.01-m10,2,0.01,10,-13.010242390174652
312,100,shortcut_odd_q60,1389.2584245280812,1845.4905037748035,0.678,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698
314,100,shortcut_odd_q60,1366.6299569890434,1870.4765731454024,0.647,,d2-c1-n0.01-m14,2,0.01,14,-2.853722380261491
331,100,shortcut_odd_q60,1196.5298929942524,1891.2749383713597,0.654,,d2-c1-n0.05-m1,2,0.05,1,0.7737598105819261
333,100,shortcut_odd_q60,1269.6247584967125,1958.2591875088008,0.691,,d2-c1-n0.05-m3,2,0.05,3,-0.0201398711714281
335,100,shortcut_odd_q60,1274.5420095781028,1809.606439845583,0.7,,d2-c1-n0.05-m5,2,0.05,5,-6.985728960248757
337,100,shortcut_odd_q60,1485.953633227387,2101.941823310007,0.681,,d2-c1-n0.05-m7,2,0.05,7,0.013149415250463
339,100,shortcut_odd_q60,789.9850732714601,1403.12091911579,0.677,,d2-c1-n0.05-m9,2,0.05,9,-11.98291658411206
341,100,shortcut_odd_q60,1265.1507665133684,1765.9924569477594,0.681,,d2-c1-n0.05-m11,2,0.05,11,-1.8164727412950512
343,100,shortcut_odd_q60,1134.7639991108722,1633.355894308457,0.674,,d2-c1-n0.05-m13,2,0.05,13,-4.378023159484492
360,100,shortcut_odd_q60,1841.5810724078096,1990.820125913755,0.698,,d2-c1-n0.1-m0,2,0.1,0,-0.2773082867850632
362,100,shortcut_odd_q60,830.4028672824813,1451.7866532019953,0.701,,d2-c1-n0.1-m2,2,0.1,2,-12.086218290266444
364,100,shortcut_odd_q60,1357.5668916088916,1928.8256381027145,0.696,,d2-c1-n0.1-m4,2,0.1,4,-1.095170415248552
366,100,shortcut_odd_q60,1343.5528248590792,1698.781254360218,0.732,,d2-c1-n0.1-m6,2,0.1,6,-3.606518083255943
368,100,shortcut_odd_q60,1193.9727662909888,1402.8904229076306,0.704,,d2-c1-n0.1-m8,2,0.1,8,-4.380389712820355
370,100,shortcut_odd_q60,945.9536563089932,1371.377413478147,0.708,,d2-c1-n0.1-m10,2,0.1,10,-7.72404280863429
372,100,shortcut_odd_q60,1197.5272150927026,1614.7293356713574,0.674,,d2-c1-n0.1-m12,2,0.1,12,-0.6620962286516345
374,100,shortcut_odd_q60,932.6843106359818,1547.3042434738804,0.708,,d2-c1-n0.1-m14,2,0.1,14,-7.89412429083137
391,100,shortcut_odd_q60,1189.9838811385907,1347.723182587339,0.731,,d2-c1-n0.2-m1,2,0.2,1,-11.10729981739082
393,100,shortcut_odd_q60,1095.402415846287,1287.518654143806,0.722,,d2-c1-n0.2-m3,2,0.2,3,-10.420195506771478
395,100,shortcut_odd_q60,1133.1450144853634,1323.401786974963,0.709,,d2-c1-n0.2-m5,2,0.2,5,-9.597076646976651
397,100,shortcut_odd_q60,1020.6490311301428,1238.665522641429,0.699,,d2-c1-n0.2-m7,2,0.2,7,-7.068274592865281
399,100,shortcut_odd_q60,1255.683884981116,1571.8719835705117,0.695,,d2-c1-n0.2-m9,2,0.2,9,0.678826668015989
401,100,shortcut_odd_q60,1028.3948092859491,1168.778400432488,0.712,,d2-c1-n0.2-m11,2,0.2,11,-23.39944863774402
403,100,shortcut_odd_q60,1286.4073157549894,1548.1099185970966,0.692,,d2-c1-n0.2-m13,2,0.2,13,-0.7938535783685272
420,100,shortcut_odd_q60,763.9421027588702,631.933736376738,0.69,,d3-c1-n0.01-m0,3,0.01,0,1.2257813837761642
422,100,shortcut_odd_q60,751.9255125668882,906.6373542320498,0.685,,d3-c1-n0.01-m2,3,0.01,2,-10.734204673555151
424,100,shortcut_odd_q60,709.2153989234862,697.3115203673036,0.7,,d3-c1-n0.01-m4,3,0.01,4,-4.175905001060452
426,100,shortcut_odd_q60,751.4456174000285,695.335622557908,0.66,,d3-c1-n0.01-m6,3,0.01,6,-3.8235642778157457
428,100,shortcut_odd_q60,787.9426632082091,760.5042460625288,0.708,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453
430,100,shortcut_odd_q60,628.8965641927541,588.9805142271603,0.701,,d3-c1-n0.01-m10,3,0.01,10,-16.842236690951605
432,100,shortcut_odd_q60,679.4093036305921,892.7641608267902,0.691,,d3-c1-n0.01-m12,3,0.01,12,-15.026763600360248
434,100,shortcut_odd_q60,778.6138369902293,711.1560581073583,0.707,,d3-c1-n0.01-m14,3,0.01,14,1.6301777294930675
451,100,shortcut_odd_q60,615.9757605363534,915.0058166419172,0.712,,d3-c1-n0.05-m1,3,0.05,1,-12.659383196182684
453,100,shortcut_odd_q60,696.6217695119279,673.162995880369,0.702,,d3-c1-n0.05-m3,3,0.05,3,16.800746756883633
455,100,shortcut_odd_q60,723.1920275594916,664.9918251028846,0.674,,d3-c1-n0.05-m5,3,0.05,5,0.1038120113334293
457,100,shortcut_odd_q60,674.1318403181242,628.3034263057187,0.704,,d3-c1-n0.05-m7,3,0.05,7,-16.176625387033255
459,100,shortcut_odd_q60,657.4087227226262,634.2271356787562,0.7,,d3-c1-n0.05-m9,3,0.05,9,3.218057928153633
461,100,shortcut_odd_q60,677.1947042783836,650.6597359037497,0.685,,d3-c1-n0.05-m11,3,0.05,11,21.368395828400903
463,100,shortcut_odd_q60,691.0909280545762,645.0091439591174,0.719,,d3-c1-n0.05-m13,3,0.05,13,1.5260272664429309
480,100,shortcut_odd_q60,849.1637663061406,742.3463825338356,0.717,,d3-c1-n0.1-m0,3,0.1,0,10.984687542340705
482,100,shortcut_odd_q60,665.160823761182,598.346060563299,0.72,,d3-c1-n0.1-m2,3,0.1,2,-3.557038532205605
484,100,shortcut_odd_q60,812.9716750056198,713.2632030494294,0.737,,d3-c1-n0.1-m4,3,0.1,4,-9.95300009216142
486,100,shortcut_odd_q60,751.5455103797194,642.0421339353453,0.721,,d3-c1-n0.1-m6,3,0.1,6,-2.2494890599102795
488,100,shortcut_odd_q60,683.8871866825364,621.7695143579515,0.686,,d3-c1-n0.1-m8,3,0.1,8,25.65230615275553
490,100,shortcut_odd_q60,748.4179352574922,640.3498312488424,0.697,,d3-c1-n0.1-m10,3,0.1,10,-20.614923975239662
492,100,shortcut_odd_q60,688.7840616132715,662.4818148263905,0.736,,d3-c1-n0.1-m12,3,0.1,12,0.3353985029380055
494,100,shortcut_odd_q60,763.3714007877645,707.8963571592276,0.729,,d3-c1-n0.1-m14,3,0.1,14,-1.6689192913019415
511,100,shortcut_odd_q60,895.7990198635349,722.8362195344448,0.728,,d3-c1-n0.2-m1,3,0.2,1,-3.66641372894382
513,100,shortcut_odd_q60,1045.8630733678233,777.5687892006597,0.695,,d3-c1-n0.2-m3,3,0.2,3,-4.361976627914746
