dataset,instance,method,ks_hat,elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
sadspheres,0,signed_orc_t8,-0.0404865804591249,4.99,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,0,signed_orc_phys_t8,-0.3835192668579262,4.99,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,0,signed_orc_t16,-0.1071180495238673,4.99,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,0,signed_orc_phys_t16,-0.478179934067168,4.99,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,0,dc_wasserstein_ollivier,-0.2402161359786987,7.02,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,0,orc,-0.0453564116984479,2.95,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,0,laziness_knn_t5,-4.1968255043029785,1.01,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,0,hickock,-2.908237874302229,12.08,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,8,signed_orc_t8,-0.0077396897880902,4.45,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,8,signed_orc_phys_t8,-0.1021161129240404,4.45,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,8,signed_orc_t16,-0.0162463595805934,4.45,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,8,signed_orc_phys_t16,-0.1048273391161778,4.45,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,8,dc_wasserstein_ollivier,-0.0329921245574951,6.51,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,8,orc,-0.0299053185922518,3.48,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,8,laziness_knn_t5,-4.198698997497559,0.25,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,8,hickock,1.4673488112386928,10.43,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,16,signed_orc_t8,0.0500534995774328,5.97,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,16,signed_orc_phys_t8,0.2006136638725602,5.97,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,16,signed_orc_t16,0.0748666102731921,5.97,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,16,signed_orc_phys_t16,0.1523861840455207,5.97,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,16,dc_wasserstein_ollivier,0.1686723828315735,5.45,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,16,orc,-0.0108270652538198,5.45,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,16,laziness_knn_t5,-4.170934677124023,0.9,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,16,hickock,2.178989025004393,8.86,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,24,signed_orc_t8,-0.1354903204524734,5.33,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,24,signed_orc_phys_t8,-1.8159669461525236,5.33,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,24,signed_orc_t16,-0.1408019134675843,5.33,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,24,signed_orc_phys_t16,-0.7839755075558076,5.33,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,24,dc_wasserstein_ollivier,-0.2563480138778686,8.65,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,24,orc,0.082593809564443,5.77,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,24,laziness_knn_t5,-3.938223361968994,0.65,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,24,hickock,-3.104190531425604,13.13,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,32,signed_orc_t8,0.0040219807377119,3.83,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,32,signed_orc_phys_t8,0.0518364054608408,3.83,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,32,signed_orc_t16,-0.0275261970889686,3.83,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,32,signed_orc_phys_t16,-0.1763896283514483,3.83,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,32,dc_wasserstein_ollivier,0.0170454382896423,10.82,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,32,orc,0.0164382189790225,4.85,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,32,laziness_knn_t5,-4.187748908996582,0.93,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,32,hickock,1.385826848261982,11.99,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,40,signed_orc_t8,0.0609096673847713,4.28,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,40,signed_orc_phys_t8,0.206882233088119,4.28,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,40,signed_orc_t16,0.0871603868658442,4.28,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,40,signed_orc_phys_t16,0.1580849734940548,4.28,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,40,dc_wasserstein_ollivier,0.1651707887649536,6.6,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,40,orc,-0.0131113150510333,7.09,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,40,laziness_knn_t5,-4.18012285232544,0.79,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,40,hickock,2.156135928783664,17.37,,2-Sphere,2,,0.0,,Sphere,2.0
sadspheres,48,signed_orc_t8,-0.0399734085971975,4.65,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,48,signed_orc_phys_t8,-0.4496759175738457,4.65,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,48,signed_orc_t16,-0.1721230697415326,4.65,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,48,signed_orc_phys_t16,-0.8907437147762356,4.65,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,48,dc_wasserstein_ollivier,-0.2442973852157592,8.56,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,48,orc,0.0464594326466256,6.53,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,48,laziness_knn_t5,-4.201290607452393,0.76,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,48,hickock,-2.940365979634312,15.56,,2-Saddle,2,,0.0,,Saddle,-8.0
sadspheres,56,signed_orc_t8,0.0296588841448252,4.27,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,56,signed_orc_phys_t8,0.4284548668982053,4.27,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,56,signed_orc_t16,-0.0798589276791118,4.27,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,56,signed_orc_phys_t16,-0.5343342907000282,4.27,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,56,dc_wasserstein_ollivier,-0.0178281068801879,8.65,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,56,orc,0.0263567919234967,5.97,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,56,laziness_knn_t5,-4.126194000244141,0.82,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,56,hickock,1.2838065592911514,18.79,,2-Plane,2,,0.0,,Plane,0.0
sadspheres,64,signed_orc_t8,0.2269108341745103,5.79,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,64,signed_orc_phys_t8,0.1426898994407248,5.79,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,64,signed_orc_t16,0.2173937774761385,5.79,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,64,signed_orc_phys_t16,0.0871545460313312,5.79,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,64,dc_wasserstein_ollivier,0.1186283826828002,9.15,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,64,orc,-0.1933415004796508,6.31,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,64,laziness_knn_t5,-4.807127952575684,0.76,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,64,hickock,6.839211783842637,15.62,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,72,signed_orc_t8,-0.1817837619698458,4.8,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,72,signed_orc_phys_t8,-0.1443154702800237,4.8,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,72,signed_orc_t16,-0.0504904739349034,4.8,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,72,signed_orc_phys_t16,-0.0282694258335257,4.8,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,72,dc_wasserstein_ollivier,-0.4878071546554565,8.74,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,72,orc,-0.146424521810231,6.6,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,72,laziness_knn_t5,-5.035055160522461,0.52,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,72,hickock,3.629047001964742,16.84,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,80,signed_orc_t8,-0.0422977178999576,4.36,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,80,signed_orc_phys_t8,-0.0407999186804407,4.36,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,80,signed_orc_t16,0.1293954905662683,4.36,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,80,signed_orc_phys_t16,0.0963937277516037,4.36,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,80,dc_wasserstein_ollivier,-0.0283751487731933,6.4,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,80,orc,-0.046253564328574,6.45,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,80,laziness_knn_t5,-4.818626403808594,0.66,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,80,hickock,5.674218864718057,17.6,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,88,signed_orc_t8,0.1980271148224599,5.73,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,88,signed_orc_phys_t8,0.1342643785627882,5.73,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,88,signed_orc_t16,0.2152304939579738,5.73,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,88,signed_orc_phys_t16,0.0906947549013276,5.73,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,88,dc_wasserstein_ollivier,0.1306449174880981,8.56,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,88,orc,0.0142655371536937,6.25,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,88,laziness_knn_t5,-4.637558460235596,0.57,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,88,hickock,6.736986158155988,17.33,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,96,signed_orc_t8,-0.1339052365329572,5.9,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,96,signed_orc_phys_t8,-0.1039941620130235,5.9,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,96,signed_orc_t16,-0.0858293092030912,5.9,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,96,signed_orc_phys_t16,-0.0481359723182489,5.9,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,96,dc_wasserstein_ollivier,-0.5498669147491455,7.68,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,96,orc,-0.0465401550304109,6.12,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,96,laziness_knn_t5,-4.877361297607422,0.51,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,96,hickock,3.669456121662192,18.8,,3-Saddle,3,,0.0,,Saddle,-8.0
sadspheres,104,signed_orc_t8,-0.0413014825113994,5.81,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,signed_orc_phys_t8,-0.0429079933165135,5.81,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,signed_orc_t16,-0.2206509044277067,5.81,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,signed_orc_phys_t16,-0.1705611718884933,5.81,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,dc_wasserstein_ollivier,-0.0006607770919799,9.03,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,orc,-0.1155395594760152,5.83,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,laziness_knn_t5,-4.930411815643311,0.94,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,104,hickock,5.721990784041528,19.88,,3-Plane,3,,0.0,,Plane,0.0
sadspheres,112,signed_orc_t8,0.1884980317195849,5.92,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,signed_orc_phys_t8,0.120799224463668,5.92,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,signed_orc_t16,0.2556024713612354,5.92,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,signed_orc_phys_t16,0.1039201205018636,5.92,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,dc_wasserstein_ollivier,0.1117644309997558,6.87,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,orc,-0.1301848281749689,5.56,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,laziness_knn_t5,-4.862754821777344,0.44,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,112,hickock,6.723130453953873,19.79,,3-Sphere,3,,0.0,,Sphere,2.0
sadspheres,120,signed_orc_t8,0.0202748634317157,5.64,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,signed_orc_phys_t8,0.0068997978553182,5.64,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,120,signed_orc_t16,0.347218157014013,5.64,,4-Saddle,4,,0.0,,Saddle,-16.0
