n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
50,0,0.2,-5.901062852919369,-17.664154673944296,1115,
50,0,0.3,-6.088240723973432,-17.664154673944296,1115,
50,0,0.5,-6.339675385855773,-17.664154673944296,1115,
50,1,0.2,-6.500260618136608,-9.752893017945407,1146,
50,1,0.3,-6.642619257822087,-9.752893017945407,1146,
50,1,0.5,-6.813389109483356,-9.752893017945407,1146,
50,2,0.2,-6.040248107398697,6.782030357207869,1212,
50,2,0.3,-6.232767626397287,6.782030357207869,1212,
50,2,0.5,-6.484013480715232,6.782030357207869,1212,
50,3,0.2,-6.6093317850830235,2.9099346852854566,1154,
50,3,0.3,-6.7291795794224205,2.9099346852854566,1154,
50,3,0.5,-6.869316430810833,2.9099346852854566,1154,
50,4,0.2,-6.477946707561834,-1.1117414400607863,1072,
50,4,0.3,-6.6327675363021115,-1.1117414400607863,1072,
50,4,0.5,-6.81597487383814,-1.1117414400607863,1072,
50,5,0.2,-6.235745308125203,-1.0741749613034777,1166,
50,5,0.3,-6.404174528236455,-1.0741749613034777,1166,
50,5,0.5,-6.6225147578564965,-1.0741749613034777,1166,
50,6,0.2,-6.664819343940361,-3.348655608211125,1144,
50,6,0.3,-6.765144412334148,-3.348655608211125,1144,
50,6,0.5,-6.878281244031199,-3.348655608211125,1144,
50,7,0.2,-6.471457723080839,-4.771754926468648,1091,
50,7,0.3,-6.6044049477161995,-4.771754926468648,1091,
50,7,0.5,-6.790794842839787,-4.771754926468648,1091,
50,8,0.2,-6.353739939214153,4.234469729385937,1057,
50,8,0.3,-6.483128637893085,4.234469729385937,1057,
50,8,0.5,-6.669997217977735,4.234469729385937,1057,
50,9,0.2,-6.063256036020519,16.253215928506282,1158,
50,9,0.3,-6.235547631927517,16.253215928506282,1158,
50,9,0.5,-6.476716000799071,16.253215928506282,1158,
50,10,0.2,-5.897026322700165,-1.4095182596702143,1092,
50,10,0.3,-6.064751756060255,-1.4095182596702143,1092,
50,10,0.5,-6.286709009946048,-1.4095182596702143,1092,
50,11,0.2,-6.610760702633522,7.377026983785799,1136,
50,11,0.3,-6.735197018989375,7.377026983785799,1136,
50,11,0.5,-6.871019650513018,7.377026983785799,1136,
50,12,0.2,-6.311862554358937,-1.2518239035298682,1147,
50,12,0.3,-6.486281705505451,-1.2518239035298682,1147,
