n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
10,0,0.2,-5.843866086175256,-4.590010406490113,282,
10,0,0.3,-5.986169000043937,-4.590010406490113,282,
10,0,0.5,-6.1497771925960025,-4.590010406490113,282,
10,1,0.2,-5.659763401542497,13.603673931000143,321,
10,1,0.3,-5.845082213202741,13.603673931000143,321,
10,1,0.5,-6.072678925463715,13.603673931000143,321,
10,2,0.2,-5.652484351575973,13.891764839771986,299,
10,2,0.3,-5.8557978290379245,13.891764839771986,299,
10,2,0.5,-6.117561682410862,13.891764839771986,299,
10,3,0.2,-6.344464392889114,2.573541816232177,315,
10,3,0.3,-6.504014993092371,2.573541816232177,315,
10,3,0.5,-6.669405094025627,2.573541816232177,315,
10,4,0.2,-5.562212937094949,-2.5507815394602606,275,
10,4,0.3,-5.686013114235618,-2.5507815394602606,275,
10,4,0.5,-5.843480430949818,-2.5507815394602606,275,
10,5,0.2,-5.382864861963541,-1.4499377757973766,291,
10,5,0.3,-5.5521914426403765,-1.4499377757973766,291,
10,5,0.5,-5.764101936235461,-1.4499377757973766,291,
10,6,0.2,-6.040529971122742,-13.507217146494897,300,
10,6,0.3,-6.176088840166727,-13.507217146494897,300,
10,6,0.5,-6.325449466705322,-13.507217146494897,300,
10,7,0.2,-6.297679240771273,1.344101513481964,317,
10,7,0.3,-6.417111341133479,1.344101513481964,317,
10,7,0.5,-6.573843107614607,1.344101513481964,317,
10,8,0.2,-6.212169853946831,8.476333094564682,316,
10,8,0.3,-6.3751119088523,8.476333094564682,316,
10,8,0.5,-6.555994543848159,8.476333094564682,316,
10,9,0.2,-6.004235840191806,-1.0306529025359887,274,
10,9,0.3,-6.163415430236037,-1.0306529025359887,274,
10,9,0.5,-6.359566803396183,-1.0306529025359887,274,
10,10,0.2,-5.823446591212032,8.175660436251281,329,
10,10,0.3,-6.006144477241308,8.175660436251281,329,
10,10,0.5,-6.233594707442634,8.175660436251281,329,
10,11,0.2,-5.592086366244724,14.726218324067672,336,
10,11,0.3,-5.783038427432378,14.726218324067672,336,
10,11,0.5,-6.028790655590239,14.726218324067672,336,
10,12,0.2,-6.474677769612458,-1.842235872735504,295,
10,12,0.3,-6.580399198047186,-1.842235872735504,295,
10,12,0.5,-6.70112496715481,-1.842235872735504,295,
10,13,0.2,-6.397318870837871,6.623965019732538,325,
10,13,0.3,-6.496448016533485,6.623965019732538,325,
10,13,0.5,-6.6215628932072566,6.623965019732538,325,
10,14,0.2,-6.043760248488444,-2.71842316244986,326,
10,14,0.3,-6.164682288842698,-2.71842316244986,326,
10,14,0.5,-6.313145900796528,-2.71842316244986,326,
10,15,0.2,-6.0580739162007315,-5.040171363309043,305,
10,15,0.3,-6.197198394087494,-5.040171363309043,305,
10,15,0.5,-6.373215018725786,-5.040171363309043,305,
10,16,0.2,-6.089876471339045,-0.42067983431734857,259,
10,16,0.3,-6.191964407224913,-0.42067983431734857,259,
10,16,0.5,-6.3188273437234885,-0.42067983431734857,259,
10,17,0.2,-5.486464779717582,-3.8680885251115953,280,
10,17,0.3,-5.65625364950725,-3.8680885251115953,280,
10,17,0.5,-5.8676041075161525,-3.8680885251115953,280,
10,18,0.2,-5.8588734392019415,-0.45945178926591107,325,
10,18,0.3,-6.040342666919415,-0.45945178926591107,325,
10,18,0.5,-6.256583929795485,-0.45945178926591107,325,
10,19,0.2,-6.19491429989704,3.3638746890594096,267,
10,19,0.3,-6.34574226850874,3.3638746890594096,267,
10,19,0.5,-6.5393013543404,3.3638746890594096,267,
20,0,0.2,-5.943587553416584,-4.590010406490113,564,
20,0,0.3,-6.127009518603061,-4.590010406490113,564,
20,0,0.5,-6.351627919690829,-4.590010406490113,564,
20,1,0.2,-5.997264169169738,13.603673931000143,565,
20,1,0.3,-6.166828267764201,13.603673931000143,565,
20,1,0.5,-6.382727513271096,13.603673931000143,565,
20,2,0.2,-6.291880627268369,13.891764839771986,582,
20,2,0.3,-6.441211351414316,13.891764839771986,582,
20,2,0.5,-6.611420361856415,13.891764839771986,582,
20,3,0.2,-5.588761806488037,2.573541816232177,544,
20,3,0.3,-5.760779950110352,2.573541816232177,544,
20,3,0.5,-5.982783968396046,2.573541816232177,544,
20,4,0.2,-6.154047948407951,-2.5507815394602606,542,
20,4,0.3,-6.2746123669332245,-2.5507815394602606,542,
20,4,0.5,-6.41640899542073,-2.5507815394602606,542,
20,5,0.2,-5.453966382671805,-1.4499377757973766,544,
20,5,0.3,-5.6363872596446205,-1.4499377757973766,544,
20,5,0.5,-5.861864262643983,-1.4499377757973766,544,
20,6,0.2,-6.257867224655545,-13.507217146494897,581,
20,6,0.3,-6.369219980223454,-13.507217146494897,581,
20,6,0.5,-6.5009317718151305,-13.507217146494897,581,
20,7,0.2,-6.17346312159257,1.344101513481964,556,
