n_trajectories,manifold,gamma,temperature,ks_hat_mean,ks_true,n_visited,err
50,0,0.9,0.1,-0.6674659252166748,-0.8196425268452683,1108,
50,0,0.9,0.3,-1.387048363685608,-0.8196425268452683,1108,
50,0,0.9,0.5,-1.8124356269836426,-0.8196425268452683,1108,
50,0,0.9,1.0,-2.4400269985198975,-0.8196425268452683,1108,
50,0,0.9,2.0,-3.087339401245117,-0.8196425268452683,1108,
50,0,0.9,5.0,-3.943857431411743,-0.8196425268452683,1108,
50,1,0.9,0.1,-0.7469958066940308,0.985907040841777,1142,
50,1,0.9,0.3,-1.4532244205474854,0.985907040841777,1142,
50,1,0.9,0.5,-1.8552618026733398,0.985907040841777,1142,
50,1,0.9,1.0,-2.4488437175750732,0.985907040841777,1142,
50,1,0.9,2.0,-3.068190574645996,0.985907040841777,1142,
50,1,0.9,5.0,-3.8905351161956787,0.985907040841777,1142,
50,2,0.9,0.1,-0.5980572700500488,3.2549158116616614,1035,
50,2,0.9,0.3,-1.3026645183563232,3.2549158116616614,1035,
50,2,0.9,0.5,-1.7275993824005127,3.2549158116616614,1035,
50,2,0.9,1.0,-2.3509998321533203,3.2549158116616614,1035,
50,2,0.9,2.0,-3.0053112506866455,3.2549158116616614,1035,
50,2,0.9,5.0,-3.9028892517089844,3.2549158116616614,1035,
50,3,0.9,0.1,-0.7002118229866028,-2.414158761165222,1102,
50,3,0.9,0.3,-1.422215461730957,-2.414158761165222,1102,
50,3,0.9,0.5,-1.8512539863586426,-2.414158761165222,1102,
50,3,0.9,1.0,-2.47703218460083,-2.414158761165222,1102,
50,3,0.9,2.0,-3.116663932800293,-2.414158761165222,1102,
50,3,0.9,5.0,-3.953268051147461,-2.414158761165222,1102,
50,4,0.9,0.1,-0.7558186650276184,-11.758894814807261,1110,
50,4,0.9,0.3,-1.5087945461273193,-11.758894814807261,1110,
50,4,0.9,0.5,-1.9235399961471558,-11.758894814807261,1110,
50,4,0.9,1.0,-2.5169308185577393,-11.758894814807261,1110,
50,4,0.9,2.0,-3.1224212646484375,-11.758894814807261,1110,
50,4,0.9,5.0,-3.9240708351135254,-11.758894814807261,1110,
50,5,0.9,0.1,-0.6753939986228943,-4.451101744112791,1090,
50,5,0.9,0.3,-1.4151710271835327,-4.451101744112791,1090,
50,5,0.9,0.5,-1.8403741121292114,-4.451101744112791,1090,
50,5,0.9,1.0,-2.4513957500457764,-4.451101744112791,1090,
50,5,0.9,2.0,-3.0707452297210693,-4.451101744112791,1090,
50,5,0.9,5.0,-3.8835458755493164,-4.451101744112791,1090,
50,6,0.9,0.1,-0.8053337335586548,-9.759001738234947,1078,
50,6,0.9,0.3,-1.5725860595703125,-9.759001738234947,1078,
50,6,0.9,0.5,-2.009307622909546,-9.759001738234947,1078,
50,6,0.9,1.0,-2.6159255504608154,-9.759001738234947,1078,
50,6,0.9,2.0,-3.2052252292633057,-9.759001738234947,1078,
50,6,0.9,5.0,-3.963656187057495,-9.759001738234947,1078,
50,7,0.9,0.1,-0.6369429230690002,3.7116721280151084,1060,
50,7,0.9,0.3,-1.3360809087753296,3.7116721280151084,1060,
50,7,0.9,0.5,-1.7581977844238281,3.7116721280151084,1060,
50,7,0.9,1.0,-2.3758487701416016,3.7116721280151084,1060,
50,7,0.9,2.0,-3.0007758140563965,3.7116721280151084,1060,
50,7,0.9,5.0,-3.832918643951416,3.7116721280151084,1060,
50,8,0.9,0.1,-0.7530444264411926,-2.454811352493259,1158,
50,8,0.9,0.3,-1.5096017122268677,-2.454811352493259,1158,
50,8,0.9,0.5,-1.943065881729126,-2.454811352493259,1158,
50,8,0.9,1.0,-2.573410749435425,-2.454811352493259,1158,
50,8,0.9,2.0,-3.212472438812256,-2.454811352493259,1158,
50,8,0.9,5.0,-4.027751922607422,-2.454811352493259,1158,
50,9,0.9,0.1,-0.7346491813659668,-2.419456386418404,1159,
50,9,0.9,0.3,-1.5139917135238647,-2.419456386418404,1159,
50,9,0.9,0.5,-1.9591763019561768,-2.419456386418404,1159,
50,9,0.9,1.0,-2.5845446586608887,-2.419456386418404,1159,
50,9,0.9,2.0,-3.2134997844696045,-2.419456386418404,1159,
50,9,0.9,5.0,-4.038288116455078,-2.419456386418404,1159,
50,10,0.9,0.1,-0.6603536605834961,1.3828937942222883,1026,
50,10,0.9,0.3,-1.4081017971038818,1.3828937942222883,1026,
50,10,0.9,0.5,-1.8575305938720703,1.3828937942222883,1026,
50,10,0.9,1.0,-2.5256266593933105,1.3828937942222883,1026,
50,10,0.9,2.0,-3.2004451751708984,1.3828937942222883,1026,
50,10,0.9,5.0,-4.070913314819336,1.3828937942222883,1026,
50,11,0.9,0.1,-0.7866520881652832,-1.0868577918537068,1153,
50,11,0.9,0.3,-1.5772769451141357,-1.0868577918537068,1153,
50,11,0.9,0.5,-2.011626958847046,-1.0868577918537068,1153,
50,11,0.9,1.0,-2.620539426803589,-1.0868577918537068,1153,
50,11,0.9,2.0,-3.234264373779297,-1.0868577918537068,1153,
