dim,dataset,n_traj,ks_true,variant,score,score_std,n
2,plane,50,0.0,drc_euclid,-50.934147644042966,0.0,1
2,plane,50,0.0,drc_kernel,-2.416700802370906,0.1180958901710214,4
2,plane,50,0.0,resolvent_surgery,0.1668930218468075,0.0746368342028855,4
2,plane,50,0.0,kernel_injection,-1.068115376376995,0.4033152857587682,4
2,sphere,50,2.0,drc_euclid,-52.8690902709961,0.0,1
2,sphere,50,2.0,drc_kernel,-3.480962190032005,0.2191225411170795,4
2,sphere,50,2.0,resolvent_surgery,0.4777312321372705,0.2686899390110248,4
2,sphere,50,2.0,kernel_injection,-1.177266319501768,0.8664655348930109,4
2,saddle,50,-8.0,drc_euclid,-66.48720741271973,0.0,1
2,saddle,50,-8.0,drc_kernel,-2.7381197795271874,0.0257943532138238,4
2,saddle,50,-8.0,resolvent_surgery,0.60758011215805,0.6097951044239922,4
2,saddle,50,-8.0,kernel_injection,-0.6732643019957403,0.571444057498004,4
4,plane,50,0.0,drc_euclid,-319.16490440368653,0.0,1
4,plane,50,0.0,drc_kernel,-5.761328752338886,0.0870672754643092,4
4,plane,50,0.0,resolvent_surgery,0.3550350614795035,0.7881441052507173,4
4,plane,50,0.0,kernel_injection,-0.3924073065214355,0.7828098855518819,4
4,sphere,50,12.0,drc_euclid,-406.00638046264646,0.0,1
4,sphere,50,12.0,drc_kernel,-6.248851031064987,0.1158663488369854,4
4,sphere,50,12.0,resolvent_surgery,-0.4773140379339547,0.1600433899122995,4
4,sphere,50,12.0,kernel_injection,-2.515077873699851,1.2280823474620743,4
4,saddle,50,-16.0,drc_euclid,-275.5613208770752,0.0,1
4,saddle,50,-16.0,drc_kernel,-6.265740545094014,0.0709811270454121,4
4,saddle,50,-16.0,resolvent_surgery,0.6196201855730794,0.8524527082760167,4
4,saddle,50,-16.0,kernel_injection,-1.6037225833195998,0.8002028838896453,4
6,plane,50,0.0,drc_euclid,-442.0113010406494,0.0,1
6,plane,50,0.0,drc_kernel,-6.396329343318939,0.1075427452050654,4
6,plane,50,0.0,resolvent_surgery,-0.0557453238103983,1.0581810999014638,4
6,plane,50,0.0,kernel_injection,-2.3041368142673173,2.187917006869653,4
6,sphere,50,30.0,drc_euclid,-738.435693359375,0.0,1
6,sphere,50,30.0,drc_kernel,-6.395943158864975,0.1895169813897489,4
6,sphere,50,30.0,resolvent_surgery,-0.1393557224121118,0.8358971040964682,4
6,sphere,50,30.0,kernel_injection,-2.5084018392085223,1.200435089999756,4
6,saddle,50,-24.0,drc_euclid,-441.62677879333495,0.0,1
6,saddle,50,-24.0,drc_kernel,-6.488360515236854,0.200406901830457,4
6,saddle,50,-24.0,resolvent_surgery,-0.4225671325037569,0.6439560002614275,4
6,saddle,50,-24.0,kernel_injection,-2.1896661570221188,0.9354711422238604,4
2,plane,200,0.0,drc_euclid,-43.12443389892578,0.0,1
2,plane,200,0.0,drc_kernel,-2.5389602452516558,0.0508429610737627,4
2,plane,200,0.0,resolvent_surgery,-0.2878903835772737,0.9443507435943248,4
2,plane,200,0.0,kernel_injection,-0.1727341861158831,0.589999798185382,4
2,sphere,200,2.0,drc_euclid,-57.99561920166016,0.0,1
2,sphere,200,2.0,drc_kernel,-3.635410811752081,0.1070390401589679,4
2,sphere,200,2.0,resolvent_surgery,1.1210288387732208,1.2992310458244576,4
2,sphere,200,2.0,kernel_injection,-0.6611197839362795,1.551927934926178,4
2,saddle,200,-8.0,drc_euclid,-66.7581657409668,0.0,1
2,saddle,200,-8.0,drc_kernel,-2.931311051547527,0.0974966349781099,4
2,saddle,200,-8.0,resolvent_surgery,0.3170073491034819,1.7790816591622525,4
2,saddle,200,-8.0,kernel_injection,-0.518738872652718,1.2103911076139195,4
4,plane,200,0.0,drc_euclid,-380.4167877197266,0.0,1
4,plane,200,0.0,drc_kernel,-6.916793546080589,0.0568453660656823,4
4,plane,200,0.0,resolvent_surgery,-0.0290423489633191,0.3424044456778793,4
4,plane,200,0.0,kernel_injection,-0.7260590865069325,0.7722211454294146,4
4,sphere,200,12.0,drc_euclid,-522.9708305358887,0.0,1
4,sphere,200,12.0,drc_kernel,-9.444465726613998,0.1040258651638151,4
4,sphere,200,12.0,resolvent_surgery,0.2637953278000939,0.6169165606725948,4
4,sphere,200,12.0,kernel_injection,-1.9931202242862376,0.2487088669675916,4
4,saddle,200,-16.0,drc_euclid,-380.6778621673584,0.0,1
4,saddle,200,-16.0,drc_kernel,-7.97486886382103,0.0302084445806176,4
4,saddle,200,-16.0,resolvent_surgery,0.2046524597768363,0.6736997970195936,4
4,saddle,200,-16.0,kernel_injection,-1.3156234446128816,0.4848254499220681,4
6,plane,200,0.0,drc_euclid,-580.7044128417969,0.0,1
6,plane,200,0.0,drc_kernel,-9.339668226242065,0.0688246003069029,4
6,plane,200,0.0,resolvent_surgery,0.9255411527134836,0.9363247033778672,4
6,plane,200,0.0,kernel_injection,-0.2892316492319854,1.5746528703603535,4
6,sphere,200,30.0,drc_euclid,-973.3105819702148,0.0,1
6,sphere,200,30.0,drc_kernel,-8.840870815515519,0.0839495533173826,4
6,sphere,200,30.0,resolvent_surgery,-0.7636246993229883,0.8850129094754592,4
6,sphere,200,30.0,kernel_injection,-1.9678024205711355,1.335294268342225,4
6,saddle,200,-24.0,drc_euclid,-568.19921875,0.0,1
6,saddle,200,-24.0,drc_kernel,-9.33064422905445,0.1663184417157465,4
6,saddle,200,-24.0,resolvent_surgery,5.136509703129732e-07,1.6010352284781486,4
6,saddle,200,-24.0,kernel_injection,-1.7886155369190233,1.492342374373814,4
