dim,dataset,n_traj,ks_true,variant,score,score_std,n
2,plane,200,0.0,euclid_odd,-43.84450414785472,0.0,1
2,plane,200,0.0,euclid_even,-2850.8481859375256,0.0,1
2,plane,200,0.0,kernel_odd,-2.543117148735719,0.0756149857322689,2
2,plane,200,0.0,kernel_even,-54.44273617774236,30.445816981278835,2
2,sphere,200,2.0,euclid_odd,-57.96000570945328,0.0,1
2,sphere,200,2.0,euclid_even,-721881.5413625191,0.0,1
2,sphere,200,2.0,kernel_odd,-3.700800782290541,0.0337990305256461,2
2,sphere,200,2.0,kernel_even,-111.0065800886332,28.91192219244462,2
2,saddle,200,-8.0,euclid_odd,-50.745466065425326,0.0,1
2,saddle,200,-8.0,euclid_even,88887.93759736698,0.0,1
2,saddle,200,-8.0,kernel_odd,-2.570044145713159,0.059238097369296,2
2,saddle,200,-8.0,kernel_even,-60.63185054796882,2.020679340014812,2
4,plane,200,0.0,euclid_odd,-365.26895511601145,0.0,1
4,plane,200,0.0,euclid_even,-2606402.0655635823,0.0,1
4,plane,200,0.0,kernel_odd,-7.156967780637999,0.0679762105039265,2
4,plane,200,0.0,kernel_even,-1080.4380721564942,53.83950937793247,2
4,sphere,200,12.0,euclid_odd,-523.0485772785776,0.0,1
4,sphere,200,12.0,euclid_even,-3993659.011219701,0.0,1
4,sphere,200,12.0,kernel_odd,-9.384989993118902,0.0906647521803716,2
4,sphere,200,12.0,kernel_even,-7988.287704758627,496.433365534197,2
4,saddle,200,-16.0,euclid_odd,-367.0978770318461,0.0,1
4,saddle,200,-16.0,euclid_even,-2832591.040172504,0.0,1
4,saddle,200,-16.0,kernel_odd,-7.782323038384283,0.0243898234037152,2
4,saddle,200,-16.0,kernel_even,-2025.4808212062344,83.96505680658402,2
6,plane,200,0.0,euclid_odd,-587.616146486472,0.0,1
6,plane,200,0.0,euclid_even,-12058091.512294505,0.0,1
6,plane,200,0.0,kernel_odd,-9.67261996459428,0.0936445420193798,2
6,plane,200,0.0,kernel_even,-10349.2682101556,123.85172401797172,2
6,sphere,200,30.0,euclid_odd,-973.6060246045224,0.0,1
6,sphere,200,30.0,euclid_even,-41389613.589208975,0.0,1
6,sphere,200,30.0,kernel_odd,-8.802560214893063,0.0079045744462957,2
6,sphere,200,30.0,kernel_even,-21397.53547875052,315.54516067943223,2
6,saddle,200,-24.0,euclid_odd,-585.9265598580917,0.0,1
6,saddle,200,-24.0,euclid_even,-12242262.833075063,0.0,1
6,saddle,200,-24.0,kernel_odd,-9.110866077992643,0.0483161564790535,2
6,saddle,200,-24.0,kernel_even,-11222.526877087526,979.9481332300592,2
2,plane,50,0.0,euclid_odd,-63.73394440829175,0.0,1
2,plane,50,0.0,euclid_even,-627838.6221221419,0.0,1
2,plane,50,0.0,kernel_odd,-2.383600602734945,0.0637756389233064,2
2,plane,50,0.0,kernel_even,-49.55058448740196,4.87028379752487,2
2,sphere,50,2.0,euclid_odd,-52.80579775036911,0.0,1
2,sphere,50,2.0,euclid_even,-218296.60305767684,0.0,1
2,sphere,50,2.0,kernel_odd,-3.3465136388741845,0.0948575277444228,2
2,sphere,50,2.0,kernel_even,-134.74390192312077,17.588889086059247,2
2,saddle,50,-8.0,euclid_odd,-56.78318011322798,0.0,1
2,saddle,50,-8.0,euclid_even,313556.9575724765,0.0,1
2,saddle,50,-8.0,kernel_odd,-2.7541267594446284,0.0164026315862955,2
2,saddle,50,-8.0,kernel_even,-117.12021345857733,2.215979010681302,2
4,plane,50,0.0,euclid_odd,-304.80911769281204,0.0,1
4,plane,50,0.0,euclid_even,-1512929.55717384,0.0,1
4,plane,50,0.0,kernel_odd,-5.939179423956965,0.021734560518039,2
4,plane,50,0.0,kernel_even,-1121.9389195567494,155.52418283459087,2
4,sphere,50,12.0,euclid_odd,-405.9753629475109,0.0,1
4,sphere,50,12.0,euclid_even,-3240739.9158474035,0.0,1
4,sphere,50,12.0,kernel_odd,-6.192236802694624,0.0404549671661378,2
4,sphere,50,12.0,kernel_even,-4552.883606955346,221.5497241980456,2
4,saddle,50,-16.0,euclid_odd,-307.4008303577907,0.0,1
4,saddle,50,-16.0,euclid_even,-1414109.4464076215,0.0,1
4,saddle,50,-16.0,kernel_odd,-6.922855272013917,0.0379791942365135,2
4,saddle,50,-16.0,kernel_even,-1937.3479145859533,113.6922348511646,2
6,plane,50,0.0,euclid_odd,-424.342207226471,0.0,1
6,plane,50,0.0,euclid_even,-7042617.711393771,0.0,1
6,plane,50,0.0,kernel_odd,-6.272389180752439,0.0245419537218398,2
6,plane,50,0.0,kernel_even,-6604.651244643501,58.441552882623455,2
6,sphere,50,30.0,euclid_odd,-738.605316931749,0.0,1
6,sphere,50,30.0,euclid_even,-18187033.501019828,0.0,1
6,sphere,50,30.0,kernel_odd,-6.407369835453547,0.2503528795547121,2
6,sphere,50,30.0,kernel_even,-11171.77661971324,555.0088920374055,2
6,saddle,50,-24.0,euclid_odd,-455.4630920354752,0.0,1
6,saddle,50,-24.0,euclid_even,-7780494.228710902,0.0,1
6,saddle,50,-24.0,kernel_odd,-6.461038769636566,0.0968000250939575,2
6,saddle,50,-24.0,kernel_even,-8334.791148670669,286.62368602194465,2
