dim,dataset,n_traj,ks_true,variant,score
2,plane,200,0.0,shortcut_odd_q40,1459.452575090899
2,plane,200,0.0,premium_q40,42.65090621813194
2,plane,200,0.0,shortcut_odd_q60,2198.864732014814
2,plane,200,0.0,premium_q60,64.13865031642834
2,sphere,200,2.0,shortcut_odd_q40,1130.1569288659928
2,sphere,200,2.0,premium_q40,19.88837562462235
2,sphere,200,2.0,shortcut_odd_q60,1506.9366617216072
2,sphere,200,2.0,premium_q60,26.633731215954565
2,saddle,200,-8.0,shortcut_odd_q40,1438.6708332394142
2,saddle,200,-8.0,premium_q40,28.161320820667168
2,saddle,200,-8.0,shortcut_odd_q60,1895.1493070507472
2,saddle,200,-8.0,premium_q60,36.41362717796191
4,plane,200,0.0,shortcut_odd_q40,914.4619571548872
4,plane,200,0.0,premium_q40,2.448249221416841
4,plane,200,0.0,shortcut_odd_q60,774.1096989824575
4,plane,200,0.0,premium_q60,2.0772908249003708
4,sphere,200,12.0,shortcut_odd_q40,1152.5542536404405
4,sphere,200,12.0,premium_q40,2.205302742969788
4,sphere,200,12.0,shortcut_odd_q60,1043.7875574494185
4,sphere,200,12.0,premium_q60,2.0070714579316697
4,saddle,200,-16.0,shortcut_odd_q40,835.6317732467571
4,saddle,200,-16.0,premium_q40,2.4393471579902237
4,saddle,200,-16.0,shortcut_odd_q60,756.5090373250374
4,saddle,200,-16.0,premium_q60,2.179771910119297
6,plane,200,0.0,shortcut_odd_q40,494.4950420387098
6,plane,200,0.0,premium_q40,0.8440827040296845
6,plane,200,0.0,shortcut_odd_q60,778.7405415287063
6,plane,200,0.0,premium_q60,1.3330125831968185
6,sphere,200,30.0,shortcut_odd_q40,523.0374351132923
6,sphere,200,30.0,premium_q40,0.5378872051471449
6,sphere,200,30.0,shortcut_odd_q60,952.4630727746752
6,sphere,200,30.0,premium_q60,0.9783303304379104
6,saddle,200,-24.0,shortcut_odd_q40,399.2457358444046
6,saddle,200,-24.0,premium_q40,0.6735142140837163
6,saddle,200,-24.0,shortcut_odd_q60,649.0207278687161
6,saddle,200,-24.0,premium_q60,1.1014421712168951
2,plane,50,0.0,shortcut_odd_q40,952.4178761267148
2,plane,50,0.0,premium_q40,26.09785233498142
2,plane,50,0.0,shortcut_odd_q60,1545.0308828227226
2,plane,50,0.0,premium_q60,42.63506392730897
2,sphere,50,2.0,shortcut_odd_q40,758.5298891963108
2,sphere,50,2.0,premium_q40,15.42571683646401
2,sphere,50,2.0,shortcut_odd_q60,1013.2812385495178
2,sphere,50,2.0,premium_q60,20.46718199924817
2,saddle,50,-8.0,shortcut_odd_q40,923.191606216458
2,saddle,50,-8.0,premium_q40,17.74402615197041
2,saddle,50,-8.0,shortcut_odd_q60,1125.6425511434438
2,saddle,50,-8.0,premium_q60,21.59297331521654
4,plane,50,0.0,shortcut_odd_q40,739.9486300979413
4,plane,50,0.0,premium_q40,2.740971539211696
4,plane,50,0.0,shortcut_odd_q60,629.8370645923931
4,plane,50,0.0,premium_q60,2.330078727715345
4,sphere,50,12.0,shortcut_odd_q40,675.4409208846148
4,sphere,50,12.0,premium_q40,1.6663436266089249
4,sphere,50,12.0,shortcut_odd_q60,905.0502728342016
4,sphere,50,12.0,premium_q60,2.232438014649092
4,saddle,50,-16.0,shortcut_odd_q40,616.5878425382806
4,saddle,50,-16.0,premium_q40,2.248220266630108
4,saddle,50,-16.0,shortcut_odd_q60,603.2648264361853
4,saddle,50,-16.0,premium_q60,2.17519177978059
6,plane,50,0.0,shortcut_odd_q40,323.9271274505609
6,plane,50,0.0,premium_q40,0.7496663976757965
6,plane,50,0.0,shortcut_odd_q60,506.9042136244036
6,plane,50,0.0,premium_q60,1.1810437586449187
6,sphere,50,30.0,shortcut_odd_q40,335.67386251226765
6,sphere,50,30.0,premium_q40,0.4535913916898829
6,sphere,50,30.0,shortcut_odd_q60,631.3258759014107
6,sphere,50,30.0,premium_q60,0.8557155720586559
6,saddle,50,-24.0,shortcut_odd_q40,240.26678153812955
6,saddle,50,-24.0,premium_q40,0.5404668014318582
6,saddle,50,-24.0,shortcut_odd_q60,408.25503846468
6,saddle,50,-24.0,premium_q60,0.9229874028788252
