dim,dataset,ks_true,t,variant,score
2,plane,0.0,11,prob_shortcut_q40,6.5075085163116455
2,plane,0.0,11,prob_shortcut_q60,7.57684063911438
2,sphere,2.0,6,prob_shortcut_q40,6.750864267349243
2,sphere,2.0,6,prob_shortcut_q60,7.51039981842041
2,saddle,-8.0,6,prob_shortcut_q40,7.132423400878906
2,saddle,-8.0,6,prob_shortcut_q60,7.641240119934082
4,plane,0.0,1,prob_shortcut_q40,-3.24688982963562
4,plane,0.0,1,prob_shortcut_q60,-3.180532693862915
4,sphere,12.0,1,prob_shortcut_q40,-4.092909097671509
4,sphere,12.0,1,prob_shortcut_q60,-4.077765464782715
4,saddle,-16.0,1,prob_shortcut_q40,-3.678941249847412
4,saddle,-16.0,1,prob_shortcut_q60,-3.553823471069336
6,plane,0.0,1,prob_shortcut_q40,-5.6394853591918945
6,plane,0.0,1,prob_shortcut_q60,-5.550458192825317
6,sphere,30.0,1,prob_shortcut_q40,-6.246856212615967
6,sphere,30.0,1,prob_shortcut_q60,-6.235718488693237
6,saddle,-24.0,1,prob_shortcut_q40,-6.089600086212158
6,saddle,-24.0,1,prob_shortcut_q60,-6.013705015182495
