dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,301,successor_signed_orc_tau0.3,0.3754732362373543,3.56,219.2,,d2-c1-n0.01-m1,2,1,0.01,1,,24.29147882731491
colosseum,301,successor_signed_orc_phys_tau0.3,187.28620433069617,0.0,219.2,,d2-c1-n0.01-m1,2,1,0.01,1,,24.29147882731491
colosseum,301,successor_signed_orc_tau1,0.1500503325865839,3.12,219.2,,d2-c1-n0.01-m1,2,1,0.01,1,,24.29147882731491
colosseum,301,successor_signed_orc_phys_tau1,39.0640757011192,0.0,219.2,,d2-c1-n0.01-m1,2,1,0.01,1,,24.29147882731491
colosseum,301,successor_orc_old,0.9283465398078892,7.62,219.2,,d2-c1-n0.01-m1,2,1,0.01,1,,24.29147882731491
colosseum,301,successor_entropy_old,-2.497863496005535,0.22,219.2,,d2-c1-n0.01-m1,2,1,0.01,1,,24.29147882731491
colosseum,303,successor_signed_orc_tau0.3,-0.2486664612024709,2.69,224.7,,d2-c1-n0.01-m3,2,1,0.01,3,,-1.704752151195842
colosseum,303,successor_signed_orc_phys_tau0.3,-896.199711441024,0.0,224.7,,d2-c1-n0.01-m3,2,1,0.01,3,,-1.704752151195842
colosseum,303,successor_signed_orc_tau1,-0.2482961365688583,4.5,224.7,,d2-c1-n0.01-m3,2,1,0.01,3,,-1.704752151195842
colosseum,303,successor_signed_orc_phys_tau1,-342.9890567123365,0.0,224.7,,d2-c1-n0.01-m3,2,1,0.01,3,,-1.704752151195842
colosseum,303,successor_orc_old,0.9403241035989608,7.61,224.7,,d2-c1-n0.01-m3,2,1,0.01,3,,-1.704752151195842
colosseum,303,successor_entropy_old,-2.5233985168834527,0.25,224.7,,d2-c1-n0.01-m3,2,1,0.01,3,,-1.704752151195842
colosseum,305,successor_signed_orc_tau0.3,0.0373084154146754,3.19,214.6,,d2-c1-n0.01-m5,2,1,0.01,5,,17.833593420006732
colosseum,305,successor_signed_orc_phys_tau0.3,6.880952647479856,0.0,214.6,,d2-c1-n0.01-m5,2,1,0.01,5,,17.833593420006732
colosseum,305,successor_signed_orc_tau1,0.125299243400133,3.06,214.6,,d2-c1-n0.01-m5,2,1,0.01,5,,17.833593420006732
colosseum,305,successor_signed_orc_phys_tau1,29.50693091369303,0.0,214.6,,d2-c1-n0.01-m5,2,1,0.01,5,,17.833593420006732
colosseum,305,successor_orc_old,0.9275441628299314,7.1,214.6,,d2-c1-n0.01-m5,2,1,0.01,5,,17.833593420006732
colosseum,305,successor_entropy_old,-2.5888165042996407,0.47,214.6,,d2-c1-n0.01-m5,2,1,0.01,5,,17.833593420006732
colosseum,307,successor_signed_orc_tau0.3,0.489056293918383,3.05,227.1,,d2-c1-n0.01-m7,2,1,0.01,7,,-4.119639039475162
colosseum,307,successor_signed_orc_phys_tau0.3,1269.2362862200562,0.0,227.1,,d2-c1-n0.01-m7,2,1,0.01,7,,-4.119639039475162
colosseum,307,successor_signed_orc_tau1,0.4061660414564459,3.29,227.1,,d2-c1-n0.01-m7,2,1,0.01,7,,-4.119639039475162
colosseum,307,successor_signed_orc_phys_tau1,158.6039138576037,0.0,227.1,,d2-c1-n0.01-m7,2,1,0.01,7,,-4.119639039475162
colosseum,307,successor_orc_old,0.931579761168878,7.13,227.1,,d2-c1-n0.01-m7,2,1,0.01,7,,-4.119639039475162
colosseum,307,successor_entropy_old,-2.6053591778675718,0.34,227.1,,d2-c1-n0.01-m7,2,1,0.01,7,,-4.119639039475162
colosseum,309,successor_signed_orc_tau0.3,0.9309901872595552,2.38,236.8,,d2-c1-n0.01-m9,2,1,0.01,9,,-8.930072585381469
colosseum,309,successor_signed_orc_phys_tau0.3,119451.0275398772,0.0,236.8,,d2-c1-n0.01-m9,2,1,0.01,9,,-8.930072585381469
colosseum,309,successor_signed_orc_tau1,0.0619088636761891,2.35,236.8,,d2-c1-n0.01-m9,2,1,0.01,9,,-8.930072585381469
colosseum,309,successor_signed_orc_phys_tau1,245.2949326658844,0.0,236.8,,d2-c1-n0.01-m9,2,1,0.01,9,,-8.930072585381469
colosseum,309,successor_orc_old,0.937544805381967,6.82,236.8,,d2-c1-n0.01-m9,2,1,0.01,9,,-8.930072585381469
colosseum,309,successor_entropy_old,-2.586200153470039,0.24,236.8,,d2-c1-n0.01-m9,2,1,0.01,9,,-8.930072585381469
colosseum,311,successor_signed_orc_tau0.3,-0.2429316519598787,2.95,228.3,,d2-c1-n0.01-m11,2,1,0.01,11,,6.656586154585676
colosseum,311,successor_signed_orc_phys_tau0.3,-455.3525988717166,0.0,228.3,,d2-c1-n0.01-m11,2,1,0.01,11,,6.656586154585676
colosseum,311,successor_signed_orc_tau1,0.0933296632158978,2.36,228.3,,d2-c1-n0.01-m11,2,1,0.01,11,,6.656586154585676
colosseum,311,successor_signed_orc_phys_tau1,55.778791604899226,0.0,228.3,,d2-c1-n0.01-m11,2,1,0.01,11,,6.656586154585676
colosseum,311,successor_orc_old,0.9355628801975252,6.81,228.3,,d2-c1-n0.01-m11,2,1,0.01,11,,6.656586154585676
colosseum,311,successor_entropy_old,-2.557506957888603,0.22,228.3,,d2-c1-n0.01-m11,2,1,0.01,11,,6.656586154585676
colosseum,313,successor_signed_orc_tau0.3,,2.02,231.9,,d2-c1-n0.01-m13,2,1,0.01,13,,-2.9443229796812918
colosseum,313,successor_signed_orc_phys_tau0.3,,0.0,231.9,,d2-c1-n0.01-m13,2,1,0.01,13,,-2.9443229796812918
colosseum,313,successor_signed_orc_tau1,-0.18624301686323,2.14,231.9,,d2-c1-n0.01-m13,2,1,0.01,13,,-2.9443229796812918
colosseum,313,successor_signed_orc_phys_tau1,-140.25285268322705,0.0,231.9,,d2-c1-n0.01-m13,2,1,0.01,13,,-2.9443229796812918
colosseum,313,successor_orc_old,0.9360386973384665,6.63,231.9,,d2-c1-n0.01-m13,2,1,0.01,13,,-2.9443229796812918
colosseum,313,successor_entropy_old,-2.5775016607642174,0.42,231.9,,d2-c1-n0.01-m13,2,1,0.01,13,,-2.9443229796812918
colosseum,315,successor_signed_orc_tau0.3,0.328626026889192,2.38,225.5,,d2-c1-n0.01-m15,2,1,0.01,15,,5.382560219506182
colosseum,315,successor_signed_orc_phys_tau0.3,758.7856778546454,0.0,225.5,,d2-c1-n0.01-m15,2,1,0.01,15,,5.382560219506182
colosseum,315,successor_signed_orc_tau1,0.125549945648684,2.48,225.5,,d2-c1-n0.01-m15,2,1,0.01,15,,5.382560219506182
colosseum,315,successor_signed_orc_phys_tau1,50.91950990898596,0.0,225.5,,d2-c1-n0.01-m15,2,1,0.01,15,,5.382560219506182
colosseum,315,successor_orc_old,0.9298416353125588,6.8,225.5,,d2-c1-n0.01-m15,2,1,0.01,15,,5.382560219506182
colosseum,315,successor_entropy_old,-2.490016140580177,0.22,225.5,,d2-c1-n0.01-m15,2,1,0.01,15,,5.382560219506182
colosseum,317,successor_signed_orc_tau0.3,,2.57,219.5,,d2-c1-n0.01-m17,2,1,0.01,17,,5.093141423588664
colosseum,317,successor_signed_orc_phys_tau0.3,,0.0,219.5,,d2-c1-n0.01-m17,2,1,0.01,17,,5.093141423588664
colosseum,317,successor_signed_orc_tau1,0.0500838523413187,3.02,219.5,,d2-c1-n0.01-m17,2,1,0.01,17,,5.093141423588664
colosseum,317,successor_signed_orc_phys_tau1,78.70627519615189,0.0,219.5,,d2-c1-n0.01-m17,2,1,0.01,17,,5.093141423588664
colosseum,317,successor_orc_old,0.92418840972819,7.38,219.5,,d2-c1-n0.01-m17,2,1,0.01,17,,5.093141423588664
colosseum,317,successor_entropy_old,-2.4727083827257155,0.58,219.5,,d2-c1-n0.01-m17,2,1,0.01,17,,5.093141423588664
colosseum,319,successor_signed_orc_tau0.3,0.54622908971492,3.14,227.9,,d2-c1-n0.01-m19,2,1,0.01,19,,-18.89309209133555
colosseum,319,successor_signed_orc_phys_tau0.3,426.5562828746977,0.0,227.9,,d2-c1-n0.01-m19,2,1,0.01,19,,-18.89309209133555
colosseum,319,successor_signed_orc_tau1,0.3273817346688148,3.16,227.9,,d2-c1-n0.01-m19,2,1,0.01,19,,-18.89309209133555
colosseum,319,successor_signed_orc_phys_tau1,165.21793190201308,0.0,227.9,,d2-c1-n0.01-m19,2,1,0.01,19,,-18.89309209133555
colosseum,319,successor_orc_old,0.9347854736529774,6.96,227.9,,d2-c1-n0.01-m19,2,1,0.01,19,,-18.89309209133555
colosseum,319,successor_entropy_old,-2.674870500346025,0.24,227.9,,d2-c1-n0.01-m19,2,1,0.01,19,,-18.89309209133555
colosseum,361,successor_signed_orc_tau0.3,-0.37001501995788,3.04,230.6,,d2-c1-n0.1-m1,2,1,0.1,1,,9.449520693307583
colosseum,361,successor_signed_orc_phys_tau0.3,-22.496538474975782,0.0,230.6,,d2-c1-n0.1-m1,2,1,0.1,1,,9.449520693307583
colosseum,361,successor_signed_orc_tau1,0.0621112478416604,3.21,230.6,,d2-c1-n0.1-m1,2,1,0.1,1,,9.449520693307583
colosseum,361,successor_signed_orc_phys_tau1,5.948298220274439,0.0,230.6,,d2-c1-n0.1-m1,2,1,0.1,1,,9.449520693307583
colosseum,361,successor_orc_old,0.9456583643102568,7.17,230.6,,d2-c1-n0.1-m1,2,1,0.1,1,,9.449520693307583
colosseum,361,successor_entropy_old,-2.611182572821776,0.31,230.6,,d2-c1-n0.1-m1,2,1,0.1,1,,9.449520693307583
colosseum,363,successor_signed_orc_tau0.3,-0.5384195523150974,2.46,230.3,,d2-c1-n0.1-m3,2,1,0.1,3,,-0.1957350610295782
colosseum,363,successor_signed_orc_phys_tau0.3,-858.2943798354255,0.0,230.3,,d2-c1-n0.1-m3,2,1,0.1,3,,-0.1957350610295782
colosseum,363,successor_signed_orc_tau1,-0.391796482853045,2.57,230.3,,d2-c1-n0.1-m3,2,1,0.1,3,,-0.1957350610295782
colosseum,363,successor_signed_orc_phys_tau1,-26.022791976124847,0.0,230.3,,d2-c1-n0.1-m3,2,1,0.1,3,,-0.1957350610295782
colosseum,363,successor_orc_old,0.948567277736628,8.3,230.3,,d2-c1-n0.1-m3,2,1,0.1,3,,-0.1957350610295782
colosseum,363,successor_entropy_old,-2.521004034350316,0.26,230.3,,d2-c1-n0.1-m3,2,1,0.1,3,,-0.1957350610295782
colosseum,365,successor_signed_orc_tau0.3,0.6602839047561674,2.32,219.6,,d2-c1-n0.1-m5,2,1,0.1,5,,11.08152312025702
colosseum,365,successor_signed_orc_phys_tau0.3,1515.5190732190515,0.0,219.6,,d2-c1-n0.1-m5,2,1,0.1,5,,11.08152312025702
