method,dim,noise,pearson,n
dc2,2,0.01,-0.2187966394876374,50
dc2,2,0.05,0.07277512472216575,50
dc2,2,0.1,-0.009531142066863577,50
dc2,2,0.2,-0.07605146059914614,50
dc2,3,0.01,0.027997698973261306,50
dc2,3,0.05,-0.17043444183831222,50
dc2,3,0.1,0.00838526895020045,50
dc2,3,0.2,0.04812333147837594,50
dc2,4,0.01,0.2019508746739078,50
dc2,4,0.05,0.1457417857388451,50
dc2,4,0.1,-0.08117984292470715,50
dc2,4,0.2,0.23339610951982576,50
dc2,5,0.01,0.12113639979118897,50
dc2,5,0.05,0.03702224526838311,50
dc2,5,0.1,0.38073138196254197,50
dc2,5,0.2,0.4209642314027116,50
dc2,6,0.01,0.08780327365853094,50
dc2,6,0.05,0.22219949429391075,48
dc2,6,0.1,0.06633652767866378,50
dc2,6,0.2,0.42443724116343706,50
dc_entropic_subtraction,2,0.01,0.10248336761552934,50
dc_entropic_subtraction,2,0.05,0.23086014906544372,50
dc_entropic_subtraction,2,0.1,0.37798577859825655,50
dc_entropic_subtraction,2,0.2,0.43822109123386077,50
dc_entropic_subtraction,3,0.01,0.3915355357538916,50
dc_entropic_subtraction,3,0.05,0.3043339217690836,50
dc_entropic_subtraction,3,0.1,0.2785604701124034,50
dc_entropic_subtraction,3,0.2,0.38789128139888507,50
dc_entropic_subtraction,4,0.01,0.196151439831395,50
dc_entropic_subtraction,4,0.05,0.4561584863512783,50
dc_entropic_subtraction,4,0.1,0.1802936123405294,50
dc_entropic_subtraction,4,0.2,0.20739393115638322,50
dc_entropic_subtraction,5,0.01,-0.21256096732647606,50
dc_entropic_subtraction,5,0.05,0.06259370010257917,50
dc_entropic_subtraction,5,0.1,-0.0177245778300466,50
dc_entropic_subtraction,5,0.2,0.26810743515732827,50
dc_entropic_subtraction,6,0.01,-0.26508549541098936,50
dc_entropic_subtraction,6,0.05,-0.13382516006788517,48
dc_entropic_subtraction,6,0.1,0.1966848921335077,50
dc_entropic_subtraction,6,0.2,0.2474154035294191,50
dc_wasserstein_ollivier,2,0.01,0.8555148443733067,50
dc_wasserstein_ollivier,2,0.05,0.7599606365634756,50
dc_wasserstein_ollivier,2,0.1,0.5676172982296321,50
dc_wasserstein_ollivier,2,0.2,0.5612659833200275,50
dc_wasserstein_ollivier,3,0.01,0.7678430738179296,50
dc_wasserstein_ollivier,3,0.05,0.7974059935350662,50
dc_wasserstein_ollivier,3,0.1,0.8592517359825698,50
dc_wasserstein_ollivier,3,0.2,0.7025354894407156,50
dc_wasserstein_ollivier,4,0.01,0.8064023265960739,50
dc_wasserstein_ollivier,4,0.05,0.798654453759463,50
dc_wasserstein_ollivier,4,0.1,0.7779721647286064,50
dc_wasserstein_ollivier,4,0.2,0.5182965144114077,50
dc_wasserstein_ollivier,5,0.01,-0.05252035471381803,50
dc_wasserstein_ollivier,5,0.05,0.30847105187607127,50
dc_wasserstein_ollivier,5,0.1,0.15311596264531663,50
dc_wasserstein_ollivier,5,0.2,0.3733272256100227,50
dc_wasserstein_ollivier,6,0.01,-0.16065277586336008,50
dc_wasserstein_ollivier,6,0.05,-0.055460860770586415,48
dc_wasserstein_ollivier,6,0.1,0.15046758042290087,50
dc_wasserstein_ollivier,6,0.2,0.17417420866169786,50
frc_unweighted_knn,2,0.01,0.19119057173569443,50
frc_unweighted_knn,2,0.05,0.056948473045160014,50
frc_unweighted_knn,2,0.1,0.05153011429205348,50
frc_unweighted_knn,2,0.2,0.06790989349426646,50
frc_unweighted_knn,3,0.01,0.1143641924396096,50
frc_unweighted_knn,3,0.05,-0.14205908286113064,50
frc_unweighted_knn,3,0.1,0.04752431149502864,50
frc_unweighted_knn,3,0.2,-0.28976292041645035,50
frc_unweighted_knn,4,0.01,0.3097280014543031,50
frc_unweighted_knn,4,0.05,0.12241534357114883,50
frc_unweighted_knn,4,0.1,0.007392290401765457,50
frc_unweighted_knn,4,0.2,-0.07714056176212127,50
frc_unweighted_knn,5,0.01,0.06045595486183612,50
frc_unweighted_knn,5,0.05,0.24360980588024297,50
frc_unweighted_knn,5,0.1,0.29060453936362945,50
frc_unweighted_knn,5,0.2,0.2174587041823331,50
frc_unweighted_knn,6,0.01,0.1511876687530403,50
frc_unweighted_knn,6,0.05,0.22620711301066498,48
frc_unweighted_knn,6,0.1,-0.12419172192303006,50
frc_unweighted_knn,6,0.2,0.1085331927208578,50
frc_weighted_adaptive,2,0.01,0.13044537947484053,50
frc_weighted_adaptive,2,0.05,-0.03309230302315706,50
frc_weighted_adaptive,2,0.1,0.07569988558756345,50
frc_weighted_adaptive,2,0.2,0.1583188812107011,50
frc_weighted_adaptive,3,0.01,0.2936790030485449,50
frc_weighted_adaptive,3,0.05,0.1238028799502276,50
frc_weighted_adaptive,3,0.1,-0.020861504634519558,50
frc_weighted_adaptive,3,0.2,-0.025056428163291275,50
frc_weighted_adaptive,4,0.01,0.07776530105625071,50
frc_weighted_adaptive,4,0.05,0.23553371662536104,50
frc_weighted_adaptive,4,0.1,0.293571170279011,50
frc_weighted_adaptive,4,0.2,0.23025412851922986,50
frc_weighted_adaptive,5,0.01,-0.08984555616398195,50
frc_weighted_adaptive,5,0.05,0.05618560255873645,50
frc_weighted_adaptive,5,0.1,0.1137965925889244,50
frc_weighted_adaptive,5,0.2,0.14294410954600487,50
frc_weighted_adaptive,6,0.01,0.11594400901578764,50
frc_weighted_adaptive,6,0.05,0.2283044853497344,48
frc_weighted_adaptive,6,0.1,0.19338691812798506,50
frc_weighted_adaptive,6,0.2,-0.17448168680451195,50
hickock,2,0.01,0.6594518302322938,50
hickock,2,0.05,0.5964831152554608,50
hickock,2,0.1,0.5568032882816629,50
hickock,2,0.2,0.6365636240352222,50
hickock,3,0.01,0.6521415270011743,50
hickock,3,0.05,0.7545076906282057,50
hickock,3,0.1,0.6363224754078496,50
hickock,3,0.2,0.39105180374953774,50
hickock,4,0.01,0.1764642444600465,50
hickock,4,0.05,0.4812152544759457,50
hickock,4,0.1,0.14491697773115864,50
hickock,4,0.2,0.24531749990096585,50
hickock,5,0.01,-0.01766493591831432,50
hickock,5,0.05,-0.001473955200735188,50
hickock,5,0.1,0.1395595583769452,50
hickock,5,0.2,0.22840350632611306,50
hickock,6,0.01,-0.3182304411762231,50
hickock,6,0.05,-0.06636024712615923,48
hickock,6,0.1,0.3245391197472927,50
hickock,6,0.2,0.3216147767071489,50
laziness_adaptive_t5,2,0.01,0.18658808776704627,50
laziness_adaptive_t5,2,0.05,0.11823193141479878,50
laziness_adaptive_t5,2,0.1,0.14311752240266068,50
laziness_adaptive_t5,2,0.2,0.4126688743627658,50
laziness_adaptive_t5,3,0.01,0.12160846417926977,50
laziness_adaptive_t5,3,0.05,0.09193158522467751,50
laziness_adaptive_t5,3,0.1,0.15048314258832324,50
laziness_adaptive_t5,3,0.2,0.15293989749454698,50
laziness_adaptive_t5,4,0.01,0.46909290439642826,50
laziness_adaptive_t5,4,0.05,0.4716331087903426,50
laziness_adaptive_t5,4,0.1,0.1842154443855957,50
laziness_adaptive_t5,4,0.2,0.3609052406630096,50
laziness_adaptive_t5,5,0.01,0.09230751441482798,50
laziness_adaptive_t5,5,0.05,0.6144385169870479,50
laziness_adaptive_t5,5,0.1,0.3941167940883643,50
laziness_adaptive_t5,5,0.2,0.4317957158403053,50
laziness_adaptive_t5,6,0.01,0.5581871021273943,50
laziness_adaptive_t5,6,0.05,0.3916259387619903,48
laziness_adaptive_t5,6,0.1,0.16890228802747967,50
laziness_adaptive_t5,6,0.2,0.33114262243752873,50
laziness_knn_t5,2,0.01,0.17410094207230495,50
laziness_knn_t5,2,0.05,0.17053647516016235,50
laziness_knn_t5,2,0.1,0.14769462175009734,50
laziness_knn_t5,2,0.2,0.4601485791744749,50
laziness_knn_t5,3,0.01,0.149014685997587,50
laziness_knn_t5,3,0.05,0.12924735469308557,50
laziness_knn_t5,3,0.1,0.17004492634840288,50
laziness_knn_t5,3,0.2,0.18291069941647473,50
laziness_knn_t5,4,0.01,0.4818174674543471,50
laziness_knn_t5,4,0.05,0.4936361605497827,50
laziness_knn_t5,4,0.1,0.20082708749386213,50
laziness_knn_t5,4,0.2,0.38172559853035376,50
laziness_knn_t5,5,0.01,0.10883679914302925,50
laziness_knn_t5,5,0.05,0.623187299969279,50
laziness_knn_t5,5,0.1,0.388138555341063,50
laziness_knn_t5,5,0.2,0.4394602234332209,50
laziness_knn_t5,6,0.01,0.5657211520648167,50
laziness_knn_t5,6,0.05,0.46631170135183114,48
laziness_knn_t5,6,0.1,0.18867939097962477,50
laziness_knn_t5,6,0.2,0.34137302633011096,50
orc,2,0.01,0.27348829046298584,50
