variant,pearson,k_hat_std,elapsed_s,cfg_z_dim,cfg_hidden_dim,cfg_gamma,cfg_n_epochs,cfg_cosine_lr,cfg_batch_size,cfg_lr
baseline (v3-style),-0.1660199515284443,0.05691292365371031,755.5,16,256,0.9,300,True,512,0.0001
longer training,-0.09002698599370743,0.05927400763633318,1956.3,16,256,0.9,1200,True,512,0.0001
very long training,0.050745352424533416,0.07291536644660858,3888.3,16,256,0.9,2400,True,512,0.0001
lower z_dim=8,0.3674760797657189,0.05812489361553246,486.9,8,256,0.9,300,True,512,0.0001
lower z_dim=4,0.17708198972484196,0.08567216646961436,486.5,4,256,0.9,300,True,512,0.0001
z_dim=8 + long,0.20347401510279714,0.058346414247672625,1948.4,8,256,0.9,1200,True,512,0.0001
z_dim=4 + long,0.12998247257713852,0.11076008614364917,1911.7,4,256,0.9,1200,True,512,0.0001
higher lr 3e-4,-0.08711460356004636,0.0926300164172009,493.6,16,256,0.9,300,True,512,0.0003
higher lr 1e-3,-0.050918352761347555,0.07438090683070833,490.7,16,256,0.9,300,True,512,0.001
lower gamma 0.7,0.14967660336369384,0.04354679108143927,490.6,16,256,0.7,300,True,512,0.0001
higher gamma 0.95,-0.29031792378347315,0.048284576161556333,514.6,16,256,0.95,300,True,512,0.0001
z=4 + lr=3e-4 + long,0.060020508607114824,0.12487313802968861,1962.9,4,256,0.9,1200,True,512,0.0003
