seed,T,N,gamma,mean_kl,pearson_entropy_vs_ks,spearman_entropy_vs_ks,pearson_entropy_hat_vs_real,err
0,20,10,0.2,5.955384780472726,-0.01805300113621954,-0.03791689697922425,-0.05299888204421136,
0,20,10,0.5,4.7033096078173475,-0.022886817645836985,-0.03466889966722492,-0.08501623667540688,
0,20,10,0.8,3.283661670539458,-0.012334309287682978,-0.02146980536745134,-0.08997821442903606,
0,20,10,0.9,2.618729196697927,-0.007228794718084027,-0.016089368522342128,-0.06016439459774307,
0,20,20,0.2,5.8938302709614545,-0.027781391671673265,-0.027227639306909822,-0.05653813935143401,
0,20,20,0.5,4.627842666099271,-0.03195505753379417,-0.040931365232841306,-0.09141075724697192,
0,20,20,0.8,3.385861906542492,-0.030619680737713994,-0.04451009912752478,-0.083300047797627,
0,20,20,0.9,2.824996911736614,-0.027310632038713083,-0.04534571333642833,-0.054997683187750744,
0,20,50,0.2,5.922122837003573,-0.015332866210798659,-0.03173517643379411,-0.05145189277147729,
0,20,50,0.5,4.66265166918453,-0.022979364667038038,-0.028335127083781775,-0.06253399156531456,
0,20,50,0.8,3.2407293315566648,-0.025942987167035504,-0.02598354649588662,-0.05797966579817517,
0,20,50,0.9,2.5254265161617813,-0.02543460356597038,-0.02553787388446847,-0.03932554383158203,
0,20,100,0.2,5.944688429446239,-0.0203572932287115,-0.03923217380804345,-0.06704991954182636,
0,20,100,0.5,4.6858764081293165,-0.02708853195859369,-0.03679688869922217,-0.0971740860494299,
0,20,100,0.8,3.255400038906101,-0.03152917636368033,-0.03548256437064109,-0.08881047276449446,
0,20,100,0.9,2.5388621245075114,-0.029487097260528478,-0.03406071251517813,-0.06623170650538136,
0,50,10,0.2,6.240288825133292,-0.008755979906403845,-0.011512562878140719,-0.026186855593806443,
0,50,10,0.5,5.093394293778172,-0.004825469878073977,0.00021531455382863845,-0.04375760209805808,
0,50,10,0.8,3.772554804077342,-0.002358791856301997,0.005518168379542095,-0.04859478317694973,
0,50,10,0.9,3.1092098217650173,-0.004351557485350587,0.007819560454890113,-0.03771997174211497,
0,50,20,0.2,5.920871825013453,-0.009697523331993002,-0.015166382291595573,-0.030640314844929958,
0,50,20,0.5,4.671327900477801,-0.0076731821132104885,-0.005567858891964722,-0.051382012256092416,
0,50,20,0.8,3.311923669900264,-0.006239815941195048,-0.00417189104297276,-0.05970595724750756,
0,50,20,0.9,2.6636412755680414,-0.006227464895984259,-0.012740058185014546,-0.054796935805974306,
0,50,50,0.2,5.928259231695823,-0.03080699038512291,-0.04652714513178628,-0.04620708265080503,
0,50,50,0.5,4.687076743741389,-0.02683789016713338,-0.03524231831057958,-0.054490747209566995,
0,50,50,0.8,3.266572576461005,-0.01976552515154445,-0.02429692807423202,-0.04921297908917334,
0,50,50,0.9,2.5443167857305133,-0.018423701936387704,-0.025153408788352195,-0.034007573958789,
0,50,100,0.2,5.933949851502697,-0.04269067603157846,-0.0675982803995701,-0.0528742011861663,
0,50,100,0.5,4.690047785222156,-0.04679588831932742,-0.0667447111861778,-0.06003555618226031,
0,50,100,0.8,3.270144414954471,-0.05199222681178058,-0.06167504591876147,-0.05674446734621055,
0,50,100,0.9,2.537395473843746,-0.05247353438421473,-0.061403452850863204,-0.03529141846576236,
1,20,10,0.2,6.024597413392599,-0.052744200765789985,-0.05048442512110627,-0.05780800869561475,
1,20,10,0.5,4.826585684765215,-0.06684693625531696,-0.0632881148220287,-0.09117474069551337,
1,20,10,0.8,3.441520318421628,-0.06996686774808362,-0.0744778416194604,-0.07628402067103325,
1,20,10,0.9,2.6486407489695636,-0.06633152621393679,-0.07775845793961449,-0.04370815225349026,
1,20,20,0.2,6.021697822488157,-0.016095054741011104,-0.01991245847811462,-0.04160408715865846,
1,20,20,0.5,4.82309856239653,-0.020081902798875555,-0.01988662847165712,-0.0382367550220781,
1,20,20,0.8,3.4256146703179073,-0.027241474580355127,-0.026359265089816276,-0.017739133033908693,
1,20,20,0.9,2.6287840728714458,-0.02806899077705797,-0.0295578343894586,0.0031772184277433398,
1,20,50,0.2,5.967719418869014,-0.026213672679290343,-0.029812310953077736,-0.021605152496666433,
1,20,50,0.5,4.759655732341321,-0.029596870652871383,-0.03186108346527087,-0.022891489279508452,
1,20,50,0.8,3.3456397618001903,-0.035206188689771704,-0.036752967188241795,-0.013042086353845163,
1,20,50,0.9,2.56127126862187,-0.03583612117579608,-0.03536662034165508,0.006147723760050079,
1,20,100,0.2,5.9757419151310245,-0.02787781268391555,-0.0447703251925813,-0.03062131132040239,
1,20,100,0.5,4.758055375211398,-0.03181984418362926,-0.04230105007526252,-0.027394787945531705,
1,20,100,0.8,3.3397756695643186,-0.03416872452072636,-0.037994667498666874,-0.006772512208184039,
1,20,100,0.9,2.548012884027912,-0.03392774356231279,-0.03690828022707006,0.016105298341307597,
1,50,10,0.2,6.059620212990697,0.0210995999670125,0.00528832332208083,0.02595309226337955,
