seed,T,N,gamma,temperature,mean_kl,pearson_entropy_vs_ks,spearman_entropy_vs_ks,pearson_entropy_hat_vs_real,err
0,20,10,0.2,0.1,14.237224450597536,0.17601090251261864,0.2316241899060475,0.07321678363768477,
0,20,10,0.2,0.3,6.403988367023375,0.13045532176234584,0.1779551560555222,0.04978251386481411,
0,20,10,0.2,0.5,4.758155197324436,0.07924845421572296,0.11972607893151972,0.03441527534155972,
0,20,10,0.2,1.0,3.846267243776483,-0.010066668500769524,-0.004820158206847111,-0.008292883637358618,
0,20,10,0.2,2.0,3.823038760876705,-0.13910306449212376,-0.15789951947487985,-0.09430581527972948,
0,20,10,0.2,5.0,4.6556858591951205,-0.14149200424561112,-0.13729907687625637,-0.12681085094835376,
0,20,10,0.5,0.1,16.81884897240974,0.14583848984317066,0.19247512219095872,0.09814520705809915,
0,20,10,0.5,0.3,8.290160308612888,0.13725815087559246,0.1894026248506562,0.09536508477287604,
0,20,10,0.5,0.5,5.454591040860193,0.10367538435466714,0.1515106323776581,0.08729470421030239,
0,20,10,0.5,1.0,3.3484972586146915,0.03793803497585339,0.0679134259783565,0.07087610033728414,
0,20,10,0.5,2.0,2.60035456283188,-0.06452757418051966,-0.07432752508188126,0.025868919755515148,
0,20,10,0.5,5.0,2.8951961033615063,-0.19872610321730216,-0.21007979792750933,-0.061573777379617826,
0,20,10,0.8,0.1,19.192531662248633,0.11405275913232253,0.15356373089093273,0.07931912058383711,
0,20,10,0.8,0.3,13.010168198207536,0.1397755364644759,0.19394465448616363,0.1013376638624783,
0,20,10,0.8,0.5,9.333444786464035,0.13549967920845563,0.18819327354831838,0.11354371526953035,
0,20,10,0.8,1.0,5.232019552624108,0.09553613827729579,0.1464347331086833,0.12012744592307018,
0,20,10,0.8,2.0,2.6178382515620005,0.0170258041324035,0.04289263372315843,0.09981358007036176,
0,20,10,0.8,5.0,1.4270489875962367,-0.17266116138129065,-0.18910068834608484,-0.003628619896567046,
0,20,10,0.9,0.1,19.690402481900353,0.10800597803981526,0.1440000075000019,0.1028886890430404,
0,20,10,0.9,0.3,15.330598913032652,0.13768940598491414,0.19282718720679679,0.1284578133102417,
