instance,n_traj,err,name,dim,noise,ks_true,coverage,n_visited,eval_dist,kappa_plus,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8
300,10,,d2-c1-n0.01-m0,2,0.01,-4.073403328580132,0.091,274,0.6313,0.743332489436034,0.0,3.388409376144409,3.85519027709961,4.20038366317749
312,250,,d2-c1-n0.01-m12,2,0.01,-0.8978601744396698,0.941,2822,0.0,0.0205166689961535,0.0,5.639031410217285,6.274171352386475,6.899774074554443
340,100,,d2-c1-n0.05-m10,2,0.05,-1.3523409226359646,0.679,2036,0.0,0.0701279269320708,0.0,5.404959201812744,5.952735424041748,6.421924114227295
368,50,,d2-c1-n0.1-m8,2,0.1,-4.380389712820355,0.463,1388,0.0,-0.0863175142124954,0.0,4.329108715057373,5.022051334381104,5.785211086273193
396,25,,d2-c1-n0.2-m6,2,0.2,-19.90966868373765,0.286,857,0.1103,-0.0135039657411075,0.35,4.423005104064941,5.043159484863281,5.610440254211426
424,10,,d3-c1-n0.01-m4,3,0.01,-4.175905001060452,0.109,328,0.2921,0.24852998088541,0.425,2.7872438430786133,3.1930272579193115,3.697878360748291
451,250,,d3-c1-n0.05-m1,3,0.05,-12.659383196182684,0.955,2866,0.2053,-0.109529504961787,0.7625,5.716222286224365,6.71314001083374,7.322762489318848
464,100,,d3-c1-n0.05-m14,3,0.05,-21.079559573576592,0.713,2138,0.0,-0.0958650788273072,0.55,5.485267162322998,6.309916973114014,6.876519203186035
492,50,,d3-c1-n0.1-m12,3,0.1,0.3353985029380055,0.454,1363,0.29,0.1196813703806845,0.0,4.853011608123779,5.469114780426025,5.971381664276123
520,25,,d3-c1-n0.2-m10,3,0.2,2.0196605728685517,0.274,823,0.0,0.3653609166497977,0.0,4.057368755340576,4.681319713592529,5.167654514312744
548,10,,d4-c1-n0.01-m8,4,0.01,-37.35838600844277,0.118,353,0.0,0.4568500024526714,0.075,2.743637800216675,3.3006932735443115,3.682620286941528
575,250,,d4-c1-n0.05-m5,4,0.05,-31.28121797229592,0.95,2851,0.0,-0.170516154145033,0.5375,5.745804786682129,6.692975521087647,7.279301643371582
603,100,,d4-c1-n0.1-m3,4,0.1,-9.190322083736802,0.709,2128,0.0,-0.1226064045480886,0.1,5.236532211303711,6.135894775390625,6.717034816741943
631,50,,d4-c1-n0.2-m1,4,0.2,9.496456875600702,0.478,1435,0.0,0.1774230524654275,0.6625,4.48638916015625,5.520291805267334,6.260296821594238
644,25,,d4-c1-n0.2-m14,4,0.2,53.48846762686056,0.288,864,0.0,0.3100171694619201,0.7625,3.7270781993865967,4.66311502456665,5.377859115600586
672,10,,d5-c1-n0.01-m12,5,0.01,4.810311591502766,0.121,362,0.4524,0.6425128084419042,0.05,2.599343061447144,3.384803771972656,4.109664440155029
699,250,,d5-c1-n0.05-m9,5,0.05,-33.03765356029634,0.955,2866,0.0,0.2047713817611167,0.3875,5.435184001922607,6.346874237060547,6.944759368896484
727,100,,d5-c1-n0.1-m7,5,0.1,-20.20522058544134,0.718,2154,0.3415,0.2154943430734252,0.075,4.751790046691895,5.834685802459717,6.580774784088135
755,50,,d5-c1-n0.2-m5,5,0.2,-34.37732560792047,0.506,1518,0.4625,0.554711006924262,1.0,4.0941481590271,4.999024391174316,5.764241695404053
783,25,,d6-c1-n0.01-m3,6,0.01,-42.99969305482514,0.293,879,0.0,0.4351626950482476,1.0,3.129741668701172,4.211117744445801,5.205605030059815
811,10,,d6-c1-n0.05-m1,6,0.05,-48.29800862013458,0.134,401,0.6363,0.6633327876523563,1.0,2.244533061981201,2.858364582061768,3.4870598316192627
823,250,,d6-c1-n0.05-m13,6,0.05,-71.9194356359564,0.962,2885,0.0,0.0794320206249536,1.0,5.215331554412842,6.219005584716797,6.869744300842285
851,100,,d6-c1-n0.1-m11,6,0.1,-9.528899156859143,0.759,2278,0.0,-0.32107055573375,0.05,4.079800605773926,5.296580314636231,6.272982597351074
879,50,,d6-c1-n0.2-m9,6,0.2,-34.01810499140309,0.491,1473,0.0,0.1390574932841294,1.0,4.020122528076172,5.1330108642578125,6.01791524887085
300,25,,d2-c1-n0.01-m0,2,0.01,-4.073403328580132,0.235,706,0.0814,-0.0386362089231826,0.175,3.860595703125,4.375592231750488,4.919947147369385
313,10,,d2-c1-n0.01-m13,2,0.01,-2.9443229796812918,0.099,298,0.1838,-0.2271786266999141,0.0,3.7468535900115967,3.9498291015625,4.052257061004639
340,250,,d2-c1-n0.05-m10,2,0.05,-1.3523409226359646,0.946,2837,0.0,-0.0010430558759605,0.0,5.692514896392822,6.345986843109131,6.907474040985107
368,100,,d2-c1-n0.1-m8,2,0.1,-4.380389712820355,0.704,2111,0.142,-0.0708295885274531,0.2375,5.29455041885376,6.031830787658691,6.605392456054688
396,50,,d2-c1-n0.2-m6,2,0.2,-19.90966868373765,0.482,1446,0.0,-0.1292856004383698,0.6375,5.332944393157959,6.057178020477295,6.496490478515625
424,25,,d3-c1-n0.01-m4,3,0.01,-4.175905001060452,0.261,783,0.1847,0.1326916711978368,0.1125,3.963991641998291,4.560497283935547,5.203498840332031
452,10,,d3-c1-n0.05-m2,3,0.05,-8.503913817275507,0.114,342,0.3503,-0.3280181538227644,0.2375,3.1687049865722656,3.7036755084991455,4.273741722106934
464,250,,d3-c1-n0.05-m14,3,0.05,-21.079559573576592,0.944,2832,0.0,-0.1729824454263923,0.55,5.770859241485596,6.607187747955322,7.155067443847656
492,100,,d3-c1-n0.1-m12,3,0.1,0.3353985029380055,0.736,2209,0.0,-0.074068414758964,0.2625,5.413600444793701,6.242816925048828,6.854376316070557
520,50,,d3-c1-n0.2-m10,3,0.2,2.0196605728685517,0.483,1450,0.2446,-0.1825641550424087,0.0,4.5254106521606445,5.260682106018066,5.941766738891602
548,25,,d4-c1-n0.01-m8,4,0.01,-37.35838600844277,0.285,855,0.4994,0.1830344409547596,0.0625,3.8672165870666495,4.680949687957764,5.360708713531494
576,10,,d4-c1-n0.05-m6,4,0.05,1.5495180423592505,0.127,381,0.5818,0.648804284821549,0.0,2.980332612991333,3.264999389648437,3.5066077709198
603,250,,d4-c1-n0.1-m3,4,0.1,-9.190322083736802,0.958,2875,0.0,-0.1124335679015396,0.075,5.635278224945068,6.539736270904541,7.098269939422607
631,100,,d4-c1-n0.2-m1,4,0.2,9.496456875600702,0.721,2162,0.3167,0.2407701133523803,0.1125,4.743398189544678,5.803622245788574,6.600021362304688
