instance,n_traj,err,dim,noise,ks_true,coverage,kappa_km,kappa_km_sd,frac_km,frac_km_sd,entcak_km_t2,entcak_km_t2_sd,entcak_km_t4,entcak_km_t4_sd,entcak_km_t8,entcak_km_t8_sd
420,10,,3,0.01,1.2257813837761642,0.116,0.9555653208894264,0.0189900851675117,0.0,0.0,1.2913485914468763,0.4525977931389007,1.5558093786239624,0.5263689106207794,1.8378589898347852,0.6044327009585029
482,10,,3,0.1,-3.557038532205605,0.12,0.8806710444955388,0.0592850719027632,0.1875,0.2898005779842407,1.0879554871935395,0.6618334622165893,1.4243751475587487,0.8515566553652407,1.733932513743639,1.0178165187626245
544,10,,4,0.01,-16.875471101588957,0.119,0.9658768142329528,0.0083667109067423,0.671875,0.4083479482928743,0.7238113433122635,0.1408517995023786,1.0138459652662275,0.1580937032739685,1.3386825025081637,0.1667150886999241
606,10,,4,0.1,-27.860036231503933,0.127,0.9266864430913104,0.0462714287574133,0.25,0.4330127018922193,1.549152970314026,0.178698224719587,2.008779466152191,0.2049030933683954,2.428959012031555,0.2234412842471516
668,10,,5,0.01,-28.42240351450837,0.125,0.9969271222091396,0.0025082978186905,0.0,0.0,0.8909855931997299,0.2277439431455854,1.2996273189783096,0.3104935468616304,1.7624163925647736,0.3874867747158034
730,10,,5,0.1,-67.17285898139227,0.121,0.9829496423715388,0.0079953622346271,0.134375,0.2327443272670679,0.6916879191994667,0.2079709956286297,0.9799296110868454,0.2753528436881441,1.313471019268036,0.3515919473503899
792,10,,6,0.01,-38.33381100352402,0.124,0.9966947202668414,0.0012845187676794,0.0,0.0,0.2503957450389862,0.1160092238213842,0.3685503341257572,0.1542625068155804,0.5214501544833183,0.2118514868186605
854,10,,6,0.1,-26.73210065400279,0.127,0.9959092527567308,0.0016975897090132,0.0,0.0,0.0890722619369626,0.0757371615611779,0.1539004379883408,0.1268588526871875,0.2579838205128908,0.2029281399347122
420,25,,3,0.01,1.2257813837761642,0.265,0.7221260302964757,0.2149320822917674,0.0,0.0,1.6861658096313477,0.1741710213732548,2.267815411090851,0.1517502934016111,2.8546982407569885,0.1632344393546381
482,25,,3,0.1,-3.557038532205605,0.268,0.4712165414903675,0.2596276538175851,0.0,0.0,1.92676854133606,0.7353716337158789,2.3931533694267277,0.805723551168751,2.858375459909439,0.844138765451159
544,25,,4,0.01,-16.875471101588957,0.272,0.8336824710641557,0.0553370565434587,0.18125,0.2411722672696842,0.5560837462544441,0.1531841650133342,0.8882939219474792,0.2221663400278221,1.3461410254240036,0.3112172426901322
