method,dim,noise,pearson,n
dc2,2,0.01,0.008236863259792074,29
dc2,2,0.05,0.2636428531693016,26
dc2,2,0.1,0.07673120170863953,27
dc2,2,0.2,0.2708003388229303,21
dc2,3,0.01,0.22243224416386598,21
dc2,3,0.05,0.21941141190641092,24
dc2,3,0.1,0.1453199382663784,26
dc2,3,0.2,0.08069175305534415,30
dc2,4,0.01,0.17286461328134717,24
dc2,4,0.05,-0.01836257912133059,25
dc2,4,0.1,0.043681843880612706,26
dc2,4,0.2,0.21435972435756598,24
dc2,5,0.01,0.33037610691686603,28
dc2,5,0.05,0.3118738295307049,33
dc2,5,0.1,-0.12475263525248452,31
dc2,5,0.2,-0.11723932339031172,29
dc2,6,0.01,-0.020848990683933782,32
dc2,6,0.05,0.2738620776014734,28
dc2,6,0.1,0.33198636111714785,29
dc2,6,0.2,0.23131782472728932,28
dc_entropic_subtraction,2,0.01,-0.008602840032013254,29
dc_entropic_subtraction,2,0.05,0.6461831026184268,26
dc_entropic_subtraction,2,0.1,0.0740156353779994,27
dc_entropic_subtraction,2,0.2,-0.011895506827019557,21
dc_entropic_subtraction,3,0.01,0.06576451081042266,21
dc_entropic_subtraction,3,0.05,0.10763886578100994,24
dc_entropic_subtraction,3,0.1,-0.027116238180913625,26
dc_entropic_subtraction,3,0.2,0.6029382849227292,30
dc_entropic_subtraction,4,0.01,0.4785758676279057,24
dc_entropic_subtraction,4,0.05,-0.3945109295020741,25
dc_entropic_subtraction,4,0.1,-0.03708540209961497,26
dc_entropic_subtraction,4,0.2,0.23082340013984554,24
dc_entropic_subtraction,5,0.01,0.41334820936279676,28
dc_entropic_subtraction,5,0.05,-0.1964674447746588,33
dc_entropic_subtraction,5,0.1,-0.42735164307853635,31
dc_entropic_subtraction,5,0.2,-0.24049766368082123,29
dc_entropic_subtraction,6,0.01,-0.19907644055253296,32
dc_entropic_subtraction,6,0.05,0.025282552290616246,28
dc_entropic_subtraction,6,0.1,0.14701337932480066,29
dc_entropic_subtraction,6,0.2,-0.01588838373069033,28
dc_wasserstein_ollivier,2,0.01,0.7556627144686338,29
dc_wasserstein_ollivier,2,0.05,0.862617017364971,26
dc_wasserstein_ollivier,2,0.1,0.8812399425785872,27
dc_wasserstein_ollivier,2,0.2,0.7471111104489565,21
dc_wasserstein_ollivier,3,0.01,0.9079444223895314,21
dc_wasserstein_ollivier,3,0.05,0.9088883992824907,24
dc_wasserstein_ollivier,3,0.1,0.8056906769842455,26
dc_wasserstein_ollivier,3,0.2,0.7850994452852345,30
dc_wasserstein_ollivier,4,0.01,0.9089995123932778,24
dc_wasserstein_ollivier,4,0.05,0.785713951217269,25
dc_wasserstein_ollivier,4,0.1,0.5905665360034059,26
dc_wasserstein_ollivier,4,0.2,0.6891654473227293,24
dc_wasserstein_ollivier,5,0.01,0.6759182089649262,28
dc_wasserstein_ollivier,5,0.05,0.3246742171342061,33
dc_wasserstein_ollivier,5,0.1,-0.16941600055385142,31
dc_wasserstein_ollivier,5,0.2,-0.2336284385589412,29
dc_wasserstein_ollivier,6,0.01,-0.027675327826255803,32
dc_wasserstein_ollivier,6,0.05,0.02877429819981639,28
dc_wasserstein_ollivier,6,0.1,0.09489277272071561,29
dc_wasserstein_ollivier,6,0.2,0.018723875575439464,28
frc_unweighted_knn,2,0.01,-0.29934010964333996,29
frc_unweighted_knn,2,0.05,0.14989111148937284,26
frc_unweighted_knn,2,0.1,0.36640347213035385,27
frc_unweighted_knn,2,0.2,0.27655077995445004,21
frc_unweighted_knn,3,0.01,-0.22151818867205808,21
frc_unweighted_knn,3,0.05,0.15665240049566628,24
frc_unweighted_knn,3,0.1,-0.07966434613925319,26
frc_unweighted_knn,3,0.2,0.19502222346425638,30
frc_unweighted_knn,4,0.01,0.2532190337882836,24
frc_unweighted_knn,4,0.05,0.06958917636579696,25
frc_unweighted_knn,4,0.1,0.09473829952455505,25
frc_unweighted_knn,4,0.2,-0.1287495853945517,24
frc_unweighted_knn,5,0.01,0.2742059902379242,28
frc_unweighted_knn,5,0.05,0.0791682506415694,32
frc_unweighted_knn,5,0.1,-0.13955097718226947,31
frc_unweighted_knn,5,0.2,-0.22173900037540056,29
frc_unweighted_knn,6,0.01,0.10963547170492652,32
frc_unweighted_knn,6,0.05,0.09371569243064307,28
frc_unweighted_knn,6,0.1,0.12382207202297306,29
frc_unweighted_knn,6,0.2,-0.11633052297351945,28
frc_weighted_adaptive,2,0.01,0.13424223672182625,29
frc_weighted_adaptive,2,0.05,0.08433552399577003,26
frc_weighted_adaptive,2,0.1,0.5201899756964337,27
frc_weighted_adaptive,2,0.2,-0.041011662408039065,21
frc_weighted_adaptive,3,0.01,-0.011667003331687648,21
frc_weighted_adaptive,3,0.05,0.05887102148080021,24
frc_weighted_adaptive,3,0.1,-0.007689183057808774,26
frc_weighted_adaptive,3,0.2,0.01836665498604783,30
frc_weighted_adaptive,4,0.01,0.05528041569860594,24
frc_weighted_adaptive,4,0.05,-0.11021242801521146,25
frc_weighted_adaptive,4,0.1,-0.2261658738133891,25
frc_weighted_adaptive,4,0.2,-0.1449135900109767,24
frc_weighted_adaptive,5,0.01,0.26715324145957015,28
frc_weighted_adaptive,5,0.05,0.27835264349753336,32
frc_weighted_adaptive,5,0.1,0.1174454080984669,31
frc_weighted_adaptive,5,0.2,0.3017385791559668,29
frc_weighted_adaptive,6,0.01,0.1319119350136189,32
frc_weighted_adaptive,6,0.05,-0.019857604647708933,28
frc_weighted_adaptive,6,0.1,-0.047655329784977864,29
frc_weighted_adaptive,6,0.2,0.07959741524466116,28
hickock,2,0.01,0.9454770126061138,29
hickock,2,0.05,0.8035546000558323,26
hickock,2,0.1,0.932761640631767,27
hickock,2,0.2,0.5199890149818988,21
hickock,3,0.01,0.8694439208486048,21
hickock,3,0.05,0.7386954202257293,24
hickock,3,0.1,0.4770064277201646,26
hickock,3,0.2,0.43986848486190816,30
hickock,4,0.01,0.5478887357237889,24
hickock,4,0.05,-0.3791664011374427,25
hickock,4,0.1,0.050975239378048265,25
hickock,4,0.2,0.0789950560771723,24
hickock,5,0.01,0.35415898470421603,28
hickock,5,0.05,-0.2108877821957459,32
hickock,5,0.1,-0.11712547640566578,31
hickock,5,0.2,-0.021199459078186877,29
hickock,6,0.01,-0.23534970423937218,32
hickock,6,0.05,0.08011655215646815,28
hickock,6,0.1,0.13392112188483765,29
hickock,6,0.2,0.16137825445588572,28
laziness_adaptive_t5,2,0.01,-0.235784197409847,29
laziness_adaptive_t5,2,0.05,0.2993276085671339,26
laziness_adaptive_t5,2,0.1,0.3218376895175742,27
laziness_adaptive_t5,2,0.2,0.5919053717033699,21
laziness_adaptive_t5,3,0.01,0.05831801446195938,21
laziness_adaptive_t5,3,0.05,0.04446009292813331,23
laziness_adaptive_t5,3,0.1,-0.1302158161795782,26
laziness_adaptive_t5,3,0.2,0.2182626755328837,30
laziness_adaptive_t5,4,0.01,0.4707436205977864,24
laziness_adaptive_t5,4,0.05,0.1828569181480834,25
laziness_adaptive_t5,4,0.1,0.2798442108113784,25
laziness_adaptive_t5,4,0.2,0.07595077315867972,23
laziness_adaptive_t5,5,0.01,0.6747047101182567,28
laziness_adaptive_t5,5,0.05,0.49564078669671946,32
laziness_adaptive_t5,5,0.1,0.25602298970039633,31
laziness_adaptive_t5,5,0.2,-0.040455754082520126,29
laziness_adaptive_t5,6,0.01,0.5595766222347999,32
laziness_adaptive_t5,6,0.05,0.294534246978157,28
laziness_adaptive_t5,6,0.1,0.3866026694496087,29
laziness_adaptive_t5,6,0.2,0.36677377082844836,28
laziness_knn_t5,2,0.01,-0.31168045087286766,29
laziness_knn_t5,2,0.05,0.3262337828332723,26
laziness_knn_t5,2,0.1,0.3021653114309451,27
laziness_knn_t5,2,0.2,0.6222559041339979,21
laziness_knn_t5,3,0.01,0.10453494415352786,21
laziness_knn_t5,3,0.05,0.08377604131438733,23
laziness_knn_t5,3,0.1,-0.043449319593267414,26
laziness_knn_t5,3,0.2,0.1956068200562125,30
laziness_knn_t5,4,0.01,0.5286147346434644,24
laziness_knn_t5,4,0.05,0.20156176265862585,25
laziness_knn_t5,4,0.1,0.3153908982666199,25
laziness_knn_t5,4,0.2,0.10697648728465314,23
laziness_knn_t5,5,0.01,0.689627432577198,28
laziness_knn_t5,5,0.05,0.5369175518079503,32
laziness_knn_t5,5,0.1,0.3040048696709273,31
laziness_knn_t5,5,0.2,-0.032838569957294235,29
laziness_knn_t5,6,0.01,0.5379047374563752,32
laziness_knn_t5,6,0.05,0.3066141588223157,28
laziness_knn_t5,6,0.1,0.37707369607801905,29
laziness_knn_t5,6,0.2,0.3957064538351112,28
orc,2,0.01,-0.21827666992043482,29
orc,2,0.05,0.13901181067099955,26
orc,2,0.1,0.4666516232503513,27
orc,2,0.2,0.4260635520103121,21
orc,3,0.01,0.08406389876430068,21
orc,3,0.05,0.04773585527567869,24
orc,3,0.1,0.16706458134561739,26
orc,3,0.2,-0.09987826635673434,30
orc,4,0.01,0.10934047148869809,24
orc,4,0.05,0.026329081370572605,25
orc,4,0.1,0.1664702204285265,25
orc,4,0.2,-0.19432598478066443,24
orc,5,0.01,0.5435800951663934,28
orc,5,0.05,0.2299969258432248,32
orc,5,0.1,0.15631063103707502,31
orc,5,0.2,-0.1468821098906702,29
orc,6,0.01,0.45252714928304605,32
orc,6,0.05,0.014245499664018519,28
orc,6,0.1,0.018720477958321154,29
orc,6,0.2,0.24772414302425091,28
spc_diffusion_t5,2,0.01,0.1387013027039789,29
spc_diffusion_t5,2,0.05,-0.12479633053193448,26
spc_diffusion_t5,2,0.1,-0.005035025709594167,27
spc_diffusion_t5,2,0.2,0.11578087922918161,21
spc_diffusion_t5,3,0.01,-0.16066482571787205,21
spc_diffusion_t5,3,0.05,0.4960995388999285,23
spc_diffusion_t5,3,0.1,-0.05044327156290412,26
spc_diffusion_t5,3,0.2,0.13163154266413057,30
spc_diffusion_t5,4,0.01,0.056018887945722524,24
spc_diffusion_t5,4,0.05,-0.2419327893062036,25
spc_diffusion_t5,4,0.1,0.004866708333313912,25
spc_diffusion_t5,4,0.2,0.0026123621655405275,23
spc_diffusion_t5,5,0.01,,28
spc_diffusion_t5,5,0.05,,32
spc_diffusion_t5,5,0.1,,31
spc_diffusion_t5,5,0.2,,29
spc_diffusion_t5,6,0.01,,32
spc_diffusion_t5,6,0.05,,28
spc_diffusion_t5,6,0.1,,29
spc_diffusion_t5,6,0.2,,28
spc_hop,2,0.01,0.0332613999281976,29
spc_hop,2,0.05,-0.022023704376497706,26
spc_hop,2,0.1,-0.13023659026381165,27
spc_hop,2,0.2,0.010505392189420926,21
spc_hop,3,0.01,0.10411286807616842,21
spc_hop,3,0.05,-0.026674091916602853,23
spc_hop,3,0.1,-0.012730259167948583,26
spc_hop,3,0.2,0.025873619452108695,30
spc_hop,4,0.01,-0.002183592604004238,24
spc_hop,4,0.05,-0.22082244050220529,25
spc_hop,4,0.1,-0.06488425276994189,25
spc_hop,4,0.2,0.13734955569603802,23
spc_hop,5,0.01,,28
spc_hop,5,0.05,,32
spc_hop,5,0.1,,31
spc_hop,5,0.2,,29
spc_hop,6,0.01,,32
spc_hop,6,0.05,,28
spc_hop,6,0.1,,29
spc_hop,6,0.2,,28
successor_entropy,2,0.01,0.6213499961948238,28
successor_entropy,2,0.05,0.44360567899664594,25
successor_entropy,2,0.1,0.6142272600234846,26
successor_entropy,2,0.2,-0.17244104933399734,20
successor_entropy,3,0.01,0.46361582841650306,20
successor_entropy,3,0.05,0.6512257237229362,23
successor_entropy,3,0.1,0.48403313032554185,25
successor_entropy,3,0.2,0.26167738517817213,29
successor_entropy,4,0.01,0.48101898493610584,23
successor_entropy,4,0.05,0.7426542569992075,24
