method,dim,noise,pearson,n
dc2,2,0.01,0.1618226318738218,50
dc2,2,0.05,0.2719836026356721,50
dc2,2,0.1,-0.1274641128404147,50
dc2,2,0.2,0.1606516693846112,50
dc2,3,0.01,0.1908126057492223,50
dc2,3,0.05,0.1324797740807117,50
dc2,3,0.1,0.0310736415127416,50
dc2,3,0.2,0.2272721142193796,50
dc2,4,0.01,0.3296773280792424,50
dc2,4,0.05,0.2275038727173849,50
dc2,4,0.1,0.3247377868511471,50
dc2,4,0.2,0.4964038773229929,50
dc2,5,0.01,-0.1750719253014261,50
dc2,5,0.05,0.0669567805986766,50
dc2,5,0.1,0.1717651699783585,50
dc2,5,0.2,0.0781930748397967,50
dc2,6,0.01,0.3307003794999587,50
dc2,6,0.05,-0.1738977884988074,50
dc2,6,0.1,0.4150042195654523,50
dc2,6,0.2,0.2648723761674366,50
dc_entropic_subtraction,2,0.01,0.114300168318052,50
dc_entropic_subtraction,2,0.05,0.2905250016451182,50
dc_entropic_subtraction,2,0.1,0.249540946539498,50
dc_entropic_subtraction,2,0.2,0.3806494501249999,50
dc_entropic_subtraction,3,0.01,0.1992136956846723,50
dc_entropic_subtraction,3,0.05,0.1935735430862563,50
dc_entropic_subtraction,3,0.1,0.5416496715509236,50
dc_entropic_subtraction,3,0.2,0.4716919652297748,50
dc_entropic_subtraction,4,0.01,0.2066750187673327,50
dc_entropic_subtraction,4,0.05,0.2911533959336334,50
dc_entropic_subtraction,4,0.1,0.392470583212305,50
dc_entropic_subtraction,4,0.2,0.3754239706782059,50
dc_entropic_subtraction,5,0.01,-0.2501283432136011,50
dc_entropic_subtraction,5,0.05,0.0400631275156275,50
dc_entropic_subtraction,5,0.1,0.005713871356909,50
dc_entropic_subtraction,5,0.2,-0.2440755741178898,50
dc_entropic_subtraction,6,0.01,0.3039827568053849,50
dc_entropic_subtraction,6,0.05,-0.1994970985292837,50
dc_entropic_subtraction,6,0.1,-0.1128238574314187,50
dc_entropic_subtraction,6,0.2,-0.0483874241296009,50
dc_wasserstein_ollivier,2,0.01,0.7449712309912213,50
dc_wasserstein_ollivier,2,0.05,0.8097049310595724,50
dc_wasserstein_ollivier,2,0.1,0.8072322508521538,50
dc_wasserstein_ollivier,2,0.2,0.6876181388849495,50
dc_wasserstein_ollivier,3,0.01,0.5498264987872203,50
dc_wasserstein_ollivier,3,0.05,0.7443790922797215,50
dc_wasserstein_ollivier,3,0.1,0.734741104322991,50
dc_wasserstein_ollivier,3,0.2,0.7941721705081326,50
dc_wasserstein_ollivier,4,0.01,0.7766261916407713,50
dc_wasserstein_ollivier,4,0.05,0.6998456482499986,50
dc_wasserstein_ollivier,4,0.1,0.8574509741164533,50
dc_wasserstein_ollivier,4,0.2,0.5839540647202837,50
dc_wasserstein_ollivier,5,0.01,-0.0965483568216342,50
dc_wasserstein_ollivier,5,0.05,0.2191666620840937,50
dc_wasserstein_ollivier,5,0.1,0.0915019388311213,50
dc_wasserstein_ollivier,5,0.2,-0.1866035301615771,50
dc_wasserstein_ollivier,6,0.01,0.3756611576974217,50
dc_wasserstein_ollivier,6,0.05,-0.2886128168868133,50
dc_wasserstein_ollivier,6,0.1,-0.0235804193296647,50
dc_wasserstein_ollivier,6,0.2,0.029341940243972,50
frc_unweighted_knn,2,0.01,-0.0588273487799265,50
frc_unweighted_knn,2,0.05,-0.2374422290143917,50
frc_unweighted_knn,2,0.1,0.0811498249458967,50
frc_unweighted_knn,2,0.2,0.0779100566985648,50
frc_unweighted_knn,3,0.01,-0.0248241630365459,50
frc_unweighted_knn,3,0.05,-0.0234119397652447,50
frc_unweighted_knn,3,0.1,-0.0573845331130344,50
frc_unweighted_knn,3,0.2,-0.0303490676691536,50
frc_unweighted_knn,4,0.01,0.2106089230139859,50
frc_unweighted_knn,4,0.05,-0.1003548120295217,50
frc_unweighted_knn,4,0.1,-0.0190851401231623,50
frc_unweighted_knn,4,0.2,0.2797920950056492,50
frc_unweighted_knn,5,0.01,0.0609216111164129,50
frc_unweighted_knn,5,0.05,0.1876752589355944,50
frc_unweighted_knn,5,0.1,-0.1319567851050448,50
frc_unweighted_knn,5,0.2,0.021844172659911,50
frc_unweighted_knn,6,0.01,0.2944544501659181,50
frc_unweighted_knn,6,0.05,-0.0136986305353001,50
frc_unweighted_knn,6,0.1,0.3446325154097056,50
frc_unweighted_knn,6,0.2,0.432405300787528,50
frc_weighted_adaptive,2,0.01,-0.0389755048877283,50
frc_weighted_adaptive,2,0.05,0.3513427761505877,50
frc_weighted_adaptive,2,0.1,-0.066694629244502,50
frc_weighted_adaptive,2,0.2,-0.015344092416854,50
frc_weighted_adaptive,3,0.01,-0.279304273483091,50
frc_weighted_adaptive,3,0.05,0.0412281184289575,50
frc_weighted_adaptive,3,0.1,0.0984789450577818,50
frc_weighted_adaptive,3,0.2,-0.2154207899078262,50
frc_weighted_adaptive,4,0.01,0.1944514658665395,50
frc_weighted_adaptive,4,0.05,-0.0300204982861209,50
frc_weighted_adaptive,4,0.1,0.0499990016064493,50
frc_weighted_adaptive,4,0.2,0.1365480655351486,50
frc_weighted_adaptive,5,0.01,-0.2685539655374309,50
frc_weighted_adaptive,5,0.05,-0.1890917616523212,50
frc_weighted_adaptive,5,0.1,-0.0497287387505333,50
frc_weighted_adaptive,5,0.2,-0.1083362879073015,50
frc_weighted_adaptive,6,0.01,0.0891921816173876,50
frc_weighted_adaptive,6,0.05,-0.0735726297577135,50
frc_weighted_adaptive,6,0.1,0.1383716481456637,50
frc_weighted_adaptive,6,0.2,0.0267635519617451,50
hickock,2,0.01,0.7083817171882871,50
hickock,2,0.05,0.8237342144281601,50
hickock,2,0.1,0.7356026953198767,50
hickock,2,0.2,0.6808189056253313,50
hickock,3,0.01,0.4020971085376988,50
hickock,3,0.05,0.4809020516542989,50
hickock,3,0.1,0.6284914991666153,50
hickock,3,0.2,0.4472159508196141,50
hickock,4,0.01,0.2824191809378836,50
hickock,4,0.05,0.4108098770791412,50
hickock,4,0.1,0.3380310434080444,50
hickock,4,0.2,0.4686793772551989,50
hickock,5,0.01,-0.2929682626937127,50
hickock,5,0.05,0.0486938257532294,50
hickock,5,0.1,0.1406948234388624,50
hickock,5,0.2,-0.2316936742278416,50
hickock,6,0.01,0.0984525140907658,50
hickock,6,0.05,-0.0853485076508381,50
hickock,6,0.1,-0.0829067609024055,50
hickock,6,0.2,0.0976013072191539,50
laziness_adaptive_t5,2,0.01,0.0639118330522529,50
laziness_adaptive_t5,2,0.05,-0.2753056010706736,50
laziness_adaptive_t5,2,0.1,0.1354107232762164,50
laziness_adaptive_t5,2,0.2,0.1996175994170343,50
laziness_adaptive_t5,3,0.01,0.0640754466872138,50
laziness_adaptive_t5,3,0.05,0.1223398706431084,50
laziness_adaptive_t5,3,0.1,0.2338080568399119,50
laziness_adaptive_t5,3,0.2,0.2191059996244528,50
laziness_adaptive_t5,4,0.01,0.3392009828019829,50
laziness_adaptive_t5,4,0.05,0.2036517848501826,50
laziness_adaptive_t5,4,0.1,0.3151356828730193,50
laziness_adaptive_t5,4,0.2,0.504791601913175,50
laziness_adaptive_t5,5,0.01,0.1994867005630959,50
laziness_adaptive_t5,5,0.05,0.3257256761584237,50
laziness_adaptive_t5,5,0.1,0.2740809555540763,50
laziness_adaptive_t5,5,0.2,-0.0106220608602177,50
laziness_adaptive_t5,6,0.01,0.6393512097192398,50
laziness_adaptive_t5,6,0.05,-0.1785693964345436,50
laziness_adaptive_t5,6,0.1,0.5385818243356676,50
laziness_adaptive_t5,6,0.2,0.55070612577653,50
laziness_knn_t5,2,0.01,0.076442990975467,50
laziness_knn_t5,2,0.05,-0.2702735395871596,50
laziness_knn_t5,2,0.1,0.1808526451259275,50
laziness_knn_t5,2,0.2,0.2162700895610035,50
laziness_knn_t5,3,0.01,0.0754089815220528,50
laziness_knn_t5,3,0.05,0.1451839881556989,50
laziness_knn_t5,3,0.1,0.2295623821288823,50
laziness_knn_t5,3,0.2,0.2202076468641539,50
laziness_knn_t5,4,0.01,0.391933587928251,50
laziness_knn_t5,4,0.05,0.1955504945093096,50
