config,kind,dim,K_unnorm_r,K_unnorm_bal,K_rw_r,K_rw_bal,neg_u_r,neg_u_bal,static_r,Kun_vs_static,rel_resid,K_unnorm_flatmed,K_unnorm_flatstd,K_rw_flatmed,K_rw_flatstd,neg_u_flatmed,neg_u_flatstd
lam0.0|np16|cov200,dumbbell,3,0.4827627401126779,0.8585585585585586,0.5118794492967532,0.8585585585585586,0.4186537313445813,0.8180180180180181,0.510022899134097,0.7166784557548326,0.46082291560862926,,,,,,
lam0.0|np16|cov200,dumbbell,4,0.4960423201240619,0.8429533429533429,0.5186392368903087,0.8429533429533429,0.47550207605645456,0.7869167869167869,0.4889091089804851,0.5329512249833362,0.4954209139365313,,,,,,
lam0.0|np16|cov200,necklace,3,0.6720114503852394,0.8895663956639566,0.6919939461212202,0.8895663956639566,0.5895401350029303,0.799119241192412,0.7160191786520927,0.7152700523160764,0.4379273502647099,,,,,,
lam0.0|np16|cov200,necklace,4,0.5176592222237258,0.7608311229000884,0.51978380596234,0.7608311229000884,0.4338789259788781,0.6858974358974359,0.6466305149835085,0.6386878924916034,0.4340624685279763,,,,,,
lam0.0|np16|cov200,necklace,5,0.22585888070835589,0.5953711093375897,0.22600637549016164,0.5953711093375897,0.20341217908466577,0.578611332801277,0.33703046882737137,0.547482500340391,0.41677682436101093,,,,,,
lam0.0|np16|cov200,torus,3,,,,,,,,0.4823936234429734,0.600876364936456,0.0003963576206343382,0.0005857488468525455,0.0650327529849761,0.09477343355677673,0.09733099730299352,0.14376916896639544
lam0.0|np16|covall,dumbbell,3,0.43021985200705937,0.7419230769230769,0.4695195016523429,0.7419230769230769,0.5094506825782654,0.7615384615384615,0.5100228991340974,0.7339720622052016,0.8443059214335681,,,,,,
lam0.0|np16|covall,dumbbell,4,0.33276045301688767,0.72045591835437,0.3566689298505934,0.72045591835437,0.35025573176407826,0.7394313208067063,0.4889091089804853,0.6352512425612393,0.895532579806117,,,,,,
lam0.0|np16|covall,necklace,3,0.5909072826530718,0.7525481630824373,0.6253739549145488,0.7525481630824373,0.6892921478068169,0.7876204077060931,0.7160191786520932,0.7397978137616157,0.8095171875976439,,,,,,
lam0.0|np16|covall,necklace,4,0.37037878007169295,0.7075203663178801,0.3784842876682617,0.7075203663178801,0.3757143196918553,0.7120211846484856,0.6466305149835075,0.6394115133870361,0.8718706815341478,,,,,,
lam0.0|np16|covall,necklace,5,0.03247597463649441,0.551647474632311,0.031231365599097498,0.551647474632311,0.03605097636618139,0.5624596207197963,0.3370304688273712,0.6326933496994794,0.886367419305594,,,,,,
lam0.0|np16|covall,torus,3,,,,,,,,0.5923601641944668,0.8355529597339781,0.00036399251181060474,0.0005260633769354319,0.05890703014046757,0.08527196033242809,0.07799006657636087,0.11212864284223663
lam0.0|np8|cov200,dumbbell,3,0.235452749053898,0.7009009009009008,0.265124232277612,0.7009009009009008,0.19867398195832006,0.6684684684684685,0.510022899134097,0.5176786486344694,0.25559270686589963,,,,,,
lam0.0|np8|cov200,dumbbell,4,0.37862565719180363,0.6435786435786436,0.3943349187609356,0.6435786435786436,0.3688158917032126,0.6594516594516595,0.4889091089804851,0.4276132175581741,0.25137789178951264,,,,,,
lam0.0|np8|cov200,necklace,3,0.3152322847708556,0.7615176151761518,0.3464926605429541,0.7615176151761518,0.22130823835177763,0.6886856368563685,0.7160191786520927,0.45339535117411717,0.25433168251125426,,,,,,
lam0.0|np8|cov200,necklace,4,0.3277376936652813,0.5996905393457117,0.33161862614104254,0.5996905393457117,0.24843952542616454,0.5775862068965517,0.6466305149835085,0.42405125506051883,0.23416345566659075,,,,,,
lam0.0|np8|cov200,necklace,5,0.11629751656360662,0.6222399574354882,0.11767835204290504,0.6222399574354882,0.10501958040893923,0.6320830007980847,0.33703046882737137,0.4330148230298486,0.19652654559109423,,,,,,
lam0.0|np8|cov200,torus,3,,,,,,,,0.45519568548653505,0.32506215653336723,0.0006201269418952533,0.0009000990276305969,0.10042315141208805,0.14549439677033088,0.17932834451550825,0.2714064045004049
lam0.0|np8|covall,dumbbell,3,0.3526997147863788,0.7173076923076923,0.385552004897846,0.7173076923076923,0.4369599031772824,0.7376923076923076,0.5100228991340974,0.7535966774169843,0.8025250495552683,,,,,,
lam0.0|np8|covall,dumbbell,4,0.26940113944848965,0.7274981718754967,0.29006896922188663,0.7274981718754967,0.28991196751477927,0.7166936911158448,0.4889091089804853,0.6620544807128863,0.8536733762659281,,,,,,
