regime,true_d,n,dhat_twonn_mean,dhat_twonn_acc,dhat_twonn_bias,dhat_lb10_mean,dhat_lb10_acc,dhat_lb10_bias,dhat_lb20_mean,dhat_lb20_acc,dhat_lb20_bias,dhat_eigengap_mean,dhat_eigengap_acc,dhat_eigengap_bias
colosseum,2,60,3.841462738241628,0.0,1.8414627382416282,2.7258339213162457,0.25,0.7258339213162465,2.6509653626806076,0.25,0.650965362680607,3.0,0.0,1.0
colosseum,3,60,4.791335572004682,0.0,1.7913355720046824,3.3999579678153617,0.5,0.39995796781536164,3.295961060438655,0.7,0.2959610604386542,4.0,0.0,1.0
colosseum,4,60,5.818213012664796,0.0,1.8182130126647946,4.098446023567014,0.75,0.09844602356701451,3.9868816615968696,0.9166666666666666,-0.013118338403129749,5.0,0.0,1.0
colosseum,5,60,6.786009072283579,0.0,1.7860090722835784,4.796073347258737,0.8833333333333333,-0.20392665274126456,4.678433653464003,0.6,-0.3215663465359973,6.0,0.0,1.0
colosseum,6,60,7.767939851075521,0.0,1.7679398510755198,5.50813729241767,0.38333333333333336,-0.49186270758233036,5.376828884029,0.25,-0.6231711159709997,7.0,0.0,1.0
sadspheres,2,60,2.6744917147726053,0.0,0.6744917147726047,1.9853850528096781,1.0,-0.014614947190321885,1.9764086954536069,1.0,-0.02359130454639303,2.6666666666666665,0.3333333333333333,0.6666666666666666
sadspheres,3,60,3.9888290823381136,0.0,0.9888290823381135,2.9306228470143645,1.0,-0.06937715298563514,2.9079916275227444,1.0,-0.09200837247725539,3.6666666666666665,0.3333333333333333,0.6666666666666666
sadspheres,4,60,5.244191301093839,0.0,1.244191301093838,3.8304978484252925,1.0,-0.16950215157470763,3.7992568151978316,1.0,-0.20074318480216835,4.666666666666667,0.3333333333333333,0.6666666666666666
sadspheres,5,60,6.378905312744801,0.0,1.3789053127448005,4.692728220941729,0.9666666666666667,-0.30727177905827124,4.640823646916088,0.7666666666666667,-0.35917635308391216,5.666666666666667,0.3333333333333333,0.6666666666666666
sadspheres,6,60,7.5780405690376265,0.0,1.5780405690376267,5.521090576813084,0.35,-0.47890942318691704,5.457456791363895,0.3333333333333333,-0.5425432086361054,6.666666666666667,0.3333333333333333,0.6666666666666666
tier1v2,2,4,2.62901935068262,0.25,0.6290193506826197,1.9692966343156468,1.0,-0.030703365684353057,1.9685923210925076,1.0,-0.031407678907492353,2.75,0.75,0.75
tier1v2,3,4,3.8773595895397057,0.0,0.8773595895397058,2.8603178295917218,1.0,-0.13968217040827846,2.8647680263081092,1.0,-0.13523197369189055,3.0,1.0,0.0
tier1v2,4,4,5.140580449498257,0.0,1.1405804494982577,3.797560571131246,1.0,-0.2024394288687542,3.808414863923157,1.0,-0.1915851360768429,4.25,0.75,0.25
tier1v2,5,4,6.518707590307169,0.0,1.5187075903071692,4.675254727934568,0.75,-0.32474527206543136,4.7020009855157925,0.75,-0.29799901448420774,5.0,1.0,0.0
tier1v2,6,4,7.486385332224101,0.0,1.4863853322241014,5.736102056552873,0.75,-0.2638979434471269,5.6258715575718945,0.5,-0.3741284424281057,6.5,0.5,0.5
tier2,3,12,4.12588507003485,0.0,1.1258850700348493,2.916332092240978,1.0,-0.08366790775902173,2.8846484693959424,1.0,-0.11535153060405763,3.0,1.0,0.0
tier2,4,12,5.246866360434857,0.0,1.2468663604348562,3.823564861041667,1.0,-0.17643513895833263,3.748996543174686,1.0,-0.25100345682531405,4.0,1.0,0.0
tier2,5,12,6.516214496393304,0.0,1.5162144963933037,4.614177919938424,1.0,-0.3858220800615763,4.517079195527039,0.5833333333333334,-0.482920804472961,5.0,1.0,0.0
tier2,6,12,7.560117840002182,0.0,1.5601178400021825,5.392731528592872,0.0,-0.6072684714071284,5.282715972547789,0.0,-0.7172840274522118,6.0,1.0,0.0
