regime,true_d,n,r_integ_A,sign_integ_A,r_integ_B,sign_integ_B,r_integ_C,sign_integ_C,r_integ_D,sign_integ_D,sign_integ_B_aug,r_v4_m60_A,r_v4_m60_B,r_v4_m120_A,r_v4_m120_B,dhat_err_absmean,kind,noise
colosseum,2,60,0.6448134072699319,0.5238095238095238,0.28616981656695734,0.6923076923076923,0.34471633069276836,0.6721611721611722,0.4676533295664206,0.5824175824175823,0.6007326007326007,0.2173872109350614,-0.14773160193858248,0.18172206460707868,-0.11544938943841257,0.75,,
colosseum,3,60,0.4127293027188893,0.717948717948718,0.3576963044265477,0.6904761904761905,0.44293409448503246,0.6684981684981686,0.32917490727662946,0.6886446886446886,0.5274725274725275,0.15613719030931275,0.22492825533856795,0.24444876461693543,0.2888360569436318,0.5,,
colosseum,4,60,0.4767186771526618,0.7555555555555555,0.41037094552705605,0.7222222222222222,0.6015892014700864,0.7444444444444445,0.15659965170585224,0.7222222222222222,0.5333333333333333,0.20129158937547084,0.13300426319065536,0.32250170836843833,0.20082056458081554,0.25,,
colosseum,5,60,0.5055003062755329,0.6979166666666667,0.4150698194721686,0.7083333333333333,0.35003753734933735,0.7395833333333334,0.5176609518466055,0.7083333333333333,0.5208333333333334,0.19749144738676525,0.22842826336510344,0.19578643750892794,0.2919471784694603,0.11666666666666667,,
colosseum,6,60,-0.04313723804055887,0.66,0.3309197936793655,0.57,0.3047159232434257,0.56,-0.05606286395623845,0.57,0.69,0.2678892908341622,0.10399031565189246,0.2949852760831117,0.1703853636287865,0.6166666666666667,,
sadspheres,2,60,0.9402336396980996,0.7,0.9402336396980996,0.7,0.9402336396980996,0.7,0.9402336396980996,0.7,0.95,0.7687538613297089,0.7687538613297089,0.7842704955109571,0.7842704955109571,0.0,,
sadspheres,3,60,0.5453492631189498,1.0,0.5453492631189498,1.0,0.5453492631189498,1.0,0.5453492631189498,1.0,0.6499999999999999,0.8736905376419994,0.8736905376419994,0.8868086888144951,0.8868086888144951,0.0,,
sadspheres,4,60,-0.004968732530635453,1.0,-0.004968732530635453,1.0,-0.004968732530635453,1.0,-0.004968732530635453,1.0,0.825,0.9431534598386957,0.9431534598386957,0.9471801810256872,0.9471801810256872,0.0,,
sadspheres,5,60,0.13801626367717038,0.925,0.10591931689254433,0.925,0.11774253237345449,0.925,0.1308645634990368,0.925,0.825,0.9436819883874703,0.6411345230141339,0.9536055574545701,0.6812077908869126,0.03333333333333333,,
sadspheres,6,60,0.5778430771203813,1.0,0.26267821536627817,1.0,0.4952509610562862,1.0,0.327322504467225,1.0,0.45,0.948599227639029,0.7748422149408242,0.9632021770830894,0.8099646266254786,0.65,,
tier1v2,2,32,-0.38170687685545424,0.21875,-0.38170687685545424,0.21875,-0.38170687685545424,0.21875,-0.38170687685545424,0.21875,0.4375,0.9934652176856636,0.9934652176856636,0.9976136257366784,0.9976136257366784,0.0,,
tier1v2,3,32,-0.2134845490383033,0.5,-0.2134845490383033,0.5,-0.2134845490383033,0.5,-0.2134845490383033,0.5,0.90625,0.9950007299387404,0.9950007299387404,0.9969882702907487,0.9969882702907487,0.0,,
tier1v2,4,32,-0.5381607258041595,0.5,-0.5381607258041595,0.5,-0.5381607258041595,0.5,-0.5381607258041595,0.5,0.90625,0.9918375404918405,0.9918375404918405,0.9864071537452638,0.9864071537452638,0.0,,
tier1v2,5,32,-0.37839826801938176,0.5,-0.40202252250537057,0.5,-0.48126568796733626,0.5,-0.45389489428400664,0.5,0.96875,0.9686319619748744,0.4835933273729806,0.909862321804369,0.6809248938971927,0.25,,
tier1v2,6,32,-0.19205617102651945,0.5,-0.27627801348586456,0.5,-0.0746578413009962,0.5,-0.340079944230296,0.5,1.0,0.9413362932342588,0.9774382051755665,0.8924659567916299,0.9427303741120383,0.25,,
tier2,3,48,0.956696276654347,0.9886363636363636,0.956696276654347,0.9886363636363636,0.956696276654347,0.9886363636363636,0.956696276654347,0.9886363636363636,0.9886363636363636,0.9841338486094727,0.9841338486094727,0.961226072778198,0.961226072778198,0.0,dumbbell,0.0
tier2,3,48,0.948340085952402,0.9772727272727273,0.948340085952402,0.9772727272727273,0.948340085952402,0.9772727272727273,0.948340085952402,0.9772727272727273,0.9772727272727273,0.9823939805140758,0.9823939805140758,0.9597654273350336,0.9597654273350336,0.0,dumbbell,0.05
tier2,3,48,0.942443156994907,0.9772727272727273,0.942443156994907,0.9772727272727273,0.942443156994907,0.9772727272727273,0.942443156994907,0.9772727272727273,0.9772727272727273,0.9458311665366319,0.9458311665366319,0.9451979473622674,0.9451979473622674,0.0,dumbbell,0.15
tier2,3,48,0.9317134591766872,0.9,0.9317134591766872,0.9,0.9317134591766872,0.9,0.9317134591766872,0.9,0.9,0.991054560717667,0.991054560717667,0.9900291443009275,0.9900291443009275,0.0,necklace,0.0
tier2,3,48,0.9204734455407575,0.95,0.9204734455407575,0.95,0.9204734455407575,0.95,0.9204734455407575,0.95,0.95,0.9903852173588584,0.9903852173588584,0.9908888990483311,0.9908888990483311,0.0,necklace,0.05
tier2,3,48,0.9078418445439036,0.9,0.9078418445439036,0.9,0.9078418445439036,0.9,0.9078418445439036,0.9,0.9,0.9825698540536558,0.9825698540536558,0.986210961157188,0.986210961157188,0.0,necklace,0.15
tier2,4,48,0.9578827207467984,1.0,0.9578827207467984,1.0,0.9578827207467984,1.0,0.9578827207467984,1.0,1.0,0.9745891482094807,0.9745891482094807,0.9507013189462984,0.9507013189462984,0.0,dumbbell,0.0
tier2,4,48,0.9487896144057049,1.0,0.9487896144057049,1.0,0.9487896144057049,1.0,0.9487896144057049,1.0,1.0,0.970991078754589,0.970991078754589,0.9507185422516454,0.9507185422516454,0.0,dumbbell,0.05
tier2,4,48,0.9119983505243814,1.0,0.9119983505243814,1.0,0.9119983505243814,1.0,0.9119983505243814,1.0,0.9886363636363636,0.9438607601615538,0.9438607601615538,0.9226383194791903,0.9226383194791903,0.0,dumbbell,0.15
tier2,4,48,0.9523896809429042,0.9880952380952381,0.9523896809429042,0.9880952380952381,0.9523896809429042,0.9880952380952381,0.9523896809429042,0.9880952380952381,0.9642857142857143,0.9792065929807163,0.9792065929807163,0.973215813529684,0.973215813529684,0.0,necklace,0.0
tier2,4,48,0.9368521133168143,0.9880952380952381,0.9368521133168143,0.9880952380952381,0.9368521133168143,0.9880952380952381,0.9368521133168143,0.9880952380952381,1.0,0.9723873565850759,0.9723873565850759,0.9718936072785036,0.9718936072785036,0.0,necklace,0.05
tier2,4,48,0.9457724616225939,0.9880952380952381,0.9457724616225939,0.9880952380952381,0.9457724616225939,0.9880952380952381,0.9457724616225939,0.9880952380952381,0.9880952380952381,0.9560425126102121,0.9560425126102121,0.9658533985409349,0.9658533985409349,0.0,necklace,0.15
tier2,5,48,0.9268344288944481,1.0,0.9268344288944481,1.0,0.9268344288944481,1.0,0.9268344288944481,1.0,0.9891304347826086,0.9528734883353934,0.9528734883353934,0.9088091828101621,0.9088091828101621,0.0,dumbbell,0.0
tier2,5,48,0.8953208940550983,1.0,0.8953208940550983,1.0,0.8953208940550983,1.0,0.8953208940550983,1.0,0.9891304347826086,0.9389393833036618,0.9389393833036618,0.9099895156100201,0.9099895156100201,0.0,dumbbell,0.05
tier2,5,48,0.6942875672220009,0.9891304347826086,0.6942875672220009,0.9891304347826086,0.6942875672220009,0.9891304347826086,0.6942875672220009,0.9891304347826086,1.0,0.9044810652258487,0.9044810652258487,0.8631411825947054,0.8631411825947054,0.0,dumbbell,0.15
tier2,5,48,0.029959995964412893,0.9642857142857143,0.029959995964412893,0.9642857142857143,0.029959995964412893,0.9642857142857143,0.029959995964412893,0.9642857142857143,0.9404761904761905,-0.17676754621670793,-0.17676754621670793,-0.16092014911158223,-0.16092014911158223,0.0,necklace,0.0
tier2,5,48,0.14479414437415702,0.9523809523809523,0.14479414437415702,0.9523809523809523,0.14479414437415702,0.9523809523809523,0.14479414437415702,0.9523809523809523,0.9523809523809523,-0.1659803501213,-0.1659803501213,-0.15888785156750815,-0.15888785156750815,0.0,necklace,0.05
tier2,5,48,0.018978942830281734,0.8809523809523809,0.018978942830281734,0.8809523809523809,0.018978942830281734,0.8809523809523809,0.018978942830281734,0.8809523809523809,0.8809523809523809,-0.12033781118334665,-0.12033781118334665,-0.15934306841829804,-0.15934306841829804,0.0,necklace,0.15
tier2,6,48,0.9110388681184441,0.9891304347826086,0.9110388681184441,0.9891304347826086,0.9110388681184441,0.9891304347826086,0.9110388681184441,0.9891304347826086,0.9891304347826086,0.9446073357164231,0.9446073357164231,0.9175414947429229,0.9175414947429229,0.0,dumbbell,0.0
tier2,6,48,0.8640988250976751,1.0,0.8640988250976751,1.0,0.8640988250976751,1.0,0.8640988250976751,1.0,1.0,0.9319635599007136,0.9319635599007136,0.9055686032301332,0.9055686032301332,0.0,dumbbell,0.05
tier2,6,48,0.7298760912865048,1.0,0.7298760912865048,1.0,0.7298760912865048,1.0,0.7298760912865048,1.0,1.0,0.887753159636139,0.887753159636139,0.8470809884470254,0.8470809884470254,0.0,dumbbell,0.15
tier2,6,48,0.13826440392259398,0.9545454545454546,0.13826440392259398,0.9545454545454546,0.13826440392259398,0.9545454545454546,0.13826440392259398,0.9545454545454546,0.9318181818181819,-0.2973404299037252,-0.2973404299037252,-0.38638640947214903,-0.38638640947214903,0.0,necklace,0.0
tier2,6,48,0.11835006093036433,0.9431818181818181,0.11835006093036433,0.9431818181818181,0.11835006093036433,0.9431818181818181,0.11835006093036433,0.9431818181818181,0.9431818181818181,-0.3204925350815729,-0.3204925350815729,-0.4207238695372454,-0.4207238695372454,0.0,necklace,0.05
