dim,branch,v4_m60,v4_m120,v3_defect
3,B,0.9008401742683156,1.87470849859257,4.0715872803544455
3,C05,1.3170893828874213,1.5642663127174208,4.469330344132514
3,C17,0.8826190529070508,0.8665967751174128,1.2074947280140114
3,D,0.899742044001103,0.5708056744135563,1.831172926936373
3,E_C17,1.034168096671022,0.8685434428609171,2.035455143690389
3,E_D,1.475715874877596,1.695941503244259,1.636464535906466
4,B,3.7704225080652947,3.3105114718571205,2.666718057902814
4,C05,1.4589191580753982,1.9646852998566056,2.324095446954855
4,C17,1.0000350425749018,0.9468773989759163,1.579694720313295
4,D,1.0253295224087706,0.40444954418964163,1.9366631343716996
4,E_C17,0.8952710303668883,0.8517495104265433,4.419641734287765
4,E_D,1.5978387325987087,1.3678422971073845,1.410180002738382
5,B,2.6081894759609643,3.079549886880276,0.979635993167814
5,C05,2.6358918637897206,2.4339190598060707,0.7470505799900801
5,C17,1.811083969156511,1.9480248509966922,1.2274346755176118
5,D,1.0936279823846329,1.644997777928638,1.4000845703920977
5,E_C17,2.074447159589317,2.2256708635752473,4.6696195687308
5,E_D,2.3292128775644767,2.4971018869187143,1.6316692205969088
6,B,2.5573008304133706,4.418264091516026,0.78301877365913
6,C05,1.4876765416376836,2.35819554438909,3.26014210249654
6,C17,1.7118788521713229,2.168909023036629,0.7613104983858243
6,D,2.626447222900852,0.8273075409235989,1.1755680471709131
6,E_C17,1.9894442063038855,2.2926225170617753,3.017713283584925
6,E_D,1.9289089600992657,1.7724381905439603,1.8447454354076973
