d,seed,corruption,est,v4,ent_cak
3,0,B,fb_potential,0.44053125313136304,0.4366130688586793
3,0,C05,fb_potential,-0.16468879765582684,0.041937959971707635
3,0,D,fb_potential,0.1420021364429273,0.19529339953358216
3,1,B,fb_potential,0.3513947621464642,-0.08514632493115501
3,1,C05,fb_potential,0.03724563508631551,0.19515537497205787
3,1,D,fb_potential,0.21719375311368663,0.20124135628204207
4,0,B,fb_potential,-0.007504722226139103,0.01091248384230562
4,0,C05,fb_potential,-0.15103432844025336,-0.07139649692540878
4,0,D,fb_potential,-0.01662873024557689,-0.24513247272661062
4,1,B,fb_potential,-0.05751244887447319,0.09150232295411966
4,1,C05,fb_potential,-0.2982693575099592,0.17754209292115988
4,1,D,fb_potential,0.038074700821704,0.04920891411833633
